dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-B01,beginner,用語の特定,identify,エジプト・メソポタミアを中心とし、古代ローマ人が「日の昇るところ」と呼んだ地域は？,オリエント,オリエント,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-B02,beginner,時期,time,オリエントで都市文明が形成されたのは、紀元前の何千年紀？,前4千年紀,前4千年紀,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-B03,beginner,内容,content,オリエントの大河流域で、河川の水を利用して営まれた農業は？,灌漑農業(かんがいのうぎょう),灌漑農業,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-B04,beginner,関連,relation,オリエントのうち、周囲が陸続きで諸民族が侵入しやすい地域は？,メソポタミア,メソポタミア,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-B05,beginner,関連,relation,オリエントのうち、海・砂漠・密林に囲まれた閉鎖的な地形を持つ地域は？,エジプト,エジプト,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-R01,reverse,時期,time,「オリエント」：都市文明が形成されたのはいつ？,**前4千年紀**。,前4千年紀,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-R02,reverse,地域,place,「オリエント」：どこを指す？,**エジプト・メソポタミア**を中心に、西アジアなどを含む地域。,エジプト・メソポタミア,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-R03,reverse,複合説明,reverse,「オリエント」：文明はどのような条件で発達した？,乾燥地帯だが大河流域では**灌漑農業(かんがいのうぎょう)**と青銅器の使用によって生産力が高まり、都市文明が形成された。メソポタミアは**開放的な地形**で諸民族が流入し、エジプトは**閉鎖的な地形**を持っていた。,灌漑農業|開放的な地形|閉鎖的な地形,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000001,1,共通テスト・必修,地域・都市,オリエント,おりえんと,,古代,西アジア・北アフリカ,エジプト・メソポタミアを中心とする西アジア,前4千年紀に都市文明が形成,-4000,WH-000001-I01,integrated,統合説明,integrated,「オリエント」について説明せよ。,前4千年紀に都市文明が形成された、**エジプト・メソポタミア**を中心とする西アジアなどの地域。乾燥地帯の大河流域で**灌漑農業(かんがいのうぎょう)**と青銅器の使用によって生産力が高まった。メソポタミアは開放的、エジプトは閉鎖的な地形だった。,エジプト・メソポタミア|灌漑農業,,,,01_古代オリエント世界の成立(2).md pp.17,
世界史探究_第1章_第01回_01_古代オリエント世界の特徴,WH-000002,2,共通テスト・必修,経済・交易,灌漑農業,かんがいのうぎょう,,古代,西アジア・北アフリカ,メソポタミア・エジプト,前4千年紀の都市文明形成の背景,-4000,WH-000002-B01,beginner,用語の特定,identify,河川の水を農地に引いて行い、古代オリエントの都市文明を支えた農業は？,灌漑農業(かんがいのうぎょう),灌漑農業,,,,01_古代オリエント世界の成立(2).md pp.17,
