dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-B01,beginner,用語の特定,identify,ミルトンやバンヤンが、ピューリタンの信仰や心情を題材として展開した文学は？,ピューリタン文学,ピューリタン文学,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-B02,beginner,中心人物,person,ピューリタン文学で『失楽園』を著した人物は？,ミルトン,ミルトン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-B03,beginner,中心人物,person,ピューリタン文学で『天路歴程(てんろれきてい)』を著した人物は？,バンヤン,バンヤン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-B04,beginner,関連語,relation,ピューリタン文学の背景となった、17世紀のイギリスの革命は？,ピューリタン革命,ピューリタン革命,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-R01,reverse,時期,time,盛んになったのはいつ？,17世紀,,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-R02,reverse,複合説明,reverse,どんな特徴がある？,17世紀のイギリスで、**ピューリタン革命**を背景に信仰や心情を描いた文学。**ミルトン**の『失楽園』や**バンヤン**の『天路歴程(てんろれきてい)』が代表作である。,ピューリタン革命|ミルトン|バンヤン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300101,489,共通テスト基礎,文化・技術・学問,ピューリタン文学,ぴゅーりたんぶんがく,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300101-I01,integrated,統合説明,integrated,「ピューリタン文学」について説明せよ。,17世紀のイギリスで、**ピューリタン革命**を背景に信仰や心情を描いた文学。**ミルトン**の『失楽園』や**バンヤン**の『天路歴程(てんろれきてい)』が代表作である。,ピューリタン革命|ミルトン|バンヤン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300102,490,共通テスト基礎,人物,ミルトン,みるとん,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300102-B01,beginner,用語の特定,identify,ピューリタン革命後の共和政で活躍し、旧約聖書を題材とする『失楽園』を著した人物は？,ミルトン,ミルトン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300102,490,共通テスト基礎,人物,ミルトン,みるとん,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300102-B02,beginner,内容,content,ミルトンが著した、旧約聖書を題材とする作品は？,失楽園,失楽園,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
世界史探究_第30回_01_文学・芸術,WH-300102,490,共通テスト基礎,人物,ミルトン,みるとん,,近世〜近代,ヨーロッパ,イギリス,17世紀,1600,WH-300102-B03,beginner,内容,content,ミルトンの『失楽園』が題材とした聖典は？,旧約聖書,旧約聖書,,,,30_17〜18世紀のヨーロッパ文化(1).md p.473,
