dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-B01,beginner,用語の特定,identify,カルパティア山脈の北側からドニエプル川流域に住み、アヴァール人に圧迫されて東欧全域へ移動した人々は？,スラヴ人,スラヴ人,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-B02,beginner,時期,time,スラヴ人がアヴァール人の圧迫を受けて移動したのは、資料では何世紀ころか？,6世紀ころ,6世紀ころ,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-B03,beginner,勢力・対象,actor,スラヴ人の移動を引き起こした圧迫者は？,アヴァール人,アヴァール人,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-B04,beginner,勢力・対象,actor,スラヴ人の居住地域を東欧で南北に分断する王国をつくった民族は？,マジャール人,マジャール人,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-B05,beginner,関連,relation,スラヴ人を南北に分ける境となった、パンノニアの王国は？,ハンガリー王国,ハンガリー王国,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-R01,reverse,核心内容,reverse,「スラヴ人」：どのように活動した？,6世紀ころ、**アヴァール人**の圧迫を受け、カルパティア山脈北側・ドニエプル川流域から東ヨーロッパ全域へ移動した人々。のちにマジャール人の**ハンガリー王国**を境として北側に西スラヴ、南側に南スラヴが分かれ、ロシア方面には東スラヴが定住した。,アヴァール人|ハンガリー王国,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130401,121,共通テスト基礎・重要,民族・身分・社会集団,スラヴ人,すらゔじん,,中世,ヨーロッパ,カルパティア山脈北側・ドニエプル川流域→東ヨーロッパ,6世紀ころから移動,550,WH-130401-I01,integrated,統合説明,integrated,「スラヴ人」について説明せよ。,6世紀ころ、**アヴァール人**の圧迫を受け、カルパティア山脈北側・ドニエプル川流域から東ヨーロッパ全域へ移動した人々。のちにマジャール人の**ハンガリー王国**を境として北側に西スラヴ、南側に南スラヴが分かれ、ロシア方面には東スラヴが定住した。,アヴァール人|ハンガリー王国,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130402,122,共通テスト基礎・重要,国家・王朝,ハンガリー王国,はんがりーおうこく,,中世〜近世,ヨーロッパ,パンノニア／ドナウ川中流／ハンガリー,10世紀末に成立・1526年の敗戦後に分割,1000,WH-130402-B01,beginner,用語の特定,identify,パンノニアに定着したマジャール人が、カトリックを受容し、イシュトヴァーン1世のもとで形成した王国は？,ハンガリー王国,ハンガリー王国,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218・220–221,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130402,122,共通テスト基礎・重要,国家・王朝,ハンガリー王国,はんがりーおうこく,,中世〜近世,ヨーロッパ,パンノニア／ドナウ川中流／ハンガリー,10世紀末に成立・1526年の敗戦後に分割,1000,WH-130402-B02,beginner,勢力・対象,actor,ハンガリー王国を建てた民族は？,マジャール人,マジャール人,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218・220–221,
世界史探究 第4章 第13回-4 中世の東欧〜スラヴ人の動向〜,WH-130402,122,共通テスト基礎・重要,国家・王朝,ハンガリー王国,はんがりーおうこく,,中世〜近世,ヨーロッパ,パンノニア／ドナウ川中流／ハンガリー,10世紀末に成立・1526年の敗戦後に分割,1000,WH-130402-B03,beginner,中心人物,person,ハンガリー王国で10世紀末に教皇から王号を受けた君主は？,イシュトヴァーン1世,イシュトヴァーン1世,,,,13_ビザンツ帝国と中世の東欧(1).md pp.218・220–221,
