dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B01,beginner,用語の特定,identify,テムジンが1206年にクリルタイでハン位を得て名乗り、千戸制と西方遠征で大帝国の基礎を築いた称号・名前は？,チンギス＝ハン,チンギス＝ハン,チンギス＝カン|テムジン|成吉思汗,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B02,beginner,時期,time,チンギス＝ハンが即位して大モンゴル国が成立したのは何年？,1206年,1206年,,,1206：「人にはムカつく　チンギス＝ハン」大モンゴル国の成立,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B03,beginner,関連,relation,チンギス＝ハンがハン位を得た部族の指導者会議は？,クリルタイ,クリルタイ,,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B04,beginner,内容,content,チンギス＝ハンが遊牧民を再編して政治・社会・軍事の基礎とした制度は？,千戸制,千戸制,,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B05,beginner,国家・勢力・社会集団,actor,チンギス＝ハンが1220年に打倒した中央アジアの王朝は？,ホラズム＝シャー朝,ホラズム＝シャー朝,ホラズム朝,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B06,beginner,関連,relation,チンギス＝ハンの西方遠征で大半が支配下に入った東西交易路は？,オアシスの道,オアシスの道,シルクロード|シルク＝ロード,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-B07,beginner,国家・勢力・社会集団,actor,チンギス＝ハンがその征服の途上で死亡した国は？,西夏(せいか),西夏,,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-R01,reverse,時期,time,チンギス＝ハンが即位したのはいつ？,**1206年**。,1206年,,,1206：「人にはムカつく　チンギス＝ハン」大モンゴル国の成立,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-R02,reverse,複合説明,reverse,チンギス＝ハンは何をした？,モンゴル高原を統一し、**クリルタイ**で即位して**大モンゴル国**を建て、**千戸制**で遊牧民を再編した。中央アジアへ進出して**ホラズム＝シャー朝**を打倒し、**オアシスの道**を制圧したのち、西夏(せいか)遠征中に亡くなった。,クリルタイ|大モンゴル国|千戸制|ホラズム＝シャー朝|オアシスの道,,,,17_モンゴル帝国の時代(1).md pp.270–272,
第17回_01_モンゴル帝国の成立,WH-170001,71,標準,人物,チンギス＝ハン,ちんぎすはん,チンギス＝カン|テムジン|成吉思汗,中世,ユーラシア,モンゴル高原から中央アジア,1206〜1227年在位,1206,WH-170001-I01,integrated,統合説明,integrated,「チンギス＝ハン」について説明せよ。,1206年にモンゴル高原を統一して**クリルタイ**で即位し、**大モンゴル国**を建て、**千戸制**で遊牧民を再編した人物。中央アジアで**ホラズム＝シャー朝**を打倒して**オアシスの道**を制圧し、西夏(せいか)遠征中に亡くなった。,クリルタイ|大モンゴル国|千戸制|ホラズム＝シャー朝|オアシスの道,,,1206：「人にはムカつく　チンギス＝ハン」大モンゴル国の成立,17_モンゴル帝国の時代(1).md pp.270–272,
