"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-25-02-001","王政復古に先立ち、チャールズ2世が恩赦・信仰の自由・議会尊重などを約束した宣言は？","ブレダ宣言。","この約束が、国王を迎え入れる動きを支えた。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","398","167"
"WH-25-02-002","王政復古で迎えられたが、のちにカトリックを保護して議会と対立した国王は？","チャールズ2世。","フランスのルイ14世と結びつき、専制政治を復活させようとした。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","398","167"
"WH-25-02-003","チャールズ2世がルイ14世と結び、対オランダ戦争への協力やカトリック復活を約束した密約は？","ドーヴァーの密約。","第3次英蘭戦争とフランスのオランダ攻撃の連動につながった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","398","167"
"WH-25-02-004","公職就任者をイギリス国教徒に限り、カトリック教徒などを排除した法令は？","審査法。","国王のカトリック保護政策に対して、議会が法によって対抗した。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","398","169"
"WH-25-02-005","チャールズ2世時代、不当な逮捕や投獄を防ぐために議会が制定した法令は？","人身保護法。","大憲章・権利の請願から続く、身体の自由の保障を強める動きである。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","175"
"WH-25-02-006","審査法と人身保護法は、何を定めた点で異なるか？","審査法は公職就任を国教徒に限定し、人身保護法は不当な逮捕・投獄を禁じた。","宗教上の資格制限と、身体の自由の保障を取り違えない。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","175"
"WH-25-02-007","カトリックのジェームズの王位継承に反対し、議会主権を主張した党派は？","ホイッグ党。","議会による王権の制限を重視した。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","175"
"WH-25-02-008","議会が王位継承に介入することに反対し、ジェームズの継承を認めた党派は？","トーリ党。","王位継承をめぐる対立から、二つの党派が形成された。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","175"
"WH-25-02-009","ホイッグ党とトーリ党は、ジェームズの王位継承についてどう対立したか？","ホイッグ党は継承に反対し、トーリ党は継承を認めた。","名誉革命の際には、両党ともジェームズ2世の廃位で一致する。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","175"
"WH-25-02-010","チャールズ2世が迎えられ、王政復古が実現したのは何年か？","1660年。","1649年の共和政成立との前後関係を押さえる。","時期","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","179"
"WH-25-02-011","第1次英蘭戦争と、第2次・第3次英蘭戦争は、それぞれ誰の統治期に起きたか？","第1次はクロムウェル、第2次・第3次はチャールズ2世の時代。","共和政から王政復古へ変わっても、対オランダ商業競争は続いた。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","183"
"WH-25-02-012","イギリスで審査法が制定されたのは何年か？","1673年。","公職就任者を国教徒に限定した法令である。","時期","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","189"
"WH-25-02-013","イギリスで人身保護法が制定されたのは何年か？","1679年。","審査法より後、名誉革命より前に制定された。","時期","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","191"
"WH-25-02-014","トーリ党とホイッグ党は、のちにそれぞれどの政党へ発展したか？","トーリ党は保守党、ホイッグ党は自由党。","王位継承をめぐる党派の対立が、後の政党の系譜につながった。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","195"
"WH-25-02-015","チャールズ2世の後を継ぎ、カトリック政策と専制政治を強行した国王は？","ジェームズ2世。","その政治への反発が、トーリ党とホイッグ党の協力につながった。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","203"
"WH-25-02-016","議会がジェームズ2世を退け、メアリ2世とウィリアム3世を迎えた革命は？","名誉革命。","国王を処刑して共和政に移行したピューリタン革命とは異なる。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","207"
"WH-25-02-017","イギリスの名誉革命は何年に始まったか？","1688年。","翌1689年の共同統治と権利の章典制定につながる。","時期","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","207"
"WH-25-02-018","名誉革命の結果、イングランドを共同統治する国王となった二人は？","メアリ2世とウィリアム3世。","メアリはジェームズ2世の娘、夫ウィリアムはオランダ総督だった。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","209"
"WH-25-02-019","メアリとウィリアムが即位に際して承認した、王権に対する議会の優位を示す宣言は？","権利の宣言。","後に法律として整えられたものが権利の章典である。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","211"
"WH-25-02-020","1689年、権利の宣言を法文化し、議会の優位を定めた法は？","権利の章典。","議会の承認を欠く国王の専制的行為を違法とした。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","213"
"WH-25-02-021","権利の請願・権利の宣言・権利の章典を、成立事情で区別しなさい。","請願は1628年に議会がチャールズ1世へ提出した文書。宣言は1689年に新国王が承認し、章典はその内容を法文化したもの。","「請願」はピューリタン革命前、「宣言・章典」は名誉革命の段階である。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","399","213"
"WH-25-02-022","ジェームズ2世に息子が生まれたことが、議会の反発を強めたのはなぜか？","カトリックの王位継承が、その後も続く可能性が高まったため。","専制政治や宗教政策への反発に、王位継承への不安が重なった。","原因","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","223"
"WH-25-02-023","イングランド議会に招かれ、軍を率いて上陸したオランダ総督は？","オラニエ公ウィレム3世。","イングランド王としての名はウィリアム3世である。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","225"
"WH-25-02-024","名誉革命の際、支持を失ったジェームズ2世はどこへ亡命したか？","フランス。","その後、フランスの支援を受けてアイルランドで反撃を試みた。","場所","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","225"
"WH-25-02-025","権利の章典により、国王と議会の関係はどのように定められたか？","王権に対する議会の優位が定められ、国王の権力が制限された。","資料では、議会主権と立憲君主政の原則が確立したと説明している。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","227"
"WH-25-02-026","名誉革命後、プロテスタントの信仰の自由を認めた法律は？","寛容法。","資料では、カトリック教徒は対象外だったとされる。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","227"
"WH-25-02-027","審査法と寛容法の対象・役割を区別しなさい。","審査法は公職を国教徒に限定し、寛容法はプロテスタントの信仰の自由を認めた。","信仰の自由を認めることと、公職就任の資格を広げることは同じではない。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","227"
"WH-25-02-028","名誉革命が立憲君主政の確立につながった経緯を説明しなさい。","議会がジェームズ2世を退け、新国王に権利の宣言を承認させた。その内容を権利の章典として法文化し、議会の優位と王権の制限を定めた。","王政そのものは維持しながら、国王と議会の力関係を変えた。","統合説明","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","227"
"WH-25-02-029","ウィリアム3世がイングランドとオランダの協力を進めた対外的な目的は？","フランスのルイ14世に対抗するため。","オランダはフランスの侵攻や英蘭戦争によって圧迫されていた。","原因","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","233"
"WH-25-02-030","ウィリアム3世時代、北米で始まったイギリスとフランスの植民地戦争は？","ウィリアム王戦争。","ヨーロッパの対仏戦争が、北米の植民地にも広がった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","233"
"WH-25-02-031","対外戦争の費用を調達する国債の引き受け機関として設立された銀行は？","イングランド銀行。","国債制度と結びついた戦費調達の仕組みが整えられた。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","233"
"WH-25-02-032","ウィリアム3世時代の国債制度やイングランド銀行の設立に関わる変化を何というか？","財政革命。","貿易構造の変化を指す商業革命や、物価上昇を指す価格革命とは区別する。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","400","233"
"WH-25-02-033","スコットランドの併合によりグレートブリテン王国が成立した時の女王は？","アン女王。","ウィリアム3世の後を継いだ、メアリ2世の妹である。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","401","241"
"WH-25-02-034","アン女王時代、イングランドとスコットランドの統合で成立した国家は？","グレートブリテン王国（大ブリテン王国）。","スコットランド議会が廃止され、イギリス議会に議席が割り振られた。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","401","241"
"WH-25-02-035","ステュアート朝成立時の同君連合と、アン女王時代の統合はどう異なるか？","同君連合は同じ国王をいただく関係で、アン女王時代には議会も統合された。","王が共通であることと、政治制度が一体化することを区別する。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","401","241"
"WH-25-02-036","ステュアート朝断絶後、ハノーヴァー選帝侯からイギリス王に迎えられた人物は？","ジョージ1世。","ハノーヴァー朝の最初の国王となった。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","401","245"
"WH-25-02-037","ジョージ1世の即位によって成立したイギリスの王朝は？","ハノーヴァー朝。","王朝が変わっても、名誉革命後の議会の優位は維持された。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","401","245"
