dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020172,127,共通テスト基礎,制度・政策・法律,専制君主政,せんせいくんしゅせい,ドミナトゥス|後期帝政,古代,地中海世界,ローマ帝国,3世紀末のディオクレティアヌス帝以降,284,WH-020172-B01,beginner,用語の特定,identify,ローマ帝国で、共和政の建前を捨て、皇帝崇拝を強制して支配を強化した後期帝政は？,専制君主政,専制君主政,ドミナトゥス|後期帝政,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020172,127,共通テスト基礎,制度・政策・法律,専制君主政,せんせいくんしゅせい,ドミナトゥス|後期帝政,古代,地中海世界,ローマ帝国,3世紀末のディオクレティアヌス帝以降,284,WH-020172-B02,beginner,中心人物,person,ローマの専制君主政を始めた皇帝は？,ディオクレティアヌス,ディオクレティアヌス,ディオクレティアヌス帝,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020172,127,共通テスト基礎,制度・政策・法律,専制君主政,せんせいくんしゅせい,ドミナトゥス|後期帝政,古代,地中海世界,ローマ帝国,3世紀末のディオクレティアヌス帝以降,284,WH-020172-B03,beginner,関連,relation,専制君主政に先行した、共和政の伝統を名目上維持する前期帝政は？,元首政,元首政,プリンキパトゥス,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020172,127,共通テスト基礎,制度・政策・法律,専制君主政,せんせいくんしゅせい,ドミナトゥス|後期帝政,古代,地中海世界,ローマ帝国,3世紀末のディオクレティアヌス帝以降,284,WH-020172-B04,beginner,内容,content,ローマの専制君主政で、皇帝への服従を宗教的に表すために強制されたことは？,皇帝崇拝,皇帝崇拝,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020172,127,共通テスト基礎,制度・政策・法律,専制君主政,せんせいくんしゅせい,ドミナトゥス|後期帝政,古代,地中海世界,ローマ帝国,3世紀末のディオクレティアヌス帝以降,284,WH-020172-R01,reverse,複合説明,reverse,ローマの専制君主政は、元首政とどう異なる？,3世紀末、**ディオクレティアヌス帝**が進めたローマ帝国の後期の統治体制。元首政のような共和政の建前を捨て、**皇帝崇拝**と強い**軍事力・官僚機構**によって皇帝の支配を明確にし、市民を皇帝に従う臣民として扱った。,ディオクレティアヌス帝|皇帝崇拝|軍事力・官僚機構,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020172,127,共通テスト基礎,制度・政策・法律,専制君主政,せんせいくんしゅせい,ドミナトゥス|後期帝政,古代,地中海世界,ローマ帝国,3世紀末のディオクレティアヌス帝以降,284,WH-020172-I01,integrated,統合説明,integrated,「専制君主政」について説明せよ。,3世紀末、**ディオクレティアヌス帝**が進めたローマ帝国の後期の統治体制。元首政のような共和政の建前を捨て、**皇帝崇拝**と強い**軍事力・官僚機構**によって皇帝の支配を明確にし、市民を皇帝に従う臣民として扱った。,ディオクレティアヌス帝|皇帝崇拝|軍事力・官僚機構,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020173,128,共通テスト基礎,人物,ディオクレティアヌス帝,でぃおくれてぃあぬすてい,ディオクレティアヌス,古代,地中海世界,ローマ帝国,284〜305年,284,WH-020173-B01,beginner,用語の特定,identify,四帝分治制と皇帝崇拝を導入し、キリスト教徒に最後の大迫害を加えたローマ皇帝は？,ディオクレティアヌス帝,ディオクレティアヌス帝,ディオクレティアヌス,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020173,128,共通テスト基礎,人物,ディオクレティアヌス帝,でぃおくれてぃあぬすてい,ディオクレティアヌス,古代,地中海世界,ローマ帝国,284〜305年,284,WH-020173-B02,beginner,内容,content,ディオクレティアヌス帝が東西の正帝・副帝で統治を分担した制度は？,四帝分治制,四帝分治制,テトラルキア,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020173,128,共通テスト基礎,人物,ディオクレティアヌス帝,でぃおくれてぃあぬすてい,ディオクレティアヌス,古代,地中海世界,ローマ帝国,284〜305年,284,WH-020173-B03,beginner,内容,content,ディオクレティアヌス帝が強制し、キリスト教徒が拒否した信仰上の行為は？,皇帝崇拝,皇帝崇拝,,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020173,128,共通テスト基礎,人物,ディオクレティアヌス帝,でぃおくれてぃあぬすてい,ディオクレティアヌス,古代,地中海世界,ローマ帝国,284〜305年,284,WH-020173-B04,beginner,関連,relation,ディオクレティアヌス帝が明確にした、皇帝の独裁体制である後期帝政は？,専制君主政,専制君主政,ドミナトゥス,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020173,128,共通テスト基礎,人物,ディオクレティアヌス帝,でぃおくれてぃあぬすてい,ディオクレティアヌス,古代,地中海世界,ローマ帝国,284〜305年,284,WH-020173-R01,reverse,複合説明,reverse,ディオクレティアヌス帝は何をした？,284〜305年に在位し、ローマ帝国の混乱を収めるため**専制君主政**を進めた皇帝。軍事力と官僚機構を強め、東西に正帝・副帝を置く**四帝分治制**を採用し、自らは東の正帝となった。**皇帝崇拝**を強制し、拒むキリスト教徒に最後の大迫害を行った。,専制君主政|四帝分治制|皇帝崇拝,,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020173,128,共通テスト基礎,人物,ディオクレティアヌス帝,でぃおくれてぃあぬすてい,ディオクレティアヌス,古代,地中海世界,ローマ帝国,284〜305年,284,WH-020173-I01,integrated,統合説明,integrated,「ディオクレティアヌス帝」について説明せよ。,284〜305年に在位し、ローマ帝国の混乱を収めるため**専制君主政**を進めた皇帝。軍事力と官僚機構を強め、東西に正帝・副帝を置く**四帝分治制**を採用し、自らは東の正帝となった。**皇帝崇拝**を強制し、拒むキリスト教徒に最後の大迫害を行った。,専制君主政|四帝分治制|皇帝崇拝,,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020174,129,共通テスト基礎,制度・政策・法律,四帝分治制,していぶんちせい,テトラルキア,古代,地中海世界,ローマ帝国の東西,284〜305年のディオクレティアヌス帝時代,284,WH-020174-B01,beginner,用語の特定,identify,ディオクレティアヌス帝が、帝国の東西にそれぞれ正帝と副帝を置いた統治制度は？,四帝分治制,四帝分治制,テトラルキア,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020174,129,共通テスト基礎,制度・政策・法律,四帝分治制,していぶんちせい,テトラルキア,古代,地中海世界,ローマ帝国の東西,284〜305年のディオクレティアヌス帝時代,284,WH-020174-B02,beginner,中心人物,person,四帝分治制を採用した皇帝は？,ディオクレティアヌス,ディオクレティアヌス,ディオクレティアヌス帝,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020174,129,共通テスト基礎,制度・政策・法律,四帝分治制,していぶんちせい,テトラルキア,古代,地中海世界,ローマ帝国の東西,284〜305年のディオクレティアヌス帝時代,284,WH-020174-B03,beginner,内容,content,四帝分治制で帝国の東西それぞれに配置された、2種類の皇帝は？,正帝と副帝,正帝と副帝,副帝と正帝,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020174,129,共通テスト基礎,制度・政策・法律,四帝分治制,していぶんちせい,テトラルキア,古代,地中海世界,ローマ帝国の東西,284〜305年のディオクレティアヌス帝時代,284,WH-020174-B04,beginner,内容,content,四帝分治制において、ディオクレティアヌス自身が占めた地位は？,東の正帝,東の正帝,,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020174,129,共通テスト基礎,制度・政策・法律,四帝分治制,していぶんちせい,テトラルキア,古代,地中海世界,ローマ帝国の東西,284〜305年のディオクレティアヌス帝時代,284,WH-020174-R01,reverse,複合説明,reverse,四帝分治制は、どんな目的と仕組みを持つ？,284〜305年の治世に、ローマ皇帝**ディオクレティアヌス**が採用した分担統治制度。帝国を東西に分け、それぞれ**正帝と副帝**を置き、1人では統治しきれない広い領土を分担した。政治・経済の中心が東方へ移っていたため、彼自身は**東の正帝**となった。,ディオクレティアヌス|正帝と副帝|東の正帝,,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020174,129,共通テスト基礎,制度・政策・法律,四帝分治制,していぶんちせい,テトラルキア,古代,地中海世界,ローマ帝国の東西,284〜305年のディオクレティアヌス帝時代,284,WH-020174-I01,integrated,統合説明,integrated,「四帝分治制」について説明せよ。,284〜305年の治世に、ローマ皇帝**ディオクレティアヌス**が採用した分担統治制度。帝国を東西に分け、それぞれ**正帝と副帝**を置き、1人では統治しきれない広い領土を分担した。政治・経済の中心が東方へ移っていたため、彼自身は**東の正帝**となった。,ディオクレティアヌス|正帝と副帝|東の正帝,,,,07_ローマ帝国とキリスト教(3).md p.118〜119,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-B01,beginner,用語の特定,identify,ミラノ勅令でキリスト教を公認し、ニケーア公会議を開いてビザンティウムに遷都した皇帝は？,コンスタンティヌス帝,コンスタンティヌス帝,コンスタンティヌス,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-B02,beginner,関連,relation,コンスタンティヌス帝がキリスト教を公認した勅令は？,ミラノ勅令,ミラノ勅令,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-B03,beginner,関連,relation,コンスタンティヌス帝が325年に開いた公会議は？,ニケーア公会議,ニケーア公会議,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-B04,beginner,地域,place,コンスタンティヌス帝が330年に遷都し、改称した都市の新名称は？,コンスタンティノープル,コンスタンティノープル,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-B05,beginner,内容,content,コンスタンティヌス帝が発行した、純度が高く国際的に流通した金貨は？,ソリドゥス金貨,ソリドゥス金貨,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-B06,beginner,内容,content,コンスタンティヌス帝が移動を禁止して土地に緊縛した小作人の呼称は？,コロヌス,コロヌス,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-R01,reverse,複合説明,reverse,コンスタンティヌス帝の宗教政策はどんなものだった？,ローマ帝国の統治にキリスト教を役立てようとし、313年の**ミラノ勅令**で公認した。再統一後の325年には**ニケーア公会議**で教義の統一を進めた。,ミラノ勅令|ニケーア公会議,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）|325年：「会議員に来い　ニケーアに」ニケーア公会議,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-R02,reverse,複合説明,reverse,コンスタンティヌス帝は、統治と経済で何をした？,330年に**ビザンティウム**へ遷都して**コンスタンティノープル**とし、東方を中心に統治した。**コロヌスの土地緊縛**や**ソリドゥス金貨**の発行を行った。,ビザンティウム|コンスタンティノープル|コロヌスの土地緊縛|ソリドゥス金貨,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020175,130,共通テスト基礎,人物,コンスタンティヌス帝,こんすたんてぃぬすてい,コンスタンティヌス,古代,地中海世界,ローマ帝国・コンスタンティノープル,306年の副帝就任〜337年,306,WH-020175-I01,integrated,統合説明,integrated,「コンスタンティヌス帝」について説明せよ。,4世紀のローマ皇帝で、313年の**ミラノ勅令**でキリスト教を公認し、帝国再統一後の325年に**ニケーア公会議**を開いて教義統一を進めた。330年に**ビザンティウム**へ遷都して**コンスタンティノープル**とし、東方を統治の中心に据えた。**コロヌスの土地緊縛**や**ソリドゥス金貨**の発行によって、社会と経済の統制も強めた。,ミラノ勅令|ニケーア公会議|ビザンティウム|コンスタンティノープル|コロヌスの土地緊縛|ソリドゥス金貨,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）|325年：「会議員に来い　ニケーアに」ニケーア公会議,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-B01,beginner,用語の特定,identify,コンスタンティヌス帝らが、キリスト教を公認するために発した勅令は？,ミラノ勅令,ミラノ勅令,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-B02,beginner,時期,time,ミラノ勅令が出されたのはいつ？,313年,313年,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-B03,beginner,中心人物,person,ミラノ勅令をリキニウス帝とともに出した皇帝は？,コンスタンティヌス,コンスタンティヌス,コンスタンティヌス帝,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-B04,beginner,内容,content,ミラノ勅令によって公認された宗教は？,キリスト教,キリスト教,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-B05,beginner,関連,relation,ミラノ勅令の公認と区別される、テオドシウス帝による異教禁止を伴った宗教政策は？,キリスト教の国教化,キリスト教の国教化,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-R01,reverse,時期,time,ミラノ勅令が出されたのはいつ？,313年。,,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-R02,reverse,複合説明,reverse,ミラノ勅令はどんな勅令で、国教化とはどう違う？,**コンスタンティヌスとリキニウス**が、ローマ帝国で**キリスト教を公認**した。信者を統治の基盤として取り込む意図があったが、後の国教化とは異なり、**伝統的な多神教は禁止しなかった**。,コンスタンティヌスとリキニウス|キリスト教を公認|伝統的な多神教は禁止しなかった,,,,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020176,131,共通テスト基礎,制度・政策・法律,ミラノ勅令,みらのちょくれい,,古代,地中海世界,ローマ帝国,313年,313,WH-020176-I01,integrated,統合説明,integrated,「ミラノ勅令」について説明せよ。,313年、ローマ皇帝**コンスタンティヌスとリキニウス**が連名で出し、**キリスト教を公認**した勅令。増加するキリスト教徒を統治の基盤として取り込む意図があり、この時点では**伝統的な多神教は禁止されなかった**。,コンスタンティヌスとリキニウス|キリスト教を公認|伝統的な多神教は禁止されなかった,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）,07_ローマ帝国とキリスト教(3).md p.118〜120,
第2章_第7回_03_専制君主政とローマの東西分裂,WH-020177,132,共通テスト基礎,条約・会議,ニケーア公会議,にけーあこうかいぎ,,古代,地中海世界,ローマ帝国・ニケーア,325年,325,WH-020177-B01,beginner,用語の特定,identify,コンスタンティヌス帝が開き、アタナシウス派を正統、アリウス派を異端とした会議は？,ニケーア公会議,ニケーア公会議,,,,07_ローマ帝国とキリスト教(3).md p.118・120・124,
