dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-B01,beginner,用語の特定,identify,春秋・戦国時代、各国の君主による人材登用を背景に現れた、さまざまな思想家と学説の総称は？,諸子百家,諸子百家,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-B02,beginner,原因,cause,諸子百家の登場を促した、各国の君主による政策は？,有能な人材の登用,有能な人材の登用,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-B03,beginner,関連,relation,諸子百家のうち、孔子が創始した学派は？,儒家,儒家,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-B04,beginner,関連,relation,諸子百家のうち、刑罰を明らかにした統治を説いた学派は？,法家,法家,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-R01,reverse,時期,time,諸子百家：説かれた・広がったのはいつ？,**春秋・戦国時代（前770年〜前221年）**,春秋|戦国時代（前770年〜前221年）,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-R02,reverse,内容,reverse,諸子百家：どんな考え・教え？,中国で各国の君主が富国強兵のため有能な人材を求めたことを背景に現れた、思想家と学説の総称。**儒家・法家・墨家・道家**などが自説を説き、中国思想の源流となった。,儒家|法家|墨家|道家,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030036,21,共通テスト基礎,思想・主義,諸子百家,しょしひゃっか,,古代,東アジア,中国,春秋・戦国時代（前770年〜前221年）,-403,WH-030036-I01,integrated,統合説明,integrated,「諸子百家」について説明せよ。,春秋・戦国時代（前770年〜前221年）、中国で各国の君主が富国強兵のため有能な人材を求めたことを背景に現れた、思想家と学説の総称。**儒家・法家・墨家・道家**などが自説を説き、中国思想の源流となった。,儒家|法家|墨家|道家,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜140・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-B01,beginner,用語の特定,identify,孔子を創始者とし、仁や礼、家族道徳を重視して秩序の回復を説いた学派は？,儒家,儒家,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-B02,beginner,中心人物,person,儒家を創始した人物は？,孔子,孔子,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-B03,beginner,内容,content,儒家の孔子が、孝や悌の実践を通じて完成させようとした徳は？,仁,仁,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-B04,beginner,中心人物,person,儒家のうち、性善説に基づく徳治主義を説いた人物は？,孟子,孟子,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-B05,beginner,中心人物,person,儒家のうち、性悪説に基づく礼治主義を説いた人物は？,荀子(じゅんし),荀子,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-R01,reverse,時期,time,儒家：説かれた・広がったのはいつ？,**前770年に始まる春秋時代の末期から**,前770年に始まる春秋時代の末期から,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-R02,reverse,内容,reverse,儒家：どんな考え・教え？,中国で**孔子**が創始した、**仁・礼**や家族道徳を重んじる学派。孟子は性善説に基づく徳治主義を、荀子(じゅんし)は性悪説に基づく礼治主義を説き、以後の中国思想の中心となった。,孔子|仁|礼,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030037,22,共通テスト基礎,思想・主義,儒家,じゅか,,古代,東アジア,中国,前770年に始まる春秋時代の末期から,-500,WH-030037-I01,integrated,統合説明,integrated,「儒家」について説明せよ。,前770年に始まる春秋時代の末期から、中国で**孔子**が創始した、**仁・礼**や家族道徳を重んじる学派。孟子は性善説に基づく徳治主義を、荀子(じゅんし)は性悪説に基づく礼治主義を説き、以後の中国思想の中心となった。,孔子|仁|礼,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030038,23,共通テスト基礎,人物,孔子,こうし,,古代,東アジア,中国・魯と諸国,前770年に始まる春秋時代の末期,-500,WH-030038-B01,beginner,用語の特定,identify,魯の政治改革に参加した後に諸国を巡り、仁や礼を重視する儒家を創始した思想家は？,孔子,孔子,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030038,23,共通テスト基礎,人物,孔子,こうし,,古代,東アジア,中国・魯と諸国,前770年に始まる春秋時代の末期,-500,WH-030038-B02,beginner,時期,time,孔子が儒家を創始したのは、どの時代の末期？,春秋時代末期,春秋時代末期,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030038,23,共通テスト基礎,人物,孔子,こうし,,古代,東アジア,中国・魯と諸国,前770年に始まる春秋時代の末期,-500,WH-030038-B03,beginner,地域,place,孔子が政治改革に参加した国は？,魯,魯,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
第3章_第8回_4_諸子百家の登場,WH-030038,23,共通テスト基礎,人物,孔子,こうし,,古代,東アジア,中国・魯と諸国,前770年に始まる春秋時代の末期,-500,WH-030038-B04,beginner,内容,content,孔子が、孝や悌の実践を通じて完成させようとした徳は？,仁,仁,,,,08_古代中国①（中国文明〜秦）(1).md p.138〜139・143,
