dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B01,beginner,用語の特定,identify,ポリスを基盤とし、自由で人間中心、合理的な思考や調和と均整を特徴とする古代の文化は？,ギリシア文化,ギリシア文化,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B02,beginner,関連,relation,ギリシア文化における政治・社会・文化の基盤となった共同体は？,ポリス,ポリス,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B03,beginner,内容,content,ギリシア文化の芸術で重視された、全体の釣り合いに関する特徴は？,調和と均整,調和と均整,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B04,beginner,中心人物,person,ギリシア文化の三大悲劇詩人を3人挙げよ。,アイスキュロス・ソフォクレス・エウリピデス,アイスキュロス・ソフォクレス・エウリピデス,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B05,beginner,中心人物,person,ギリシア文化で、反戦喜劇『女の平和』を書いた人物は？,アリストファネス,アリストファネス,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B06,beginner,内容,content,ギリシア文化の神殿建築で、柱にほとんど装飾がない様式は？,ドーリア式,ドーリア式,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B07,beginner,内容,content,ギリシア文化の神殿建築で、柱に渦巻きの装飾がある様式は？,イオニア式,イオニア式,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-B08,beginner,内容,content,ギリシア文化の神殿建築で、柱にアカンサスの葉をかたどった装飾がある様式は？,コリント式,コリント式,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-R01,reverse,複合説明,reverse,ギリシア文化は、どんな社会から生まれた？,前8世紀以降、**ポリス**の市民が対等に議論する社会を基盤として生まれた。神話だけに頼らず論理的に説明する**合理性**と、自由で**人間中心**の性格を持つ。,ポリス|合理性|人間中心,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
第2章_第5回_04_ギリシア文化,WH-020087,51,共通テスト基礎,文化・技術・学問,ギリシア文化,ぎりしあぶんか,,古代,地中海世界,ギリシア,前8世紀以降のポリス社会,-800,WH-020087-R02,reverse,複合説明,reverse,ギリシア文化の演劇には、どんな代表者と役割がある？,祭典での競演は市民の団結を図る機会となり、三大悲劇詩人の**アイスキュロス・ソフォクレス・エウリピデス**が活躍した。**アリストファネス**は『**女の平和**』などの喜劇で社会や戦争を風刺した。,アイスキュロス・ソフォクレス・エウリピデス|アリストファネス|女の平和,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.89〜93,
