"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-18-04-001","一問一答","人物","李自成軍の北京侵入の際に自殺し、明の最後の皇帝となった人物は？","崇禎帝（毅宗）。","明の滅亡と、続く清の北京入城は区別して整理する。","","18_中華帝国の繁栄（明・清）.md","p.282;p.291","L64;L369"
"WHSO-05-18-04-002","一問一答","人物","1644年、北京を占領して明を滅亡させた反乱軍の指導者は？","李自成。","明を直接滅ぼしたのは李自成軍で、その後に清軍が北京へ入った。","","18_中華帝国の繁栄（明・清）.md","p.282;p.291","L65;L369"
"WHSO-05-18-04-003","一問一答","時期","明が滅亡し、清軍が北京へ入城したのは何年か？","1644年。","清という国号への改称は、それ以前の1636年である。","","18_中華帝国の繁栄（明・清）.md","p.282;p.290","L65;L327"
"WHSO-05-18-04-004","一問一答","人物","女真族を統一して後金を建国した人物は？","ヌルハチ（太祖）。","建州部を基盤に勢力を拡大した。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L319;L359"
"WHSO-05-18-04-005","一問一答","主体","ヌルハチが統一した、中国東北部の民族は？","女真族。","ホンタイジの時代に、民族名が正式に満洲へ改められた。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L319;L359;L361"
"WHSO-05-18-04-006","一問一答","主体","ヌルハチが1616年に建国した国は？","後金（アイシン）。","ホンタイジがのちに国号を清と改めた。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L319;L317;L361"
"WHSO-05-18-04-007","一問一答","用語の特定","ヌルハチが創設した、女真族の軍事・政治・社会の基礎となる制度は？","八旗。","最初に満洲八旗がつくられ、その後に蒙古八旗・漢軍八旗が加わった。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L320;L359"
"WHSO-05-18-04-008","一問一答","人物","後金を継ぎ、国号を清に改めた人物は？","ホンタイジ（太宗）。","チャハルの平定後、皇帝を称した。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L321-L322;L361"
"WHSO-05-18-04-009","一問一答","主体","ホンタイジが1635年に平定した、元の大ハーンの直系を名乗るモンゴルの勢力は？","チャハル。","国号を清とする前に平定された。","","18_中華帝国の繁栄（明・清）.md","p.290","L322;L321"
"WHSO-05-18-04-010","一問一答","時期","ホンタイジが国号を清に改めたのは何年か？","1636年。","後金建国の1616年、北京入城の1644年と区別する。","","18_中華帝国の繁栄（明・清）.md","p.290","L322;L321;L327"
"WHSO-05-18-04-011","一問一答","用語の特定","清が内モンゴルの部族を統括するために設け、のちに藩部を管理した機関は？","理藩院。","内地とは異なる地域の支配を担当した。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L323;L363"
"WHSO-05-18-04-012","一問一答","主体","1637年、ホンタイジに服属し、明ではなく清へ朝貢するようになった国は？","朝鮮（李朝）。","明と清の双方が皇帝を称するなかで、朝貢関係が変更された。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L324;L363"
"WHSO-05-18-04-013","一問一答","内容","ホンタイジが満洲八旗に加えて編成した、二つの八旗は？","蒙古八旗（モンゴル八旗）と漢軍八旗。","モンゴル諸部族や漢人の移民・投降兵を組み込んだ。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L325;L363"
"WHSO-05-18-04-014","一問一答","人物","清の北京入城後、北京に都を移した皇帝は？","順治帝（世祖）。","清が明の後継者として中国を統治し始めた時期の皇帝である。","","18_中華帝国の繁栄（明・清）.md","p.290;p.292","L326-L327;L390"
"WHSO-05-18-04-015","一問一答","人物","清に投降し、清軍を北京入城へ導いた明の将軍は？","呉三桂。","明と清の境にある山海関を守っていた。","","18_中華帝国の繁栄（明・清）.md","p.290;p.291","L327;L371"
"WHSO-05-18-04-016","一問一答","用語の特定","清が華南平定に功績のあった呉三桂ら3人を藩王に封じた結果、華南に成立したものは？","三藩。","康熙帝の時代に、藩の廃止をめぐって反乱が起こった。","","18_中華帝国の繁栄（明・清）.md","p.290;p.292","L328;L390;L331"
"WHSO-05-18-04-017","一問一答","人物","三藩の乱を鎮圧し、鄭氏台湾を平定した清の皇帝は？","康熙帝（聖祖）。","その後の対外政策ではネルチンスク条約なども重要である。","","18_中華帝国の繁栄（明・清）.md","p.290","L329-L332"
"WHSO-05-18-04-018","一問一答","用語の特定","康熙帝の三藩廃止方針に反発し、呉三桂らが起こした反乱は？","三藩の乱。","1673年に始まり、1681年に鎮圧された。","","18_中華帝国の繁栄（明・清）.md","p.290;p.292","L331;L329;L394"
"WHSO-05-18-04-019","一問一答","時期","三藩の乱が続いた期間は？","1673〜1681年。","鄭氏台湾の平定は、その後の1683年である。","","18_中華帝国の繁栄（明・清）.md","p.290","L331"
"WHSO-05-18-04-020","一問一答","人物","オランダ勢力を台湾から追い出し、台湾を反清復明運動の拠点とした人物は？","鄭成功。","死後は息子の鄭経が抵抗を続けた。","","18_中華帝国の繁栄（明・清）.md","p.290;p.292","L332;L392"
