"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-28-04-001","1792年、男子普通選挙によって選出され、王政を廃止した議会は？","国民公会。","一院制の議会で、フランス第一共和政を成立させた。","用語の特定","一問一答","","28_フランス革命.md","452","196"
"WH-28-04-002","フランスで王政が廃止され、第一共和政が成立したのは何年か？","1792年。","8月10日事件による王権停止の後、国民公会が王政廃止を宣言した。","時期","一問一答","","28_フランス革命.md","452","196"
"WH-28-04-003","ルイ16世が処刑された年月日は？","1793年1月21日。","国王処刑後、革命波及を警戒する諸国による第1回対仏大同盟が結成された。","時期","一問一答","","28_フランス革命.md","452","197"
"WH-28-04-004","1793年、徴兵への農民の反発から起こり、反革命勢力も関与した地方反乱は？","ヴァンデーの反乱。","王党派やカトリック教会が関与し、山岳派が主導して鎮圧した。","用語の特定","一問一答","","28_フランス革命.md","452","199"
"WH-28-04-005","反革命派とみなした人々の審理・処罰を担い、恐怖政治の機関となった裁判機関は？","革命裁判所。","行政を統制する公安委員会とは役割が異なる。","用語の特定","一問一答","","28_フランス革命.md","452","200"
"WH-28-04-006","革命の危機に対応するために設置され、中央集権化と恐怖政治の中心となった委員会は？","公安委員会。","ロベスピエールが指導し、民衆の動員や統制とも結びついた。","用語の特定","一問一答","","28_フランス革命.md","452","200"
"WH-28-04-007","男子普通選挙や生活権・労働権を定めながら、施行されなかったフランス革命期の憲法は？","1793年憲法。","平和になるまで施行が延期され、結局実施されなかった。","用語の特定","一問一答","","28_フランス革命.md","452","202"
"WH-28-04-008","国民公会期、食糧・生活必需品や賃金の上限を定めた法令は？","最高価格令。","物価だけでなく賃金も統制の対象だったことに注意する。","用語の特定","一問一答","","28_フランス革命.md","452","204"
"WH-28-04-009","1793年、キリスト教否定運動の一環として採用された暦は？","革命暦（共和暦）。","グレゴリウス暦に代わって採用された。","用語の特定","一問一答","","28_フランス革命.md","452","205"
"WH-28-04-010","ロベスピエールの失脚につながったテルミドールの反動が起きたのは何年か？","1794年。","資料の年表では7月27日とされ、恐怖政治の終結につながった。","時期","一問一答","","28_フランス革命.md","452","208"
"WH-28-04-011","国民公会の成立により、国の政治体制はどのように変わったか？","王政が廃止され、第一共和政が成立した。","立法議会が王権を停止した段階から、王政そのものを廃止する段階に進んだ。","関係","一問一答","","28_フランス革命.md","455","275"
"WH-28-04-012","国民公会内で対立した、主要な二つの共和派は？","ジロンド派と山岳派（ジャコバン派）。","フィヤン派がいなくなった議会で、ジロンド派が右、山岳派が左に位置した。","主体","一問一答","","28_フランス革命.md","455","275"
"WH-28-04-013","国民公会で山岳派の勢力が拡大した背景として、資料が挙げる社会的変化は？","下層民衆の発言力が強まったこと。","男子普通選挙による議会成立と、民衆運動の影響に注目する。","原因","一問一答","","28_フランス革命.md","455","275"
"WH-28-04-014","ルイ16世の処刑をめぐって、山岳派とジロンド派の対応はどう異なったか？","山岳派が処刑を主張したのに対し、ジロンド派は処刑を延期しようとした。","国王処刑の問題も、両派の対立を深めた。","関係","一問一答","","28_フランス革命.md","455","279"
"WH-28-04-015","ルイ16世の裁判で王政を批判し、処刑を主張した山岳派の人物として、ロベスピエールとともに登場するのは誰か？","サン＝ジュスト。","資料では、国王裁判の方向に影響した発言者として挙げられる。","人物","一問一答","","28_フランス革命.md","455","279"
