dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-B01,beginner,用語の特定,identify,フランスでカトリックとカルヴァン派の対立から始まり、ナントの王令で収束した宗教戦争は？,ユグノー戦争,ユグノー戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-B02,beginner,時期,time,ユグノー戦争が始まったのはいつ？,1562年,1562年,1562,,1562：「いつごろにおわる　ユグノー戦争」ユグノー戦争,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-B03,beginner,中心人物,person,ユグノー戦争で旧教派の中心となった貴族は？,ギーズ公,ギーズ公,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-B04,beginner,関連語,relation,ユグノー戦争を激化させた1572年の事件は？,サンバルテルミの虐殺,サンバルテルミの虐殺,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-B05,beginner,中心人物,person,ユグノー戦争を終結させたブルボン朝の国王は？,アンリ4世,アンリ4世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-B06,beginner,関連語,relation,ユグノー戦争を終結させた法令は？,ナントの王令,ナントの王令,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-R01,reverse,時期・地域,reverse,戦われたのはいつ？,**1562〜1598年**。,1562〜1598年,,,1562：「いつごろにおわる　ユグノー戦争」ユグノー戦争,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-R02,reverse,複合説明,reverse,なぜ起きた？,**フランス**で商工業者や貴族に広がった**ユグノー**と、ギーズ公らカトリック派の対立が激化したため。,フランス|ユグノー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-R03,reverse,複合説明,reverse,何が起きた？,**サンバルテルミの虐殺**や外国の干渉で内戦が激化したが、ブルボン朝の**アンリ4世**が改宗と**ナントの王令**によって宗教対立を収めた。,サンバルテルミの虐殺|アンリ4世|ナントの王令,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250301,218,共通テスト基礎,戦争,ユグノー戦争,ゆぐのーせんそう,,近世,ヨーロッパ,フランス,1562〜1598年,1562,WH-250301-I01,integrated,統合説明,integrated,「ユグノー戦争」について説明せよ。,1562〜1598年、**フランス**で商工業者や貴族に広がった**ユグノー**と、ギーズ公らカトリック派の対立が激化したため。**サンバルテルミの虐殺**や外国の干渉で内戦が激化したが、ブルボン朝の**アンリ4世**が改宗と**ナントの王令**によって宗教対立を収めた。,フランス|ユグノー|サンバルテルミの虐殺|アンリ4世|ナントの王令,,,1562：「いつごろにおわる　ユグノー戦争」ユグノー戦争,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–404,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250302,369,共通テスト標準,人物,ギーズ公,ぎーずこう,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250302-B01,beginner,用語の特定,identify,ユグノー戦争で、カトリック派の中心となり、スペインなどの支援を受けた貴族は？,ギーズ公,ギーズ公,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250302,369,共通テスト標準,人物,ギーズ公,ぎーずこう,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250302-B02,beginner,内容,content,ギーズ公がユグノー戦争で率いた宗派は？,カトリック,カトリック,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250302,369,共通テスト標準,人物,ギーズ公,ぎーずこう,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250302-B03,beginner,関係する勢力,actor,ギーズ公らの旧教派を支援した、フェリペ2世の国は？,スペイン,スペイン,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250302,369,共通テスト標準,人物,ギーズ公,ぎーずこう,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250302-B04,beginner,関係する勢力,actor,ギーズ公ら旧教派が対立したフランスのカルヴァン派の呼び名は？,ユグノー,ユグノー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250302,369,共通テスト標準,人物,ギーズ公,ぎーずこう,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250302-R01,reverse,複合説明,reverse,何をした？,16世紀後半の**フランス**で、**ユグノー戦争**におけるカトリック派の中心となった貴族。ユグノーを弾圧し、旧教派は**スペイン**などの支援を受けて対抗した。,フランス|ユグノー戦争|スペイン,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250302,369,共通テスト標準,人物,ギーズ公,ぎーずこう,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250302-I01,integrated,統合説明,integrated,「ギーズ公」について説明せよ。,16世紀後半の**フランス**で、**ユグノー戦争**におけるカトリック派の中心となった貴族。ユグノーを弾圧し、旧教派は**スペイン**などの支援を受けて対抗した。,フランス|ユグノー戦争|スペイン,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250303,370,共通テスト標準,人物,カトリーヌ＝ド＝メディシス,かとりーぬどめでぃしす,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250303-B01,beginner,用語の特定,identify,幼いシャルル9世の母として摂政となり、カトリックとユグノーの間で勢力の均衡を図った王母は？,カトリーヌ＝ド＝メディシス,カトリーヌ＝ド＝メディシス,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250303,370,共通テスト標準,人物,カトリーヌ＝ド＝メディシス,かとりーぬどめでぃしす,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250303-B02,beginner,中心人物,person,カトリーヌ＝ド＝メディシスが摂政として補佐した息子の国王は？,シャルル9世,シャルル9世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250303,370,共通テスト標準,人物,カトリーヌ＝ド＝メディシス,かとりーぬどめでぃしす,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250303-B03,beginner,関連語,relation,カトリーヌ＝ド＝メディシスの出身家で、イタリアの文化保護で知られる家は？,メディチ家,メディチ家,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250303,370,共通テスト標準,人物,カトリーヌ＝ド＝メディシス,かとりーぬどめでぃしす,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250303-B04,beginner,関連語,relation,カトリーヌ＝ド＝メディシスの時代にフランスで激化した宗教戦争は？,ユグノー戦争,ユグノー戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250303,370,共通テスト標準,人物,カトリーヌ＝ド＝メディシス,かとりーぬどめでぃしす,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250303-R01,reverse,複合説明,reverse,何をした？,16世紀後半の**フランス**で、幼い**シャルル9世**の母として摂政を務めた、メディチ家出身の王母。カトリック派とユグノーの均衡を図って王権を強めようとしたが、**ユグノー戦争**の激化を抑えられなかった。,フランス|シャルル9世|ユグノー戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250303,370,共通テスト標準,人物,カトリーヌ＝ド＝メディシス,かとりーぬどめでぃしす,,近世,ヨーロッパ,フランス,16世紀後半,1550,WH-250303-I01,integrated,統合説明,integrated,「カトリーヌ＝ド＝メディシス」について説明せよ。,16世紀後半の**フランス**で、幼い**シャルル9世**の母として摂政を務めた、メディチ家出身の王母。カトリック派とユグノーの均衡を図って王権を強めようとしたが、**ユグノー戦争**の激化を抑えられなかった。,フランス|シャルル9世|ユグノー戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250304,219,共通テスト基礎,事件・革命,サンバルテルミの虐殺,さんばるてるみのぎゃくさつ,,近世,ヨーロッパ,フランス・パリ,1572年,1572,WH-250304-B01,beginner,用語の特定,identify,ナヴァル王アンリの結婚式のためパリに集まったユグノーがカトリック派に襲われ、全国にも虐殺が広がった事件は？,サンバルテルミの虐殺,サンバルテルミの虐殺,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250304,219,共通テスト基礎,事件・革命,サンバルテルミの虐殺,さんばるてるみのぎゃくさつ,,近世,ヨーロッパ,フランス・パリ,1572年,1572,WH-250304-B02,beginner,時期,time,サンバルテルミの虐殺が起きたのはいつ？,1572年,1572年,1572,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250304,219,共通テスト基礎,事件・革命,サンバルテルミの虐殺,さんばるてるみのぎゃくさつ,,近世,ヨーロッパ,フランス・パリ,1572年,1572,WH-250304-B03,beginner,地域,place,サンバルテルミの虐殺の発端となった虐殺が起きた都市は？,パリ,パリ,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
世界史探究_第25回_03_ユグノー戦争〜フランスの宗教戦争〜,WH-250304,219,共通テスト基礎,事件・革命,サンバルテルミの虐殺,さんばるてるみのぎゃくさつ,,近世,ヨーロッパ,フランス・パリ,1572年,1572,WH-250304-B04,beginner,関係する勢力,actor,サンバルテルミの虐殺で襲われた宗派は？,ユグノー,ユグノー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.402–403,
