dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-B01,beginner,用語の特定,identify,唐の滅亡後、華北で五つの王朝が交替し、江南・華南などでも地方政権が興亡した時代は？,五代十国時代,五代十国時代,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-B02,beginner,時期,time,五代十国時代の期間は？,907〜979年,907〜979年,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-B03,beginner,国家・勢力・社会集団,actor,五代十国時代に政権抗争の主体となった地方勢力は？,藩鎮(はんちん),藩鎮,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-B04,beginner,結果,result,五代十国時代の戦乱で完全に没落した、それまでの支配階級は？,貴族階級,貴族階級,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-B05,beginner,関連,relation,五代十国時代を終わらせて中国を再統一した王朝は？,宋,宋,北宋,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-R01,reverse,時期,time,五代十国時代はいつ続いた？,**907〜979年**。,907〜979年,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-R02,reverse,複合説明,reverse,五代十国時代には何が起きた？,中国では**藩鎮(はんちん)**の政権抗争が続き、華北で**五代**、江南・華南などで**十国**が興亡した。戦乱で**貴族階級が没落**する一方、農地開発や物流の発展を背景に**新興地主**が台頭した。,藩鎮|五代|十国|貴族階級が没落|新興地主,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160001,1,標準,時代・歴史区分,五代十国時代,ごだいじっこくじだい,,中世,東アジア,中国（華北・江南・華南）,907〜979年,907,WH-160001-I01,integrated,統合説明,integrated,「五代十国時代」について説明せよ。,907〜979年の中国で、**藩鎮(はんちん)**の政権抗争により華北の**五代**と江南・華南などの**十国**が興亡した時代。戦乱で**貴族階級が没落**し、農地開発や物流の発展を背景に**新興地主**が台頭した。,藩鎮|五代|十国|貴族階級が没落|新興地主,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160002,125,標準,組織・政党,藩鎮,はんちん,,中世,東アジア,中国各地,唐末〜五代十国時代（907〜979年）,907,WH-160002-B01,beginner,用語の特定,identify,唐末から五代十国時代に、節度使(せつどし)が軍事・民政・財政の権限を握って半独立した地方勢力は？,藩鎮(はんちん),藩鎮,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160002,125,標準,組織・政党,藩鎮,はんちん,,中世,東アジア,中国各地,唐末〜五代十国時代（907〜979年）,907,WH-160002-B02,beginner,中心人物,person,藩鎮(はんちん)を支配した軍事長官を何という？,節度使(せつどし),節度使,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160002,125,標準,組織・政党,藩鎮,はんちん,,中世,東アジア,中国各地,唐末〜五代十国時代（907〜979年）,907,WH-160002-B03,beginner,内容,content,藩鎮(はんちん)が軍事権と財政権のほかに握っていた、民衆の行政に関する権限は？,民政権,民政権,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160002,125,標準,組織・政党,藩鎮,はんちん,,中世,東アジア,中国各地,唐末〜五代十国時代（907〜979年）,907,WH-160002-B04,beginner,結果,result,五代十国時代に藩鎮(はんちん)の農地開発や治水で農業が発展した中心的な流域は？,長江流域,長江流域,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
第16回_01_五代十国と社会の変動,WH-160002,125,標準,組織・政党,藩鎮,はんちん,,中世,東アジア,中国各地,唐末〜五代十国時代（907〜979年）,907,WH-160002-R01,reverse,複合説明,reverse,五代十国時代の藩鎮(はんちん)は何をした？,907〜979年の五代十国時代の中国では、**節度使(せつどし)**が軍事・民政・財政の権限を握って政権抗争を続けた。各地の藩鎮(はんちん)は領内の**農地開発・治水事業**を進め、長江流域を中心とする農業の発展にもつながった。,節度使|農地開発・治水事業,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255–257,
