dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,grammar_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_text,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000301,301,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おとなし,おとなし,なし,形容詞,品詞=形容詞,CJ-000301-C01,meaning,重要語義1,おとなし,大人びている,大人びている｜大人らしい,古文で「大人びている」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,現代語の「おとなしい」,古文では静かな性格より「大人びる・思慮分別がある」が中心。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,思慮分別=しりょふんべつ
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000301,301,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おとなし,おとなし,なし,形容詞,品詞=形容詞,CJ-000301-C02,meaning,重要語義2,おとなし,思慮分別がある,思慮分別がある｜思慮がある,古文で「思慮分別がある」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,現代語の「おとなしい」,古文では静かな性格より「大人びる・思慮分別がある」が中心。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,思慮分別=しりょふんべつ
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000301,301,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おとなし,おとなし,なし,形容詞,品詞=形容詞,CJ-000301-C03,meaning,重要語義3,おとなし,年配だ,年配だ｜年長だ,古文で「年配だ」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,現代語の「おとなしい」,古文では静かな性格より「大人びる・思慮分別がある」が中心。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,思慮分別=しりょふんべつ
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000302,302,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,いはけなし,いわけなし,いわけなし,形容詞,品詞=形容詞,CJ-000302-C01,meaning,重要語義1,いはけなし,幼い,幼い｜子どもっぽい,古文で「幼い」を表す基本語義。,なし,なし,なし,いとけなし,どちらも「幼い」。表記の違いも含めて覚える。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000303,303,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,しるし（形容詞）,しるし,著し,形容詞,品詞=形容詞,CJ-000303-C01,meaning,重要語義1,しるし（形容詞）,はっきりしている,はっきりしている｜明白だ,古文で「はっきりしている」を表す基本語義。,なし,なし,なし,しるし（名詞）,形容詞は「はっきりしている」、名詞は「効果・兆候・証拠」。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000304,304,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おどろおどろし,おどろおどろし,なし,形容詞,品詞=形容詞,CJ-000304-C01,meaning,重要語義1,おどろおどろし,大げさだ,大げさだ｜仰々しい,古文で「大げさだ」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,仰々しい=ぎょうぎょうしい
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000304,304,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おどろおどろし,おどろおどろし,なし,形容詞,品詞=形容詞,CJ-000304-C02,meaning,重要語義2,おどろおどろし,気味が悪い,気味が悪い｜恐ろしい,古文で「気味が悪い」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000305,305,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,ゆくりなし,ゆくりなし,なし,形容詞,品詞=形容詞,CJ-000305-C01,meaning,重要語義1,ゆくりなし,突然だ,突然だ｜思いがけない,古文で「突然だ」を表す基本語義。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000306,306,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,いふかひなし,いうかいなし,いうかいなし,形容詞,品詞=形容詞,CJ-000306-C01,meaning,重要語義1,いふかひなし,どうしようもない,どうしようもない｜言ってもしかたがない,古文で「どうしようもない」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000306,306,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,いふかひなし,いうかいなし,いうかいなし,形容詞,品詞=形容詞,CJ-000306-C02,meaning,重要語義2,いふかひなし,取るに足りない,取るに足りない｜つまらない,古文で「取るに足りない」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000307,307,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,ほいなし,ほいなし,本意なし,形容詞,品詞=形容詞,CJ-000307-C01,meaning,重要語義1,ほいなし,残念だ,残念だ｜不本意だ,古文で「残念だ」を表す基本語義。,なし,なし,なし,ほい,「ほい」は本来の願い、「ほいなし」はその願いに反して残念だ。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000308,308,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,いたし,いたし,なし,形容詞,品詞=形容詞,CJ-000308-C01,meaning,重要語義1,いたし,はなはだしい,はなはだしい｜程度が激しい,古文で「はなはだしい」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000308,308,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,いたし,いたし,なし,形容詞,品詞=形容詞,CJ-000308-C02,meaning,重要語義2,いたし,すばらしい,すばらしい｜立派だ,古文で「すばらしい」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000309,309,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おもしろし,おもしろし,なし,形容詞,品詞=形容詞,CJ-000309-C01,meaning,重要語義1,おもしろし,趣がある,趣がある｜風情がある,古文で「趣がある」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,をかし,どちらも趣を表すが、「おもしろし」は目の前が明るく開けた感動にも用いる。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000309,309,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,おもしろし,おもしろし,なし,形容詞,品詞=形容詞,CJ-000309-C02,meaning,重要語義2,おもしろし,すばらしい,すばらしい｜見事だ,古文で「すばらしい」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,をかし,どちらも趣を表すが、「おもしろし」は目の前が明るく開けた感動にも用いる。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000310,310,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,わろし,わろし,なし,形容詞,品詞=形容詞,CJ-000310-C01,meaning,重要語義1,わろし,よくない,よくない｜好ましくない,古文で「よくない」を表す基本語義。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000311,311,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,あし,あし,悪し,形容詞,品詞=形容詞,CJ-000311-C01,meaning,重要語義1,あし,悪い,悪い｜よくない,古文で「悪い」を表す基本語義。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck2_共通テスト・受験標準_300,CJ-000312,312,単語Deck2_共通テスト・受験標準,語彙,標準形容詞,かひなし,かいなし,かいなし,形容詞,品詞=形容詞,CJ-000312-C01,meaning,重要語義1,かひなし,効果がない,効果がない｜かいがない,古文で「効果がない」を表す語義。文脈に応じて他の重要語義と訳し分ける。,なし,なし,なし,かひ,「かひ」は効果・価値、「かひなし」は効果や価値がない。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
