dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-B01,beginner,用語の特定,identify,新教の拡大に対し、カトリック教会が公会議による内部改革、異端への弾圧、海外伝道などで勢力回復を図った運動は？,対抗宗教改革,対抗宗教改革,,,,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-B02,beginner,関連,relation,対抗宗教改革で、1545年からカトリックの教義や規律を再確認した会議は？,トリエント公会議,トリエント公会議,,,,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-B03,beginner,内容,content,対抗宗教改革で、反カトリックの書物を読むことを禁じるために定められた目録は？,禁書目録,禁書目録,,,,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-B04,beginner,国家・勢力,actor,対抗宗教改革で教育や海外伝道に活躍した、ロヨラらが創設した修道会は？,イエズス会,イエズス会,ジェズイット教団,,,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-R01,reverse,背景・内容,reverse,どんな運動？,**新教の拡大**に対してカトリック教会が体制を立て直す運動で、1545年から**北イタリア**で開かれた**トリエント公会議**などを通じて教義と規律を確認した。,新教の拡大|北イタリア|トリエント公会議,,,1545：「一声進行　トリエント」トリエント公会議,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-R02,reverse,活動・広がり,reverse,どのような活動を進めた？,16世紀のヨーロッパで**禁書目録**や宗教裁判を強化する一方、**イエズス会**などが教育と伝道を進め、アジア・アメリカ大陸にも布教を広げた。,禁書目録|イエズス会,,,,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230401,71,共通テスト基礎,運動,対抗宗教改革,たいこうしゅうきょうかいかく,,近世,ヨーロッパ・アメリカ・アジア,ヨーロッパ・アジア・アメリカ大陸,16世紀・1545年からの公会議など,1545,WH-230401-I01,integrated,統合説明,integrated,「対抗宗教改革」について説明せよ。,**新教の拡大**に対してカトリック教会が体制を立て直す運動で、1545年から**北イタリア**で開かれた**トリエント公会議**などを通じて教義と規律を確認した。16世紀のヨーロッパで**禁書目録**や宗教裁判を強化する一方、**イエズス会**などが教育と伝道を進め、アジア・アメリカ大陸にも布教を広げた。,新教の拡大|北イタリア|トリエント公会議|禁書目録|イエズス会,,,1545：「一声進行　トリエント」トリエント公会議,23_宗教改革(1).md p.379–380,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230402,72,共通テスト基礎,思想・主義,万人司祭主義,ばんにんしさいしゅぎ,,近世,ヨーロッパ,ドイツ・スイスなど西ヨーロッパ,16世紀の宗教改革期,1500,WH-230402-B01,beginner,用語の特定,identify,ルターやカルヴァンが唱えた、すべての信者は平等に司祭であり、教会を仲介せず神に直接祈るとする考えは？,万人司祭主義,万人司祭主義,,,,23_宗教改革(1).md p.379,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230402,72,共通テスト基礎,思想・主義,万人司祭主義,ばんにんしさいしゅぎ,,近世,ヨーロッパ,ドイツ・スイスなど西ヨーロッパ,16世紀の宗教改革期,1500,WH-230402-B02,beginner,中心人物,person,万人司祭主義を唱えた、ドイツとスイスの代表的な改革者二人は？,ルターとカルヴァン,ルターとカルヴァン,カルヴァンとルター,,,23_宗教改革(1).md p.379,
世界史探究_第23回_04_対抗宗教改革〜カトリックの改革〜,WH-230402,72,共通テスト基礎,思想・主義,万人司祭主義,ばんにんしさいしゅぎ,,近世,ヨーロッパ,ドイツ・スイスなど西ヨーロッパ,16世紀の宗教改革期,1500,WH-230402-B03,beginner,内容,content,万人司祭主義では、神と信者の間で仲介する権威を認めない組織は？,カトリック教会,カトリック教会,教会,,,23_宗教改革(1).md p.379,
