dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,rule_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_original,example_kundoku,example_kakikudashi,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
漢文 意味瞬発 Deck1 最重要250項目,CC-000001,1,Deck1 最重要・意味瞬発,再読文字,否定,未〜,いまだ〜ず,未,再読文字,形=未〜;読み=いまだ〜ず;意味=まだ〜ない;音声=解答後,CC-000001-C01,meaning,意味瞬発（音声=解答後）,「未〜」の意味を答えよ。,まだ〜ない,まだ〜ない｜いまだ〜ない,動作・状態がまだ実現していないことを表す。,なし,なし,なし,なし,なし,なし,なし,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000002,2,Deck1 最重要・意味瞬発,再読文字,将来・意志,将〜,まさに〜んとす,将,再読文字,形=将〜;読み=まさに〜んとす;意味=今にも〜しようとする・〜するだろう;音声=解答後,CC-000002-C01,meaning,意味瞬発（音声=解答後）,「将〜」の意味を答えよ。,今にも〜しようとする・〜するだろう,今にも〜しようとする・〜するだろう｜まさに〜しようとする,近い将来の動作や意志を表す。,なし,なし,なし,なし,なし,且〜,「将」は将来・意志を表すことが多い。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000003,3,Deck1 最重要・意味瞬発,再読文字,将来・意志,且〜,まさに〜んとす,且,再読文字,形=且〜;読み=まさに〜んとす;意味=今にも〜しようとする;音声=解答後,CC-000003-C01,meaning,意味瞬発（音声=解答後）,「且〜」の意味を答えよ。,今にも〜しようとする,今にも〜しようとする｜まさに〜しようとする,動作がまさに始まろうとすることを表す。,なし,なし,なし,なし,なし,且（累加）,再読文字では「まさに〜んとす」、接続語では「そのうえ」。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000004,4,Deck1 最重要・意味瞬発,再読文字,当然・推量,当〜,まさに〜べし,当,再読文字,形=当〜;読み=まさに〜べし;意味=当然〜すべきだ・きっと〜だろう;音声=解答後,CC-000004-C01,meaning,意味瞬発（音声=解答後）,「当〜」の意味を答えよ。,当然〜すべきだ・きっと〜だろう,当然〜すべきだ・きっと〜だろう｜〜するはずだ,当然・義務または確かな推量を表す。,なし,なし,なし,なし,なし,応〜,「当」は当然・義務の意味が中心。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000005,5,Deck1 最重要・意味瞬発,再読文字,推量・当然,応〜,まさに〜べし,応,再読文字,形=応〜;読み=まさに〜べし;意味=きっと〜するだろう・当然〜すべきだ;音声=解答後,CC-000005-C01,meaning,意味瞬発（音声=解答後）,「応〜」の意味を答えよ。,きっと〜するだろう・当然〜すべきだ,きっと〜するだろう・当然〜すべきだ｜〜するはずだ,推量を中心に、当然の意味でも用いる。,なし,なし,なし,なし,なし,当〜,「応」は推量の意味が中心。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000006,6,Deck1 最重要・意味瞬発,再読文字,当然・勧告,宜〜,よろしく〜べし,宜,再読文字,形=宜〜;読み=よろしく〜べし;意味=〜するのがよい・〜すべきだ;音声=解答後,CC-000006-C01,meaning,意味瞬発（音声=解答後）,「宜〜」の意味を答えよ。,〜するのがよい・〜すべきだ,〜するのがよい・〜すべきだ｜〜したほうがよい,適切さや勧告を表す。,なし,なし,なし,なし,なし,須〜,「宜」は適切・勧告、「須」は必要・義務。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000007,7,Deck1 最重要・意味瞬発,再読文字,必要・義務,須〜,すべからく〜べし,須,再読文字,形=須〜;読み=すべからく〜べし;意味=ぜひ〜しなければならない;音声=解答後,CC-000007-C01,meaning,意味瞬発（音声=解答後）,「須〜」の意味を答えよ。,ぜひ〜しなければならない,ぜひ〜しなければならない｜〜する必要がある,必要・義務を強く表す。,なし,なし,なし,なし,なし,宜〜,「須」は必要性が強い。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000008,8,Deck1 最重要・意味瞬発,再読文字,比況,猶〜,なお〜のごとし,猶,再読文字,形=猶〜;読み=なお〜のごとし;意味=ちょうど〜のようだ;音声=解答後,CC-000008-C01,meaning,意味瞬発（音声=解答後）,「猶〜」の意味を答えよ。,ちょうど〜のようだ,ちょうど〜のようだ｜まるで〜のようだ,二つのものをたとえて同様だと表す。,なし,なし,なし,なし,なし,猶（副詞）,再読文字では「〜のようだ」、副詞では「なお」。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000009,9,Deck1 最重要・意味瞬発,再読文字,反語・勧誘,盍〜,なんぞ〜ざる,盍,再読文字,形=盍〜;読み=なんぞ〜ざる;意味=どうして〜しないのか・〜したらどうか;音声=解答後,CC-000009-C01,meaning,意味瞬発（音声=解答後）,「盍〜」の意味を答えよ。,どうして〜しないのか・〜したらどうか,どうして〜しないのか・〜したらどうか｜なぜ〜しないのか,反語の形で相手に行動を勧めることが多い。,なし,なし,なし,なし,なし,何不〜,「盍」は「何不」を一字で表す。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck1 最重要250項目,CC-000010,10,Deck1 最重要・意味瞬発,句法,否定,不〜,〜ず,不,否定形,形=不〜;読み=〜ず;意味=〜ない;音声=解答後,CC-000010-C01,meaning,意味瞬発（音声=解答後）,「不〜」の意味を答えよ。,〜ない,〜ない,最も基本的な否定を表す。,なし,なし,なし,なし,なし,なし,なし,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
