"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-23-03-001","教皇との離婚問題をきっかけに、イギリス国教会を成立させた国王は？","ヘンリ8世。","信仰の教義をめぐる改革からではなく、国王の婚姻問題から始まった。","人物","一問一答","","23_宗教改革.md","374","265"
"WH-23-03-002","1534年、イギリス国王を国教会の唯一最高の首長と定めた法律は？","首長法（国王至上法）。","イングランドの教会を、ローマ教皇の支配から分離させた。","用語の特定","一問一答","","23_宗教改革.md","374","267"
"WH-23-03-003","ヘンリ8世が首長法を定めたのは何年か？","1534年。","国教会の成立と、エリザベス1世による後の確立を区別する。","時期","一問一答","","23_宗教改革.md","374","267"
"WH-23-03-004","ヘンリ8世がカトリック教会からの分離に踏み切った直接のきっかけは？","王妃との離婚を教皇に認められず、対立したこと。","ルターやカルヴァンの改革とは、出発点の性格が異なる。","原因","一問一答","","23_宗教改革.md","374","268"
"WH-23-03-005","首長法によって、イギリス国教会の唯一最高の首長とされたのは誰か？","イギリス国王。","教会の最高権威をローマ教皇ではなく、自国の国王に置いた。","主体","一問一答","","23_宗教改革.md","374","269"
"WH-23-03-006","ヘンリ8世による修道院の解散と修道院領の没収は、王権にどのような影響を与えたか？","修道院領を王領地として取り込み、王権を強化した。","のちに土地が売却され、ジェントリの成長にもつながった。","結果","一問一答","","23_宗教改革.md","374","271"
"WH-23-03-007","首長法に反対し、ヘンリ8世によって処刑された大法官は？","トマス＝モア。","『ユートピア』の著者であり、国教会成立の過程では国王に反対した。","人物","一問一答","","23_宗教改革.md","374","272"
"WH-23-03-008","ヘンリ8世の後を継ぎ、一般祈祷書を制定して国教会の教義改革を進めた国王は？","エドワード6世。","国教会の教義を新教に近づけた。","人物","一問一答","","23_宗教改革.md","374","274"
"WH-23-03-009","エドワード6世のもとで制定され、国教会の教義をカルヴァン派に近づけた文書は？","一般祈祷書。","国教会の成立後に進められた、教義面の改革に関わる。","用語の特定","一問一答","","23_宗教改革.md","374","276"
"WH-23-03-010","イギリス国教会が採用した、カトリックの司教制に近い教会組織を何というか？","主教制（監督制）。","教義を新教に近づけても、組織や儀式にはカトリックに近い部分が残った。","用語の特定","一問一答","","23_宗教改革.md","374","278"
"WH-23-03-011","フェリペ2世と結婚してカトリックを復活させ、新教徒を弾圧したイギリス女王は？","メアリ1世。","エドワード6世の後に即位し、国教会からカトリックへ転換した。","人物","一問一答","","23_宗教改革.md","374","280"
