dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B01,beginner,用語の特定,identify,前1500年ころカイバル峠を越えてパンジャーブ地方に移り、のちにガンジス川流域へ移住したインド＝ヨーロッパ語系民族は？,アーリヤ人,アーリヤ人,アーリア人,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B02,beginner,時期,time,アーリヤ人がインド西北部へ侵入したのはいつ？,前1500年ころ,前1500年ころ,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B03,beginner,地域,place,アーリヤ人がインドに侵入する際に越えた峠は？,カイバル峠,カイバル峠,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B04,beginner,地域,place,アーリヤ人が侵入後まず移住した地方は？,パンジャーブ地方,パンジャーブ地方,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B05,beginner,地域,place,前1000年ころからアーリヤ人が移住した肥沃な大河流域は？,ガンジス川流域,ガンジス川流域,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B06,beginner,内容,content,アーリヤ人がガンジス川流域へ移住した後、開拓を効率化した道具は？,鉄器,鉄器,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-B07,beginner,結果,result,アーリヤ人のガンジス川流域での社会変化に伴い成立した、四つの身分区分は？,ヴァルナ,ヴァルナ,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-R01,reverse,複合説明,reverse,「アーリヤ人」：どのように移動した？,インド＝ヨーロッパ語系民族で、**前1500年ころ**、カイバル峠を越えてインド西北部の**パンジャーブ地方**へ移住した。**前1000年ころ**から、一部がより肥沃な**ガンジス川流域**へ移った。,前1500年ころ|パンジャーブ地方|前1000年ころ|ガンジス川流域,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-R02,reverse,複合説明,reverse,「アーリヤ人」：社会にどんな変化をもたらした？,前800年ごろに始まる**鉄器**の使用と稲作により、ガンジス川流域の農業生産力が向上した。余剰生産物を背景に司祭・政治軍事担当層が増え、部族国家や**ヴァルナ**の形成につながった。,鉄器|ヴァルナ,,,,03_古代インド(2).md pp.46,
世界史探究_第1章_第03回_02_古代インド世界の形成,WH-000077,54,共通テスト・必修,民族・身分・社会集団,アーリヤ人,あーりやじん,アーリア人,古代,南アジア,カイバル峠・パンジャーブ地方・ガンジス川流域,前1500年ころに侵入、前1000年ころから東進,-1500,WH-000077-I01,integrated,統合説明,integrated,「アーリヤ人」について説明せよ。,**前1500年ころ**、カイバル峠を越えてパンジャーブ地方に移住したインド＝ヨーロッパ語系民族。**前1000年ころ**からガンジス川流域へ移り、前800年ごろの**鉄器**使用や稲作で生産力を高めた。余剰生産物の発生による社会の変化から、部族国家と**ヴァルナ**が形成された。,前1500年ころ|前1000年ころ|鉄器|ヴァルナ,,,,03_古代インド(2).md pp.46,
