dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-B01,beginner,用語の特定,identify,ネーデルラントで14世紀末から活躍し、写実的な肖像画や風景画によってイタリア芸術にも影響を与えた画家たちの流派は？,フランドル派,フランドル派,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-B02,beginner,地域,place,フランドル派が活動した地域は？,ネーデルラント,ネーデルラント,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-B03,beginner,中心人物,person,フランドル派の初期に油絵技法を完成させた画家は？,ファン＝アイク兄弟,ファン＝アイク兄弟,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-B04,beginner,中心人物,person,フランドル派の展開のなかで、16世紀に農民の日常生活を描いた画家は？,ブリューゲル,ブリューゲル,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-R01,reverse,時期・地域,reverse,いつから、どこで活躍した？,14世紀末から**ネーデルラント**で活躍した。,ネーデルラント,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-R02,reverse,内容,reverse,どんな絵画を発展させた？,写実的な肖像画や風景画でイタリア芸術にも影響を与え、初期の**ファン＝アイク兄弟**が油絵技法を完成させ、16世紀には**ブリューゲル**が農民の日常を描いた。,ファン＝アイク兄弟|ブリューゲル,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220201,112,共通テスト標準,文化・技術・学問,フランドル派,ふらんどるは,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末以降,1300,WH-220201-I01,integrated,統合説明,integrated,「フランドル派」について説明せよ。,14世紀末から**ネーデルラント**で活躍した。写実的な肖像画や風景画でイタリア芸術にも影響を与え、初期の**ファン＝アイク兄弟**が油絵技法を完成させ、16世紀には**ブリューゲル**が農民の日常を描いた。,ネーデルラント|ファン＝アイク兄弟|ブリューゲル,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220202,113,共通テスト標準,人物,ファン＝アイク兄弟,ふぁんあいくきょうだい,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末に始まるフランドル派の初期,1300,WH-220202-B01,beginner,用語の特定,identify,ネーデルラントのフランドル派の初期に活動し、油絵技法を完成させた画家たちは？,ファン＝アイク兄弟,ファン＝アイク兄弟,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220202,113,共通テスト標準,人物,ファン＝アイク兄弟,ふぁんあいくきょうだい,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末に始まるフランドル派の初期,1300,WH-220202-B02,beginner,内容,content,ファン＝アイク兄弟が完成させた絵画技法は？,油絵技法,油絵技法,,,,22_ルネサンスと大航海時代(1).md p.353,
世界史探究_第22回_02_西ヨーロッパ諸国のルネサンス,WH-220202,113,共通テスト標準,人物,ファン＝アイク兄弟,ふぁんあいくきょうだい,,中世～近世,ヨーロッパ,ネーデルラント,14世紀末に始まるフランドル派の初期,1300,WH-220202-B03,beginner,関連,relation,ファン＝アイク兄弟が属した、ネーデルラントの画家たちの流派は？,フランドル派,フランドル派,,,,22_ルネサンスと大航海時代(1).md p.353,
