"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-26-03-001","1740年にそれぞれ統治者となり、オーストリア継承戦争と七年戦争で対立した二人は？","オーストリアのマリア＝テレジアと、プロイセンのフリードリヒ2世。","両者の対立は、シュレジェンの領有をめぐって続いた。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","418","291"
"WH-26-03-002","1740年、マリア＝テレジアのハプスブルク家領相続に各国が反対して起きた戦争は？","オーストリア継承戦争。","女性による相続問題をきっかけに、周辺国が領土の獲得を狙った。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","418","293"
"WH-26-03-003","オーストリア継承戦争の直接のきっかけとなった王位・領土相続問題は？","マリア＝テレジアによるハプスブルク家領の相続を、各国が認めなかったこと。","事前の承認があっても、カール6世の死後に反対が起きた。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","418","293"
"WH-26-03-004","オーストリア継承戦争で、プロイセンのフリードリヒ2世が占領した地方は？","シュレジェン。","当時オーストリア領で、地下資源が豊富で人口も多かった。","場所","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","418","297"
"WH-26-03-005","フリードリヒ2世がシュレジェンを狙った経済的・人口的な理由は？","地下資源が豊富で、人口や産業の基盤を獲得できたため。","領土の面積だけでなく、国力を強める価値があった。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","418","297"
"WH-26-03-006","オーストリア継承戦争で、ハプスブルク家に対抗したフランスとスペインの王家は？","ブルボン家。","当時は、フランスとオーストリアが敵対する関係だった。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","418","297"
"WH-26-03-007","オーストリア継承戦争で、マリア＝テレジアに軍資金と兵士を提供した地域の勢力は？","ハンガリー。","マリア＝テレジアはハンガリー議会に援助を求めた。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","315"
"WH-26-03-008","オーストリア継承戦争に連動して、北米で起きた英仏の戦争は？","ジョージ王戦争。","ヨーロッパの戦争と、植民地での英仏対立を対応させる。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","315"
"WH-26-03-009","オーストリア継承戦争と同時期、南インドで起きた英仏の戦争は？","カーナティック戦争。","北米のジョージ王戦争と、南インドの戦争を区別する。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","315"
"WH-26-03-010","1748年、オーストリア継承戦争の講和で結ばれた和約は？","アーヘンの和約。","マリア＝テレジアの相続と、プロイセンのシュレジェン領有が認められた。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","332"
"WH-26-03-011","アーヘンの和約で、マリア＝テレジアとフランツ1世について何が承認されたか？","マリア＝テレジアのハプスブルク家領相続と、フランツ1世の皇帝位。","領土相続の主体と、皇帝位に就いた人物は異なる。","内容","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","332"
"WH-26-03-012","アーヘンの和約で、シュレジェンの領有はどう決まったか？","プロイセンの領有が認められた。","この地域の奪還を目指すオーストリアとの対立が続いた。","内容","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","332"
"WH-26-03-013","シュレジェン獲得は、プロイセンの国力にどのような影響を与えたか？","人口を増やし、地下資源と発達した産業をもたらした。","プロイセンがドイツの有力国家へ成長する基盤となった。","結果","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","332"
"WH-26-03-014","マリア＝テレジアのもとでフランスとの同盟を進めた、オーストリアの宰相は？","カウニッツ。","宿敵だったブルボン家との提携を進めた。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","336"
"WH-26-03-015","オーストリアが宿敵フランスとの同盟を目指した目的は？","プロイセンを包囲し、シュレジェンを奪還するため。","従来の王家同士の敵対関係より、領土回復のための同盟を優先した。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","419","336"
"WH-26-03-016","宿敵だったオーストリアのハプスブルク家とフランスのブルボン家が同盟した外交上の転換は？","外交革命。","プロイセンへの対抗が、従来の外交関係を変えた。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","354"
"WH-26-03-017","外交革命後、プロイセンを包囲する同盟を組んだ三つの国は？","オーストリア、フランス、ロシア。","対するプロイセンはイギリスの援助を受けた。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","354"
"WH-26-03-018","オーストリア・フランスと組み、プロイセン包囲に加わったロシアの女帝は？","エリザヴェータ。","その死後のロシアの方針転換が、プロイセンを救うことになった。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","354"
"WH-26-03-019","七年戦争で、プロイセンを援助した国は？","イギリス。","イギリス自身は、海外の植民地でフランスと戦った。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","356"
"WH-26-03-020","外交革命による包囲を受けたプロイセンが、イギリスの援助で戦った戦争は？","七年戦争。","ドイツでの普墺対立と、海外での英仏植民地戦争が連動した。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","356"
"WH-26-03-021","オーストリア継承戦争と七年戦争では、フランスとオーストリアの関係がどう変わったか？","前者では敵対し、後者では外交革命によって同盟国となった。","同じ王家・同じ宗派だから同じ陣営、とは限らない。","関係","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","356"
"WH-26-03-022","七年戦争中に即位し、ロシア軍を撤退させた皇帝は？","ピョートル3世。","エリザヴェータの後を継ぎ、フリードリヒ2世に好意的な政策へ転じた。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","371"
"WH-26-03-023","ピョートル3世によるロシア軍撤退は、プロイセンにどう影響したか？","包囲の圧力が弱まり、敗北の危機を脱することにつながった。","戦場だけでなく、相手国の王位継承も戦争の帰趨に影響した。","結果","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","371"
"WH-26-03-024","七年戦争と連動した植民地戦争を、北米・北インド・南インドの順に答えなさい。","フレンチ＝インディアン戦争、プラッシーの戦い、カーナティック戦争。","いずれもイギリスとフランスの海外覇権争いに関わる。","関係","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","373"
"WH-26-03-025","七年戦争後、プロイセンとオーストリアが講和し、シュレジェン領有を確認した条約は？","フベルトゥスブルク条約。","英仏間のパリ条約と区別する。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","377"
"WH-26-03-026","フベルトゥスブルク条約で、シュレジェンの帰属はどうなったか？","プロイセン領であることが確認された。","オーストリアは奪還できず、アーヘンの和約後の状態が維持された。","内容","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","420","377"
"WH-26-03-027","七年戦争後にヨーロッパの五大国とされた国を挙げなさい。","イギリス、フランス、オーストリア、プロイセン、ロシア。","ドイツでは、オーストリアとプロイセンの二極化が進んだ。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","395"
"WH-26-03-028","七年戦争後、英仏の植民地抗争を処理し、イギリスの優位を確定した条約は？","パリ条約。","ドイツの講和を処理したフベルトゥスブルク条約とは相手・内容が異なる。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","397"
"WH-26-03-029","七年戦争後のフベルトゥスブルク条約とパリ条約は、何を処理した条約か？","前者はプロイセンとオーストリアの講和、後者は英仏などの植民地抗争の講和。","同じ戦争の終結でも、ヨーロッパ内と海外の問題は別の条約で処理された。","関係","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","397"
"WH-26-03-030","オーストリア継承戦争から七年戦争後まで、勢力関係はどう変化したか？","プロイセンがシュレジェンを保持して強国となり、ドイツは普墺の二極体制となった。ヨーロッパでは五大国体制が形成され、イギリスは海上の優位を確立した。","ドイツ内部・ヨーロッパ全体・植民地の三つの尺度で整理する。","統合説明","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","399"
