dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第18回_05_明・清の社会経済史,WH-180129,253,標準,民族・身分・社会集団,山西商人,さんせいしょうにん,,近世,東アジア,中国（万里の長城一帯と各都市）,明・清代（14〜19世紀）,1600,WH-180129-B01,beginner,用語の特定,identify,明の政府と結びつき、万里の長城一帯への軍糧輸送で利益を上げた客商(かくしょう)は？,山西商人,山西商人,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180129,253,標準,民族・身分・社会集団,山西商人,さんせいしょうにん,,近世,東アジア,中国（万里の長城一帯と各都市）,明・清代（14〜19世紀）,1600,WH-180129-B02,beginner,内容,content,山西商人が明政府のために輸送した軍需物資は？,軍糧,軍糧,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180129,253,標準,民族・身分・社会集団,山西商人,さんせいしょうにん,,近世,東アジア,中国（万里の長城一帯と各都市）,明・清代（14〜19世紀）,1600,WH-180129-B03,beginner,地域,place,山西商人が軍糧を輸送した地域は？,万里の長城一帯,万里の長城一帯,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180129,253,標準,民族・身分・社会集団,山西商人,さんせいしょうにん,,近世,東アジア,中国（万里の長城一帯と各都市）,明・清代（14〜19世紀）,1600,WH-180129-B04,beginner,関連,relation,山西商人のような遠隔地商人の呼称は？,客商(かくしょう),客商,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180129,253,標準,民族・身分・社会集団,山西商人,さんせいしょうにん,,近世,東アジア,中国（万里の長城一帯と各都市）,明・清代（14〜19世紀）,1600,WH-180129-R01,reverse,複合説明,reverse,山西商人は何をした？,14〜19世紀の中国の明・清代に活動した**客商(かくしょう)**の集団。明政府と結びついて**万里の長城一帯への軍糧輸送**を担い、各地の会館や公所を用いて商業活動を行った。,客商|万里の長城一帯への軍糧輸送,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180129,253,標準,民族・身分・社会集団,山西商人,さんせいしょうにん,,近世,東アジア,中国（万里の長城一帯と各都市）,明・清代（14〜19世紀）,1600,WH-180129-I01,integrated,統合説明,integrated,「山西商人」について説明せよ。,14〜19世紀の中国の明・清代に活動した**客商(かくしょう)**の集団。明政府と結びついて**万里の長城一帯への軍糧輸送**を担い、各地の会館や公所を用いて商業活動を行った。,客商|万里の長城一帯への軍糧輸送,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-160072,45,標準,地域・都市,景徳鎮,けいとくちん,,近世,東アジア,中国（景徳鎮）,明・清代（14〜19世紀）,1500,WH-160072-B05,beginner,用語の特定,identify,明・清代に染付や赤絵などの陶磁器が盛んに製作され、日本やヨーロッパへの輸出を支えた中国の生産地は？,景徳鎮(けいとくちん),景徳鎮,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-160072,45,標準,地域・都市,景徳鎮,けいとくちん,,近世,東アジア,中国（景徳鎮）,明・清代（14〜19世紀）,1500,WH-160072-B06,beginner,内容,content,明・清代の景徳鎮(けいとくちん)で製作された、藍色の絵模様を描く磁器は？,染付,染付,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-160072,45,標準,地域・都市,景徳鎮,けいとくちん,,近世,東アジア,中国（景徳鎮）,明・清代（14〜19世紀）,1500,WH-160072-B07,beginner,内容,content,明・清代の景徳鎮(けいとくちん)で製作された、多色の絵模様を描く磁器は？,赤絵,赤絵,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-160072,45,標準,地域・都市,景徳鎮,けいとくちん,,近世,東アジア,中国（景徳鎮）,明・清代（14〜19世紀）,1500,WH-160072-B08,beginner,地域,place,景徳鎮(けいとくちん)の陶磁器の輸出先として挙げられる二つの地域は？,日本とヨーロッパ,日本とヨーロッパ,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-160072,45,標準,地域・都市,景徳鎮,けいとくちん,,近世,東アジア,中国（景徳鎮）,明・清代（14〜19世紀）,1500,WH-160072-R02,reverse,複合説明,reverse,景徳鎮(けいとくちん)はどこにあり、どんな役割を持った？,14〜19世紀の明・清代、中国で**陶磁器生産**が発展した都市。白磁に藍色で模様を描く**染付**や多色の**赤絵**を製作し、日本やヨーロッパなどへ輸出した。,陶磁器生産|染付|赤絵,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-160072,45,標準,地域・都市,景徳鎮,けいとくちん,,近世,東アジア,中国（景徳鎮）,明・清代（14〜19世紀）,1500,WH-160072-I02,integrated,統合説明,integrated,「景徳鎮(けいとくちん)」について説明せよ。,14〜19世紀の明・清代、中国で**陶磁器生産**が発展した都市。白磁に藍色で模様を描く**染付**や多色の**赤絵**を製作し、日本やヨーロッパなどへ輸出した。,陶磁器生産|染付|赤絵,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180130,254,標準,民族・身分・社会集団,徽州商人,きしゅうしょうにん,新安商人,近世,東アジア,中国（安徽省出身・全国の都市）,明・清代（14〜19世紀）,1600,WH-180130-B01,beginner,用語の特定,identify,安徽省(あんきしょう)出身で、塩の専売によって大きな利益を得た客商(かくしょう)の集団は？,徽州商人(きしゅうしょうにん),徽州商人,新安商人,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180130,254,標準,民族・身分・社会集団,徽州商人,きしゅうしょうにん,新安商人,近世,東アジア,中国（安徽省出身・全国の都市）,明・清代（14〜19世紀）,1600,WH-180130-B02,beginner,地域,place,徽州商人(きしゅうしょうにん)の出身地として挙げられる省は？,安徽省(あんきしょう),安徽省,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
第18回_05_明・清の社会経済史,WH-180130,254,標準,民族・身分・社会集団,徽州商人,きしゅうしょうにん,新安商人,近世,東アジア,中国（安徽省出身・全国の都市）,明・清代（14〜19世紀）,1600,WH-180130-B03,beginner,内容,content,徽州商人(きしゅうしょうにん)が専売に関与して大きな利益を得た商品は？,塩,塩,,,,18_中華帝国の繁栄（明・清）(1).md pp.300,
