"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-22-01-001","ギリシア・ローマの古典文化をモデルに、人間の理性や感情を重視する文化を復興しようとした運動を何というか？","ルネサンス。","語義は「再生・復活」。古典文化の復興を通じて、人間を重視する文化を追求した。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","351","38"
"WH-22-01-002","ルネサンスが文化復興のモデルとしたのは、どの時代・地域の文化か？","古代ギリシア・ローマの文化。","中世の教会中心の価値観に対して、古典の学問や芸術に新たな価値を見いだした。","内容","一問一答","","22_ルネサンスと大航海時代.md","351","38"
"WH-22-01-003","ルネサンスがイタリアで先行した背景を、交易と古典文化との接触から説明しなさい。","東方貿易でイスラーム世界・ビザンツ帝国との接触が増え、古典文化が流入したため。","イタリアに古代の遺跡が多かったことや、ビザンツ帝国から学者が逃れてきたことも背景となった。","原因","一問一答","","22_ルネサンスと大航海時代.md","351","38"
"WH-22-01-004","ギリシア・ローマの文献を研究し、教会や神学にしばられず人間の精神を追求しようとする思想を何というか？","人文主義（ヒューマニズム）。","14世紀のイタリアで現れた、ルネサンスの中心的な思想である。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","351","40"
"WH-22-01-005","資料では、中世の価値観にとらわれない考え方が生まれた背景として、14世紀のどのような社会状況を挙げているか？","ペストの大流行や戦乱によって、政治と社会が混乱していたこと。","「14世紀の危機」のなかで、生きることや人間の価値を見直す動きが生まれたと説明されている。","原因","一問一答","","22_ルネサンスと大航海時代.md","351","40"
"WH-22-01-006","ルネサンスを保護したメディチ家とヴィスコンティ家は、それぞれどの都市の有力者だったか？","メディチ家はフィレンツェ、ヴィスコンティ家はミラノ。","有力な大商人・銀行家であり、都市の支配者でもあった。","関係","一問一答","","22_ルネサンスと大航海時代.md","351","42"
"WH-22-01-007","ルネサンスの芸術作品は、主に誰の注文で制作され、何に利用されたか？","都市の有力者や教皇・国王の注文で制作され、邸宅・教会・宮殿の装飾などに利用された。","人間を重視する文化であっても、作品の制作は既存の有力者による保護と結びついていた。","内容","一問一答","","22_ルネサンスと大航海時代.md","351","42"
"WH-22-01-008","メディチ家の保護のもと、毛織物業・金融業の繁栄を背景にルネサンスが早くから開花した都市は？","フィレンツェ。","経済的な繁栄が、学問や芸術を保護する基盤になった。","場所","一問一答","","22_ルネサンスと大航海時代.md","351","46"
"WH-22-01-009","『神曲』を著し、文学におけるルネサンスの先駆とされる詩人は？","ダンテ。","神の世界を描きながら、人間的な感情を取り上げた点が特徴である。","人物","一問一答","","22_ルネサンスと大航海時代.md","351","48"
"WH-22-01-010","ダンテが地獄・煉獄・天上界を舞台として著した作品は？","『神曲』。","古代ローマの詩人ウェルギリウスが案内役として登場する。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","351","48"
