dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第27回_04_アメリカ独立革命,WH-270401,327,共通テスト基礎,時代・歴史区分,環大西洋革命,かんたいせいようかくめい,大西洋革命,近世〜近代,複数地域,大西洋を取り巻く欧米地域,18世紀後半〜19世紀半ば,1750,WH-270401-B01,beginner,用語の特定,identify,アメリカ独立革命・フランス革命・ラテンアメリカの独立など、大西洋周辺で続いた一連の革命運動を何という？,環大西洋革命,環大西洋革命,大西洋革命,,,27_産業革命とアメリカ独立革命(1).md p.428,
世界史探究_第27回_04_アメリカ独立革命,WH-270401,327,共通テスト基礎,時代・歴史区分,環大西洋革命,かんたいせいようかくめい,大西洋革命,近世〜近代,複数地域,大西洋を取り巻く欧米地域,18世紀後半〜19世紀半ば,1750,WH-270401-B02,beginner,関連語,relation,環大西洋革命のなかで、フランスの啓蒙思想を独立宣言や憲法に具体化した革命は？,アメリカ独立革命,アメリカ独立革命,,,,27_産業革命とアメリカ独立革命(1).md p.428,
世界史探究_第27回_04_アメリカ独立革命,WH-270401,327,共通テスト基礎,時代・歴史区分,環大西洋革命,かんたいせいようかくめい,大西洋革命,近世〜近代,複数地域,大西洋を取り巻く欧米地域,18世紀後半〜19世紀半ば,1750,WH-270401-B03,beginner,関連語,relation,環大西洋革命のなかで、アメリカ独立革命の影響を受けてヨーロッパに起きた革命は？,フランス革命,フランス革命,,,,27_産業革命とアメリカ独立革命(1).md p.428,
世界史探究_第27回_04_アメリカ独立革命,WH-270401,327,共通テスト基礎,時代・歴史区分,環大西洋革命,かんたいせいようかくめい,大西洋革命,近世〜近代,複数地域,大西洋を取り巻く欧米地域,18世紀後半〜19世紀半ば,1750,WH-270401-B04,beginner,地域,place,環大西洋革命の影響が独立運動へ及んだ、アメリカ合衆国より南の地域は？,ラテンアメリカ,ラテンアメリカ,,,,27_産業革命とアメリカ独立革命(1).md p.428,
世界史探究_第27回_04_アメリカ独立革命,WH-270401,327,共通テスト基礎,時代・歴史区分,環大西洋革命,かんたいせいようかくめい,大西洋革命,近世〜近代,複数地域,大西洋を取り巻く欧米地域,18世紀後半〜19世紀半ば,1750,WH-270401-R01,reverse,複合説明,reverse,どんなつながりを表す？,18世紀後半〜19世紀半ば、**大西洋を取り巻く欧米地域**で続いた一連の革命運動。フランスの啓蒙思想が**アメリカ独立革命**で具体化し、それが**フランス革命**や**ラテンアメリカの独立**へ影響した。,大西洋を取り巻く欧米地域|アメリカ独立革命|フランス革命|ラテンアメリカの独立,,,,27_産業革命とアメリカ独立革命(1).md p.428,
世界史探究_第27回_04_アメリカ独立革命,WH-270401,327,共通テスト基礎,時代・歴史区分,環大西洋革命,かんたいせいようかくめい,大西洋革命,近世〜近代,複数地域,大西洋を取り巻く欧米地域,18世紀後半〜19世紀半ば,1750,WH-270401-I01,integrated,統合説明,integrated,「環大西洋革命」について説明せよ。,18世紀後半〜19世紀半ば、**大西洋を取り巻く欧米地域**で続いた一連の革命運動。フランスの啓蒙思想が**アメリカ独立革命**で具体化し、それが**フランス革命**や**ラテンアメリカの独立**へ影響した。,大西洋を取り巻く欧米地域|アメリカ独立革命|フランス革命|ラテンアメリカの独立,,,,27_産業革命とアメリカ独立革命(1).md p.428,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-B01,beginner,用語の特定,identify,植民地議会による自治を持ち、七年戦争後のイギリス本国の課税に反発して独立へ向かった北米の植民地群は？,イギリス領13植民地,イギリス領13植民地,13植民地,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-B02,beginner,内容,content,イギリス領13植民地の北部で発達した主な経済活動は？,商工業,商工業,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-B03,beginner,内容,content,イギリス領13植民地の南部に広がった大規模農業の形態は？,奴隷制プランテーション,奴隷制プランテーション,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-B04,beginner,関連語,relation,イギリス領13植民地が自治制度として持っていた代表機関は？,植民地議会,植民地議会,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-B05,beginner,地域,place,イギリス領13植民地の最南部で、最後に建設された植民地は？,ジョージア植民地,ジョージア植民地,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-B06,beginner,関連語,relation,イギリス領13植民地が本国の課税に反発して掲げた原則は？,代表なくして課税なし,代表なくして課税なし,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-R01,reverse,複合説明,reverse,どんな特徴があった？,18世紀の**北米東海岸**で、北部は商工業や中小自作農、南部は**奴隷制プランテーション**を中心とするイギリスの植民地群。,北米東海岸|奴隷制プランテーション,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
世界史探究_第27回_04_アメリカ独立革命,WH-270402,328,共通テスト基礎,地域・都市,イギリス領13植民地,いぎりすりょうじゅうさんしょくみんち,13植民地,近世〜近代,アメリカ,北米東海岸,18世紀,1700,WH-270402-R02,reverse,複合説明,reverse,本国との関係はどう変わった？,**植民地議会**による自治が発達していたが、七年戦争後に本国が課税や統制を強めると、**代表なくして課税なし**を掲げて反発し、独立へ向かった。,植民地議会|代表なくして課税なし,,,,27_産業革命とアメリカ独立革命(1).md p.437–438,
