dataset_label,item_id,importance_rank,difficulty_label,unit,subunit,item,reading,aliases,prerequisite_ids,card_id,card_type,focus,question,answer,accepted_answers,explanation,confusable_with,distinction,formula,answer_unit,memory_aid,source_name,source_url,reading_map
生物基礎_Deck1_最重要骨格,BB-000001,1,Deck1・最重要骨格,生物の特徴,生物の共通性と多様性,細胞,さいぼう,なし,なし,BB-000001-C01,identify,すべての生物の体を構成する基本単位は何か,すべての生物の体を構成する基本単位は何か。,細胞,細胞,生物は一つまたは多数の細胞から成り、細胞内で生命活動を行う。,細胞小器官,細胞は生命の基本単位であり、細胞小器官は細胞内の構造である。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜大学入試センター「令和7年度大学入学共通テスト 生物基礎」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.dnc.ac.jp/albums/abm.php?d=771&f=abm00005960.pdf&n=2025_op_37_seibutsukiso.pdf,生命活動=せいめいかつどう｜細胞=さいぼう
生物基礎_Deck1_最重要骨格,BB-000002,2,Deck1・最重要骨格,ヒトの体の調節,体内環境の維持,恒常性,こうじょうせい,ホメオスタシス,なし,BB-000002-C01,identify,外部環境が変化しても体内環境をほぼ一定に保つ性質を何というか,外部環境が変化しても体内環境をほぼ一定に保つ性質を何というか。,恒常性,恒常性｜ホメオスタシス,体温、血糖濃度、体液の浸透圧などが自律神経系と内分泌系によって調節される。,体内環境,体内環境は細胞を取り巻く体液、恒常性はそれを一定に保つ性質である。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜大学入試センター「令和7年度大学入学共通テスト 生物基礎」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.dnc.ac.jp/albums/abm.php?d=771&f=abm00005960.pdf&n=2025_op_37_seibutsukiso.pdf,自律神経系=じりつしんけいけい｜体内環境=たいないかんきょう｜内分泌系=ないぶんぴつけい｜血糖濃度=けっとうのうど｜恒常性=こうじょうせい｜浸透圧=しんとうあつ
生物基礎_Deck1_最重要骨格,BB-000003,3,Deck1・最重要骨格,生物の多様性と生態系,生態系とその保全,生態系,せいたいけい,なし,なし,BB-000003-C01,identify,ある地域の生物群集と、それを取り巻く非生物的環境を一体として捉えたまとまりを何というか,ある地域の生物群集と、それを取り巻く非生物的環境を一体として捉えたまとまりを何というか。,生態系,生態系,生態系では生物同士、生物と環境の間で物質やエネルギーが移動する。,生物群集,生態系は生物群集と非生物的環境を含み、生物群集は生物だけのまとまりである。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜大学入試センター「令和7年度大学入学共通テスト 生物基礎」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.dnc.ac.jp/albums/abm.php?d=771&f=abm00005960.pdf&n=2025_op_37_seibutsukiso.pdf,非生物的環境=ひせいぶつてきかんきょう｜生物群集=せいぶつぐんしゅう｜生態系=せいたいけい
生物基礎_Deck1_最重要骨格,BB-000004,4,Deck1・最重要骨格,生物の特徴,遺伝情報とDNA,DNA,でぃーえぬえー,デオキシリボ核酸,なし,BB-000004-C01,identify,遺伝情報を担う物質は何か,遺伝情報を担う物質は何か。,DNA,DNA｜デオキシリボ核酸,DNAは塩基配列として遺伝情報を保持する。,RNA,DNAは原則としてチミンを含み、RNAはウラシルを含む。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜米国国立ヒトゲノム研究所「DNA」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.genome.gov/genetics-glossary/Deoxyribonucleic-Acid-DNA,塩基配列=えんきはいれつ｜遺伝情報=いでんじょうほう
生物基礎_Deck1_最重要骨格,BB-000005,5,Deck1・最重要骨格,ヒトの体の調節,情報の伝達,自律神経系,じりつしんけいけい,なし,なし,BB-000005-C01,identify,意思とは無関係に内臓の働きを調節する神経系を何というか,意思とは無関係に内臓の働きを調節する神経系を何というか。,自律神経系,自律神経系,自律神経系は交感神経と副交感神経からなり、多くの器官を拮抗的に調節する。,体性神経系,自律神経系は主に内臓を無意識に調節し、体性神経系は感覚や骨格筋の運動に関わる。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜大学入試センター「令和7年度大学入学共通テスト 生物基礎」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.dnc.ac.jp/albums/abm.php?d=771&f=abm00005960.pdf&n=2025_op_37_seibutsukiso.pdf,副交感神経=ふくこうかんしんけい｜自律神経系=じりつしんけいけい｜拮抗的=きっこうてき
生物基礎_Deck1_最重要骨格,BB-000006,6,Deck1・最重要骨格,生物の多様性と生態系,生態系とその保全,生物多様性,せいぶつたようせい,なし,なし,BB-000006-C01,identify,生態系・種・遺伝子の各段階にみられる生物の豊かな違いを何というか,生態系・種・遺伝子の各段階にみられる生物の豊かな違いを何というか。,生物多様性,生物多様性,生物多様性は、生態系の多様性、種の多様性、遺伝的多様性の三段階で捉える。,種多様性,生物多様性は三段階を含む総称、種多様性はその一段階である。,なし,なし,生態系・種・遺伝子の三段階,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜環境省 生物多様性センター「生物多様性」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.biodic.go.jp/biodiversity/,生態系の多様性=せいたいけいのたようせい｜遺伝的多様性=いでんてきたようせい｜生物多様性=せいぶつたようせい｜遺伝子=いでんし
生物基礎_Deck1_最重要骨格,BB-000007,7,Deck1・最重要骨格,生物の特徴,生物とエネルギー,ATP,えーてぃーぴー,アデノシン三リン酸,なし,BB-000007-C01,identify,細胞内でエネルギーの受け渡しに使われる物質は何か,細胞内でエネルギーの受け渡しに使われる物質は何か。,ATP,ATP｜アデノシン三リン酸,ATPは分解時に放出するエネルギーを、さまざまな生命活動へ渡す。,ADP,ATPは高エネルギーリン酸結合を一つ失うとADPになる。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜大学入試センター「令和7年度大学入学共通テスト 生物基礎」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.dnc.ac.jp/albums/abm.php?d=771&f=abm00005960.pdf&n=2025_op_37_seibutsukiso.pdf,生命活動=せいめいかつどう｜細胞=さいぼう
生物基礎_Deck1_最重要骨格,BB-000008,8,Deck1・最重要骨格,ヒトの体の調節,情報の伝達,ホルモン,ほるもん,なし,なし,BB-000008-C01,identify,内分泌腺から分泌され、血液で運ばれて特定の標的細胞に作用する化学物質を何というか,内分泌腺から分泌され、血液で運ばれて特定の標的細胞に作用する化学物質を何というか。,ホルモン,ホルモン,ホルモンは微量で作用し、体内環境や成長などを調節する。,神経伝達物質,ホルモンは血液で広く運ばれ、神経伝達物質は主にシナプス間隙で働く。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜大学入試センター「令和7年度大学入学共通テスト 生物基礎」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.dnc.ac.jp/albums/abm.php?d=771&f=abm00005960.pdf&n=2025_op_37_seibutsukiso.pdf,ホルモン=ほるもん｜体内環境=たいないかんきょう｜内分泌腺=ないぶんぴつせん｜標的細胞=ひょうてきさいぼう｜血液=けつえき
生物基礎_Deck1_最重要骨格,BB-000009,9,Deck1・最重要骨格,生物の多様性と生態系,生態系とその保全,種多様性,しゅたようせい,なし,BB-000006,BB-000009-C01,identify,ある地域に多くの種が存在し、その個体数の偏りも小さい状態を表す多様性を何というか,ある地域に多くの種が存在し、その個体数の偏りも小さい状態を表す多様性を何というか。,種多様性,種多様性,種多様性は種数と、各種の個体数の均等さの両方に関係する。,種数,種数は種類の数だけ、種多様性は種数と個体数の均等さを含む。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜環境省 生物多様性センター「生物多様性」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.biodic.go.jp/biodiversity/,種多様性=しゅたようせい｜均等さ=きんとうさ｜種数=しゅすう
生物基礎_Deck1_最重要骨格,BB-000010,10,Deck1・最重要骨格,生物の特徴,遺伝情報とDNA,遺伝子,いでんし,なし,BB-000004,BB-000010-C01,identify,DNAのうち、主に特定の機能をもつRNAやタンパク質の情報を含む単位を何というか,DNAのうち、主に特定の機能をもつRNAやタンパク質の情報を含む単位を何というか。,遺伝子,遺伝子,遺伝子はDNA上にあり、遺伝情報の機能的な単位となる。,ゲノム,遺伝子はDNA上の一部分、ゲノムは生物がもつ遺伝情報の一組全体である。,なし,なし,なし,文部科学省「高等学校学習指導要領（平成30年告示）解説 理科編 理数編」｜米国国立ヒトゲノム研究所「Gene」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf｜https://www.genome.gov/genetics-glossary/Gene,タンパク質=たんぱくしつ｜遺伝情報=いでんじょうほう｜遺伝子=いでんし
