"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-22-02-001","ネーデルラントでルネサンスが早くから発展した経済的背景は何か？","毛織物産業や商工業が発展し、北イタリアとも交易上のつながりが深かったこと。","ブルージュとヴェネツィアは、商業覇権を競う都市として挙げられている。","原因","一問一答","","22_ルネサンスと大航海時代.md","353","86"
"WH-22-02-002","ネーデルラントで写実的な肖像画・風景画を描き、イタリアの芸術にも影響を与えた画家たちの一派は？","フランドル派。","14世紀末から活躍し、油絵技法の発展にも貢献した。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","353","88"
"WH-22-02-003","ネーデルラントで油絵技法を完成させた画家は？","ファン＝アイク兄弟。","フランドル派初期の代表として挙げられている。","人物","一問一答","","22_ルネサンスと大航海時代.md","353","88"
"WH-22-02-004","16世紀のネーデルラントで、農民の日常生活を描いた画家は？","ブリューゲル。","ネーデルラントの写実的な絵画の展開に位置づけられる。","人物","一問一答","","22_ルネサンスと大航海時代.md","353","88"
"WH-22-02-005","『愚神礼讃』でカトリック教会の腐敗を風刺した人文主義者は？","エラスムス。","宗教改革に影響を与えたが、本人は宗教改革に加わらなかった。","人物","一問一答","","22_ルネサンスと大航海時代.md","353","88"
"WH-22-02-006","エラスムスがカトリック教会の腐敗を風刺した著作は？","『愚神礼讃』。","トマス＝モアに捧げられた作品として紹介されている。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","353","88"
"WH-22-02-007","エラスムスの教会批判と、ルターらの宗教改革との関係は？","エラスムスの批判は宗教改革に影響したが、エラスムス自身は宗教改革に参加しなかった。","教会への批判と、カトリックからの分離への参加は同じではない。","関係","一問一答","","22_ルネサンスと大航海時代.md","353","88"
"WH-22-02-008","ドイツの人文主義者で、ヘブライ語の『旧約聖書』を研究した人物は？","ロイヒリン。","資料では、ルターを支持しなかったことも記されている。","人物","一問一答","","22_ルネサンスと大航海時代.md","353","94"
"WH-22-02-009","ヴィッテンベルク大学のギリシア語教授で、ルターの同僚として古典や聖書を研究した人物は？","メランヒトン。","ドイツの人文主義と宗教改革のつながりを示す人物である。","人物","一問一答","","22_ルネサンスと大航海時代.md","354","102"
"WH-22-02-010","宗教画『四人の使徒』や、芸術性の高い版画で知られるドイツの画家は？","デューラー。","聖書を題材とした絵画と版画の双方で活躍した。","人物","一問一答","","22_ルネサンスと大航海時代.md","354","104"
"WH-22-02-011","エラスムスの紹介で、イギリス王ヘンリ8世の宮廷画家となった人物は？","ホルバイン。","ルネサンスの画家や人文主義者は、国境を越えて活動した。","人物","一問一答","","22_ルネサンスと大航海時代.md","354","104"
"WH-22-02-012","ラテン語ではなく各国の言語で思想や文学を表現するようになった文学を何というか？","国民文学。","各国で主権国家体制の形成が進んだことと結びついていた。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","354","108"
"WH-22-02-013","ボッカチオの影響を受け、『カンタベリ物語』を書いたイングランドの作家は？","チョーサー。","巡礼中の人びとが話を語る形式で、『デカメロン』との関連が説明されている。","人物","一問一答","","22_ルネサンスと大航海時代.md","354","110"
"WH-22-02-014","チョーサーが、カンタベリ大聖堂への巡礼者たちが話を語る形式で著した作品は？","『カンタベリ物語』。","イングランドの国民文学の代表作として挙げられている。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","354","110"
"WH-22-02-015","架空の理想社会を描いた『ユートピア』によって、当時のヨーロッパ社会を批判した人物は？","トマス＝モア。","エラスムスと深い親交があった。","人物","一問一答","","22_ルネサンスと大航海時代.md","354","110"
"WH-22-02-016","トマス＝モアが架空の理想社会を描き、現実の社会を批判した著作は？","『ユートピア』。","「ユートピア」は「どこでもない場所」という意味と説明されている。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","354","110"
"WH-22-02-017","トマス＝モアの「羊が人間を食い殺す」という表現は、何を批判したものか？","第1次囲い込み。","牧羊地を広げる動きによって、農民の生活が圧迫されたことへの批判である。","内容","一問一答","","22_ルネサンスと大航海時代.md","354","110"
"WH-22-02-018","エリザベス1世時代に活躍し、『ハムレット』などの悲劇や『ヴェニスの商人』を書いた劇作家は？","シェークスピア。","国民文学とともに、イングランドでは演劇も発展した。","人物","一問一答","","22_ルネサンスと大航海時代.md","354","110"
"WH-22-02-019","シェークスピアの四大悲劇を答えなさい。","『ハムレット』『オセロー』『マクベス』『リア王』。","『ヴェニスの商人』は四大悲劇には含まれない。","用語の特定","一問一答","","22_ルネサンスと大航海時代.md","354","110"
