dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-B01,beginner,用語の特定,identify,ウィリアム王戦争に始まり、ナポレオン戦争まで続いた長期の英仏抗争の総称は？,第2次英仏百年戦争,第2次英仏百年戦争,英仏植民地戦争,,,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-B02,beginner,時期,time,第2次英仏百年戦争の期間は？,1689〜1815年,1689〜1815年,,,,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-B03,beginner,関連語,relation,第2次英仏百年戦争の始まりとなった北米の戦争は？,ウィリアム王戦争,ウィリアム王戦争,,,,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-B04,beginner,関連語,relation,第2次英仏百年戦争のうち、七年戦争後の植民地抗争を処理した条約は？,パリ条約（1763年）,パリ条約（1763年）,,,1763：「フランスは一難無残」パリ条約（七年戦争後）,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-B05,beginner,関係する勢力,actor,第2次英仏百年戦争の18世紀半ばの植民地抗争で優位を確立した国は？,イギリス,イギリス,,,,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-R01,reverse,時期・地域,reverse,いつ、どこで続いた抗争？,1689〜1815年、**ヨーロッパ・北米・インド**などにまたがって続いた英仏の抗争。,ヨーロッパ・北米・インド,,,,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-R02,reverse,複合説明,reverse,どんな関係で戦争が起きた？,ヨーロッパのファルツ継承戦争・スペイン継承戦争・オーストリア継承戦争・七年戦争と、**各地の植民地戦争**が連動した。七年戦争後の**パリ条約（1763年）**で、イギリスが植民地抗争における優位を確立した。,各地の植民地戦争|パリ条約（1763年）,,,1763：「フランスは一難無残」パリ条約（七年戦争後）,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270101,290,共通テスト基礎,戦争,第2次英仏百年戦争,だいにじえいふつひゃくねんせんそう,英仏植民地戦争,近世〜近代,複数地域,ヨーロッパ・北米・インド,1689〜1815年,1689,WH-270101-I01,integrated,統合説明,integrated,「第2次英仏百年戦争」について説明せよ。,1689〜1815年、**ヨーロッパ・北米・インド**などにまたがって続いた英仏の抗争。ヨーロッパのファルツ継承戦争・スペイン継承戦争・オーストリア継承戦争・七年戦争と、**各地の植民地戦争**が連動した。七年戦争後の**パリ条約（1763年）**で、イギリスが植民地抗争における優位を確立した。,ヨーロッパ・北米・インド|各地の植民地戦争|パリ条約（1763年）,,,1763：「フランスは一難無残」パリ条約（七年戦争後）,27_産業革命とアメリカ独立革命(1).md p.430–432,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270102,291,共通テスト基礎,経済・交易,インド産綿布,いんどさんめんぷ,,近世〜近代,複数地域,インド・ヨーロッパ・西アフリカ,17〜18世紀,1600,WH-270102-B01,beginner,用語の特定,identify,香辛料に代わる国際商品となり、キャラコやサラサが知られ、英仏のインド進出を促した織物は？,インド産綿布,インド産綿布,,,,27_産業革命とアメリカ独立革命(1).md p.429–431,
世界史探究_第27回_01_商業覇権の推移と第2次英仏百年戦争,WH-270102,291,共通テスト基礎,経済・交易,インド産綿布,いんどさんめんぷ,,近世〜近代,複数地域,インド・ヨーロッパ・西アフリカ,17〜18世紀,1600,WH-270102-B02,beginner,内容,content,インド産綿布の代表として資料に挙げられた二つの呼び名は？,キャラコ・サラサ,キャラコ・サラサ,,,,27_産業革命とアメリカ独立革命(1).md p.429–431,
