"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-24-04-001","独立前から発達し、オランダの海運・漁業・対外進出を支えた主要産業は何か？","造船業。","北海・バルト海の交易や漁業の発展と、互いに結びついていた。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","246"
"WH-24-04-002","17世紀のオランダがバルト海交易で圧倒した、北ドイツ諸都市の商業同盟は？","ハンザ同盟。","オランダは穀物や木材などの中継貿易によって繁栄した。","主体","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","246"
"WH-24-04-003","オランダがバルト海の中継貿易で主に扱った、資料に挙げられている商品は？","穀物と木材。","安い木材の流入は、オランダの造船業の発展をさらに支えた。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","246"
"WH-24-04-004","独立後のオランダで毛織物業が発展した背景として、資料が挙げる人の移動は？","ネーデルラント南部から商工業者が逃れてきたこと。","独立戦争による人口移動が、北部の産業発展につながった。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","246"
"WH-24-04-005","アントウェルペンから商工業者・金融業者が移り、17世紀の国際経済・国際金融の中心となった都市は？","アムステルダム。","独立したオランダの繁栄を象徴する都市である。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","246"
"WH-24-04-006","オランダの宗教的寛容は、経済の発展にどのようにつながったか？","宗教的に迫害された人々が亡命し、資本や情報が集まった。","商工業者や金融業者の流入とともに、オランダの繁栄を支えた。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","256"
"WH-24-04-007","オランダ商人たちが、複数のアジア貿易会社を統合した理由は何か？","国内企業同士の競争を抑え、イギリス東インド会社に対抗するため。","貿易会社の統合によって資金を集め、海軍力や海外進出を強化した。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","258"
"WH-24-04-008","1602年、複数の貿易会社を統合して設立された、オランダのアジア貿易を担う会社は？","オランダ東インド会社（連合東インド会社）。","株式会社の先駆とされ、資金と海軍力を背景に海外進出を進めた。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","258"
"WH-24-04-009","オランダ東インド会社が設立されたのは何年か？","1602年。","イギリス東インド会社の設立は1600年であり、2年の違いを区別する。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","258"
"WH-24-04-010","資料では、オランダ東インド会社を、どのような会社組織の先駆としているか？","株式会社。","大きな資金を集めることが、海外交易や軍事活動の基盤になった。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","258"
"WH-24-04-011","オランダ東インド会社が、ジャワ島に設けた東南アジア交易の拠点は？","バタヴィア。","要塞を設け、東南アジアへの進出と支配の中心にした。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","264"
"WH-24-04-012","1623年、オランダがマルク諸島からイギリスを排除し、香料貿易の独占を進める契機となった事件は？","アンボイナ事件。","イギリス商館員らが殺害され、イギリスはその後インドへ進出の重点を移した。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","265"
"WH-24-04-013","オランダとイギリスが衝突したアンボイナ事件は何年か？","1623年。","オランダ東インド会社設立後、東南アジアの香辛料貿易をめぐる競争が激化した。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","390","265"
