dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B01,beginner,用語の特定,identify,ブリュメール18日のクーデタで統領政府を成立させ、民法典を制定してフランス皇帝となった軍人・政治家は？,ナポレオン＝ボナパルト,ナポレオン＝ボナパルト,ナポレオン|ナポレオン1世,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B02,beginner,関連語,relation,ナポレオン＝ボナパルトが1799年に権力を握ったクーデタは？,ブリュメール18日のクーデタ,ブリュメール18日のクーデタ,,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B03,beginner,内容,content,ナポレオン＝ボナパルトが1804年に制定し、私有財産の不可侵などを定めた法典は？,ナポレオン法典,ナポレオン法典,,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B04,beginner,時期,time,ナポレオン＝ボナパルトが皇帝に即位したのはいつ？,1804年,1804年,,,1804：「いばれよこれから　皇帝だ」第一帝政の成立,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B05,beginner,関連語,relation,ナポレオン＝ボナパルトが1812年に行い、大軍を失う転機となった遠征は？,ロシア遠征,ロシア遠征,,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B06,beginner,関連語,relation,ナポレオン＝ボナパルトが復位後の1815年に敗れた最後の戦いは？,ワーテルローの戦い,ワーテルローの戦い,,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-B07,beginner,地域,place,ナポレオン＝ボナパルトが最後に流された南大西洋の島は？,セントヘレナ島,セントヘレナ島,,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-R01,reverse,時期,time,主に活動したのはいつ？,18世紀末〜19世紀初め,,,,,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-R02,reverse,複合説明,reverse,何をした？,18世紀末〜19世紀初めにフランスを中心に活動し、1799年の**ブリュメール18日のクーデタ**で権力を握った軍人・政治家。**ナポレオン法典**を制定し、1804年に皇帝となってヨーロッパ大陸へ支配を広げたが、1812年の**ロシア遠征**で大軍を失い、復位後も1815年の**ワーテルローの戦い**で敗れて**セントヘレナ島**へ流された。,ブリュメール18日のクーデタ|ナポレオン法典|ロシア遠征|ワーテルローの戦い|セントヘレナ島,,,1799：「ナポレオン　止める人無く　クーデタ成功」ブリュメール18日のクーデタ|1804：「いばれよこれから　皇帝だ」第一帝政の成立|1812：「位階に名を書く　ロシア遠征」ロシア遠征,29_ナポレオンの時代(1).md p.460–471,
世界史探究_第29回_01_ナポレオンの登場,WH-290101,453,共通テスト基礎,人物,ナポレオン＝ボナパルト,なぽれおんぼなぱると,ナポレオン|ナポレオン1世,近世〜近代,ヨーロッパ,フランスを中心とするヨーロッパ,18世紀末〜19世紀初め,1799,WH-290101-I01,integrated,統合説明,integrated,「ナポレオン＝ボナパルト」について説明せよ。,18世紀末〜19世紀初めにフランスを中心に活動し、1799年の**ブリュメール18日のクーデタ**で権力を握った軍人・政治家。**ナポレオン法典**を制定し、1804年に皇帝となってヨーロッパ大陸へ支配を広げたが、1812年の**ロシア遠征**で大軍を失い、復位後も1815年の**ワーテルローの戦い**で敗れて**セントヘレナ島**へ流された。,ブリュメール18日のクーデタ|ナポレオン法典|ロシア遠征|ワーテルローの戦い|セントヘレナ島,,,1799：「ナポレオン　止める人無く　クーデタ成功」ブリュメール18日のクーデタ|1804：「いばれよこれから　皇帝だ」第一帝政の成立|1812：「位階に名を書く　ロシア遠征」ロシア遠征,29_ナポレオンの時代(1).md p.460–471,
