dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,source_name,source_url
大学受験世界史・重要300用語（三段階学習）,WH-000001,228,大学受験標準,時代・歴史区分,人類の進化,じんるいのしんか,,先史時代,世界,アフリカを起点に世界各地,約700万年前以降,-7000000,WH-000001-B01,beginner,用語の特定,identify,猿人・原人・旧人・新人を経て現生人類へ至る長期的な変化を何という？,人類の進化,人類の進化,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000001,228,大学受験標準,時代・歴史区分,人類の進化,じんるいのしんか,,先史時代,世界,アフリカを起点に世界各地,約700万年前以降,-7000000,WH-000001-B02,beginner,時期,time,人類の進化が歴史上重要になるのはいつ頃？,約700万年前以降,約700万年前以降,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000001,228,大学受験標準,時代・歴史区分,人類の進化,じんるいのしんか,,先史時代,世界,アフリカを起点に世界各地,約700万年前以降,-7000000,WH-000001-B03,beginner,用語の関連,relation,現生人類の学名は？,ホモ＝サピエンス,ホモ＝サピエンス,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000001,228,大学受験標準,時代・歴史区分,人類の進化,じんるいのしんか,,先史時代,世界,アフリカを起点に世界各地,約700万年前以降,-7000000,WH-000001-R01,reverse,内容,reverse,何が起きた時代・変化？,約700万年前以降、**アフリカ**で初期人類が現れ、**直立二足歩行**・道具・火・言語などを発達させながら、原人・旧人・新人へと変化した。,アフリカ|直立二足歩行,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000001,228,大学受験標準,時代・歴史区分,人類の進化,じんるいのしんか,,先史時代,世界,アフリカを起点に世界各地,約700万年前以降,-7000000,WH-000001-R02,reverse,結果・影響,reverse,何につながった？,約30万年前までに現れた**ホモ＝サピエンス**が各大陸へ拡散し、現在の人類社会の基礎を作った。,ホモ＝サピエンス,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000001,228,大学受験標準,時代・歴史区分,人類の進化,じんるいのしんか,,先史時代,世界,アフリカを起点に世界各地,約700万年前以降,-7000000,WH-000001-I01,integrated,統合説明,integrated,「人類の進化」について説明せよ。,約700万年前以降、**アフリカ**で初期人類が現れ、**直立二足歩行**・道具・火・言語などを発達させながら、原人・旧人・新人へと変化した。 約30万年前までに現れた**ホモ＝サピエンス**が各大陸へ拡散し、現在の人類社会の基礎を作った。,アフリカ|直立二足歩行|ホモ＝サピエンス,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000002,229,大学受験標準,時代・歴史区分,旧石器時代,きゅうせっきじだい,,先史時代,世界,世界各地,約260万年前〜前1万年頃,-2600000,WH-000002-B01,beginner,用語の特定,identify,打製石器(だせいせっき)を用い、狩猟・採集を中心に移動生活を送った時代を何という？,旧石器時代,旧石器時代,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000002,229,大学受験標準,時代・歴史区分,旧石器時代,きゅうせっきじだい,,先史時代,世界,世界各地,約260万年前〜前1万年頃,-2600000,WH-000002-B02,beginner,時期,time,旧石器時代が歴史上重要になるのはいつ頃？,約260万年前〜前1万年頃,約260万年前〜前1万年頃,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000002,229,大学受験標準,時代・歴史区分,旧石器時代,きゅうせっきじだい,,先史時代,世界,世界各地,約260万年前〜前1万年頃,-2600000,WH-000002-B03,beginner,技術,content,旧石器時代を代表する石器は？,打製石器(だせいせっき),打製石器,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000002,229,大学受験標準,時代・歴史区分,旧石器時代,きゅうせっきじだい,,先史時代,世界,世界各地,約260万年前〜前1万年頃,-2600000,WH-000002-R01,reverse,内容,reverse,何が起きた時代・変化？,人類が**打製石器(だせいせっき)**を使い、狩猟・採集を中心に移動生活を送った長い時代で、原人の段階では**火の使用**も広がった。,打製石器|火の使用,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000002,229,大学受験標準,時代・歴史区分,旧石器時代,きゅうせっきじだい,,先史時代,世界,世界各地,約260万年前〜前1万年頃,-2600000,WH-000002-R02,reverse,結果・影響,reverse,何につながった？,新人の時代には洞穴絵画などの文化が発達し、後の**新石器革命**による定住と食料生産へつながった。,新石器革命,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000002,229,大学受験標準,時代・歴史区分,旧石器時代,きゅうせっきじだい,,先史時代,世界,世界各地,約260万年前〜前1万年頃,-2600000,WH-000002-I01,integrated,統合説明,integrated,「旧石器時代」について説明せよ。,人類が**打製石器(だせいせっき)**を使い、狩猟・採集を中心に移動生活を送った長い時代で、原人の段階では**火の使用**も広がった。 新人の時代には洞穴絵画などの文化が発達し、後の**新石器革命**による定住と食料生産へつながった。,打製石器|火の使用|新石器革命,,,世界史の窓：章節別用語リスト,https://www.y-history.net/appendix/appendix-list.html
大学受験世界史・重要300用語（三段階学習）,WH-000003,18,大学受験基礎,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000003-B01,beginner,用語の特定,identify,狩猟・採集中心の生活から農耕・牧畜による食料生産へ移った大変化を何という？,新石器革命,新石器革命,農業革命,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・重要300用語（三段階学習）,WH-000003,18,大学受験基礎,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000003-B02,beginner,時期,time,西アジアで農耕・牧畜が始まり、新石器革命が進み始めたのはいつ頃？,前1万年頃,前1万年頃,紀元前1万年頃,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・重要300用語（三段階学習）,WH-000003,18,大学受験基礎,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000003-B03,beginner,結果,result,新石器革命による定住化で形成された基本的な居住共同体は？,村落,村落,定住村落,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・重要300用語（三段階学習）,WH-000003,18,大学受験基礎,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000003-R01,reverse,内容,reverse,何が起きた？,**前1万年頃以降**、人々が**狩猟・採集**中心の生活から、**農耕・牧畜**による食料生産へ移り、**磨製石器(ませいせっき)**や**土器**を用いて定住生活を始めた。,狩猟・採集|農耕・牧畜|磨製石器|土器|定住生活,,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・重要300用語（三段階学習）,WH-000003,18,大学受験基礎,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000003-R02,reverse,結果,reverse,社会はどのように変化した？,食料の安定と余剰によって人口が増え、**村落**が発達した。やがて分業や階層化が進み、**都市・国家**の成立につながった。,村落|分業|階層化|都市・国家,,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・重要300用語（三段階学習）,WH-000003,18,大学受験基礎,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000003-I01,integrated,統合説明,integrated,「新石器革命」について説明せよ。,前1万年頃以降、人々が**狩猟・採集**から**農耕・牧畜**へ移り、**磨製石器(ませいせっき)**や**土器**を用いて定住するようになった変化。人口増加と余剰生産によって**村落**・分業・階層化が進み、のちの**都市・国家**形成につながった。,狩猟・採集|農耕・牧畜|磨製石器|土器|村落|都市・国家,,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・重要300用語（三段階学習）,WH-000004,25,大学受験基礎,文化・技術・学問,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,前4千年紀〜前1千年紀,-3500,WH-000004-B01,beginner,用語の特定,identify,ティグリス川とユーフラテス川の流域に成立した古代文明は？,メソポタミア文明,メソポタミア文明,,,世界史の窓：メソポタミア文明,https://www.y-history.net/appendix/wh0101-004.html
大学受験世界史・重要300用語（三段階学習）,WH-000004,25,大学受験基礎,文化・技術・学問,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,前4千年紀〜前1千年紀,-3500,WH-000004-B02,beginner,中心民族,actor,メソポタミア南部にウルやウルクなどの都市国家を築いた民族は？,シュメール人,シュメール人,シュメール,,世界史の窓：メソポタミア文明,https://www.y-history.net/appendix/wh0101-004.html
