dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B01,beginner,用語の特定,identify,イエスの教えと復活への信仰をもとに、使徒の伝道によってローマ帝国に広まった宗教は？,キリスト教,キリスト教,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B02,beginner,中心人物,person,キリスト教の教えのもととなった、ナザレに現れた人物は？,イエス,イエス,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B03,beginner,関連,relation,キリスト教が生まれる母体となった宗教は？,ユダヤ教,ユダヤ教,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B04,beginner,内容,content,キリスト教でイエスが説いた、神の愛は身分や貧富に関係なくすべての人に及ぶという考えは？,神の絶対愛,神の絶対愛,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B05,beginner,内容,content,キリスト教で、自分自身と同じように他者を愛すべきだという教えは？,隣人愛,隣人愛,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B06,beginner,関連,relation,キリスト教を313年に公認した勅令は？,ミラノ勅令,ミラノ勅令,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-B07,beginner,中心人物,person,キリスト教を国教化したローマ皇帝は？,テオドシウス帝,テオドシウス帝,テオドシウス,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-R01,reverse,複合説明,reverse,キリスト教は、どのように成立した宗教？,ローマ支配下のパレスチナで、**イエス**がユダヤ教の選民思想やパリサイ派の戒律主義を批判し、**神の絶対愛・隣人愛**を説いた。処刑後の**復活を信じた使徒**が伝道し、民族を超えて信仰が広がった。,イエス|神の絶対愛・隣人愛|復活を信じた使徒,,,,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-R02,reverse,複合説明,reverse,キリスト教とローマ帝国の関係は、どう変化した？,唯一神への信仰から**皇帝崇拝**を拒み、迫害を受けた。313年の**ミラノ勅令**で公認され、392年には**テオドシウス帝**が異端・異教を禁じて国教化した。,皇帝崇拝|ミラノ勅令|テオドシウス帝,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）|392年：「割くにさけない　キリスト教」キリスト教国教化,07_ローマ帝国とキリスト教(3).md p.122〜126,
第2章_第7回_04_キリスト教の成立と発展,WH-020186,140,共通テスト基礎,宗教・宗派,キリスト教,きりすときょう,,古代,地中海世界,パレスチナからローマ帝国各地,ローマ帝政期の成立〜313年の公認・392年の国教化,64,WH-020186-I01,integrated,統合説明,integrated,「キリスト教」について説明せよ。,ローマ支配下のパレスチナで、**イエス**の**神の絶対愛・隣人愛**の教えと、処刑後の**復活を信じる信仰**をもとに成立した宗教。イエスはユダヤ教の選民思想やパリサイ派の戒律主義を批判し、使徒の伝道を通じて民族を超えて広がった。皇帝崇拝を拒んで迫害されたが、313年の**ミラノ勅令**で公認され、392年に**テオドシウス帝**のもとで国教化された。,イエス|神の絶対愛・隣人愛|復活を信じる信仰|ミラノ勅令|テオドシウス帝,,,313年：「幸先よいね　ミラノ勅令」キリスト教公認（ミラノ勅令）|392年：「割くにさけない　キリスト教」キリスト教国教化,07_ローマ帝国とキリスト教(3).md p.122〜126,
