"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-28-01-001","特権身分の免税特権廃止を目指し、1789年に全国三部会を招集したフランス国王は？","ルイ16世。","財政改革に対する特権身分の反発が、全国三部会招集につながった。","人物","一問一答","","28_フランス革命.md","446","32"
"WH-28-01-002","ルイ16世の財務総監となり、穀物の自由取引やギルド廃止を進めようとした重農主義者は？","テュルゴ。","自由化による経済の活性化を目指したが、特権を失うことを恐れた貴族の反発で失脚した。","人物","一問一答","","28_フランス革命.md","446","33"
"WH-28-01-003","ルイ16世のもとで財務総監を務めた、スイスの銀行家は？","ネッケル。","財政状況を調べ、税収を増やすための特権身分への課税を課題とした。","人物","一問一答","","28_フランス革命.md","446","33"
"WH-28-01-004","フランス革命の発端となる全国三部会が招集されたのは何年か？","1789年。","資料では5月5日開会、6月17日の国民議会成立へと続く。","時期","一問一答","","28_フランス革命.md","446","34"
"WH-28-01-005","1789年、第三身分が自分たちこそ国民の代表だと宣言して成立させた議会は？","国民議会。","全国三部会から離脱した第三身分に、一部の聖職者らも合流した。","用語の特定","一問一答","","28_フランス革命.md","446","35"
"WH-28-01-006","1789年6月、憲法制定まで国民議会を解散しないと誓った出来事は？","球戯場の誓い。","議場が閉鎖された議員たちが、宮殿内の室内テニスコートに集まって誓った。","用語の特定","一問一答","","28_フランス革命.md","446","36"
"WH-28-01-007","球戯場の誓いの後、国民議会が憲法制定を任務として用いた名称は？","憲法制定議会（憲法制定国民議会）。","王権を憲法で制限する立憲王政へ向かう段階である。","用語の特定","一問一答","","28_フランス革命.md","446","37"
"WH-28-01-008","フランス革命前に国家財政が悪化した、戦争・宮殿建設に関する主な要因は？","ルイ14世の侵略戦争とヴェルサイユ宮殿建設、ルイ15世の植民地戦争、ルイ16世のアメリカ独立戦争参戦。","長期にわたる戦争と支出の累積が、財政改革を必要にした。","原因","一問一答","","28_フランス革命.md","446","51"
"WH-28-01-009","革命前のフランスで関税引下げとイギリス製品の流入をもたらした通商条約は？","英仏通商条約（イーデン条約）。","資料では、イギリス製品の大量流入がフランスの国内産業に打撃を与えたと説明される。","用語の特定","一問一答","","28_フランス革命.md","446","51"
"WH-28-01-010","イーデン条約による関税引下げは、資料ではフランスの国内産業に何をもたらしたとされるか？","イギリス製品が大量に流入し、国内産業に打撃を与えた。","国家財政の問題に、国内産業の不振が重なった。","結果","一問一答","","28_フランス革命.md","446","51"
"WH-28-01-011","革命前のフランスに残っていた、身分的特権を伴う旧体制を何というか？","アンシャン＝レジーム。","第一・第二身分が特権を持ち、第三身分が重い税負担を担っていた。","用語の特定","一問一答","","28_フランス革命.md","446","53"
