dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第2章_第04回_01_エーゲ文明,WH-000131,131,共通テスト・必修,時代・歴史区分,エーゲ文明,えーげぶんめい,,古代,ヨーロッパ・地中海世界,エーゲ海周辺,前2000年ころ以降,-2000,WH-000131-B01,beginner,用語の特定,identify,クレタ文明やミケーネ文明を含み、エーゲ海を中心に海上交易で発展した文明の総称は？,エーゲ文明,エーゲ文明,,,,04_古代ギリシア世界の成立(1).md pp.65–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000131,131,共通テスト・必修,時代・歴史区分,エーゲ文明,えーげぶんめい,,古代,ヨーロッパ・地中海世界,エーゲ海周辺,前2000年ころ以降,-2000,WH-000131-B02,beginner,内容,content,エーゲ文明の地域で栽培が発達した代表的な果樹を二つ答えよ。,オリーブとブドウ,オリーブとブドウ,ブドウとオリーブ,,,04_古代ギリシア世界の成立(1).md pp.65–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000131,131,共通テスト・必修,時代・歴史区分,エーゲ文明,えーげぶんめい,,古代,ヨーロッパ・地中海世界,エーゲ海周辺,前2000年ころ以降,-2000,WH-000131-B03,beginner,内容,content,エーゲ文明の地域で、オリーブ油やワインと交換するために輸入された主な食料は？,穀物,穀物,,,,04_古代ギリシア世界の成立(1).md pp.65–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000131,131,共通テスト・必修,時代・歴史区分,エーゲ文明,えーげぶんめい,,古代,ヨーロッパ・地中海世界,エーゲ海周辺,前2000年ころ以降,-2000,WH-000131-R01,reverse,原因,cause,エーゲ文明の地域では、なぜ海上交易が発達したか？,平野が少なく降水量も少ないため、穀物より**オリーブ・ブドウの栽培**に向き、油やワインを輸出して**穀物を輸入**する必要があった。山を越えるより海上の移動が便利だったことも背景にある。,オリーブ・ブドウの栽培|穀物を輸入,,,,04_古代ギリシア世界の成立(1).md pp.65–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000131,131,共通テスト・必修,時代・歴史区分,エーゲ文明,えーげぶんめい,,古代,ヨーロッパ・地中海世界,エーゲ海周辺,前2000年ころ以降,-2000,WH-000131-R02,reverse,内容,content,エーゲ文明は、どのような文明から構成されたか？,**前2000年ころから繁栄したクレタ文明**や、その後の**ミケーネ文明**など、エーゲ海周辺の海洋文明からなる。,前2000年ころから繁栄したクレタ文明|ミケーネ文明,,,,04_古代ギリシア世界の成立(1).md pp.65–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000131,131,共通テスト・必修,時代・歴史区分,エーゲ文明,えーげぶんめい,,古代,ヨーロッパ・地中海世界,エーゲ海周辺,前2000年ころ以降,-2000,WH-000131-I01,integrated,統合説明,integrated,「エーゲ文明」について説明せよ。,前2000年ころから繁栄した**クレタ文明**や、その後の**ミケーネ文明**など、エーゲ海周辺の海洋文明の総称。平野と雨が少ない地域で**オリーブ・ブドウ**を栽培し、油やワインを輸出して**穀物を輸入**する海上交易が発達した。,クレタ文明|ミケーネ文明|オリーブ・ブドウ|穀物を輸入,,,,04_古代ギリシア世界の成立(1).md pp.65–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000132,132,共通テスト・必修,時代・歴史区分,ミケーネ文明,みけーねぶんめい,,古代,ヨーロッパ・地中海世界,ペロポネソス半島,前1600年ころ〜前1200年ころ,-1600,WH-000132-B01,beginner,用語の特定,identify,アカイア人がペロポネソス半島を中心に形成し、巨石城壁や線文字Bで知られる青銅器文明は？,ミケーネ文明,ミケーネ文明,,,,04_古代ギリシア世界の成立(1).md pp.66–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000132,132,共通テスト・必修,時代・歴史区分,ミケーネ文明,みけーねぶんめい,,古代,ヨーロッパ・地中海世界,ペロポネソス半島,前1600年ころ〜前1200年ころ,-1600,WH-000132-B02,beginner,時期,time,ミケーネ文明が形成され始めたのはいつか？,前1600年ころ,前1600年ころ,,,,04_古代ギリシア世界の成立(1).md pp.66–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000132,132,共通テスト・必修,時代・歴史区分,ミケーネ文明,みけーねぶんめい,,古代,ヨーロッパ・地中海世界,ペロポネソス半島,前1600年ころ〜前1200年ころ,-1600,WH-000132-B03,beginner,主体,actor,ミケーネ文明を担ったギリシア人の一派は？,アカイア人,アカイア人,,,,04_古代ギリシア世界の成立(1).md pp.66–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000132,132,共通テスト・必修,時代・歴史区分,ミケーネ文明,みけーねぶんめい,,古代,ヨーロッパ・地中海世界,ペロポネソス半島,前1600年ころ〜前1200年ころ,-1600,WH-000132-B04,beginner,場所,place,ミケーネ文明が形成された中心的な半島は？,ペロポネソス半島,ペロポネソス半島,,,,04_古代ギリシア世界の成立(1).md pp.66–67,
世界史探究_第2章_第04回_01_エーゲ文明,WH-000132,132,共通テスト・必修,時代・歴史区分,ミケーネ文明,みけーねぶんめい,,古代,ヨーロッパ・地中海世界,ペロポネソス半島,前1600年ころ〜前1200年ころ,-1600,WH-000132-B05,beginner,内容,content,ミケーネ文明で用いられ、解読された文字は？,線文字B,線文字B,,,,04_古代ギリシア世界の成立(1).md pp.66–67,
