dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-B01,beginner,用語の特定,identify,アレクサンドロスの東方遠征からプトレマイオス朝の滅亡までの約300年間を何というか？,ヘレニズム時代,ヘレニズム時代,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-B02,beginner,内容,content,ヘレニズム時代の始まりとなった、アレクサンドロスの軍事行動は？,東方遠征,東方遠征,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-B03,beginner,主体,actor,ヘレニズム時代の終わりの指標となる、前30年に滅亡した王朝は？,プトレマイオス朝エジプト,プトレマイオス朝エジプト,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-B04,beginner,内容,content,ヘレニズム時代に広く使われた共通ギリシア語は？,コイネー,コイネー,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-R01,reverse,内容,content,ヘレニズム時代には、どのような世界が形成されたか？,**前334年の東方遠征開始から前30年まで**、ギリシア人が西アジアやエジプトに移り住み、**ギリシア文化がオリエントへ拡大**した。各地の文化的要素も加わり、共通語の**コイネー**が用いられた。,前334年の東方遠征開始から前30年まで|ギリシア文化がオリエントへ拡大|コイネー,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-R02,reverse,結果,result,ヘレニズム時代の王国は、最終的にどうなったか？,アレクサンドロスの帝国分裂で生まれた**マケドニア・シリア・エジプトの王朝**は、最終的にすべて**ローマ**に征服された。,マケドニア・シリア・エジプトの王朝|ローマ,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000189,171,共通テスト・必修,時代・歴史区分,ヘレニズム時代,へれにずむじだい,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征開始〜前30年,-334,WH-000189-I01,integrated,統合説明,integrated,「ヘレニズム時代」について説明せよ。,前334年に始まるアレクサンドロスの東方遠征から、前30年の**プトレマイオス朝滅亡**までの時代。ギリシア人が西アジア・エジプトへ進出して**ギリシア文化とコイネー**が広がり、各地の文化の要素も加わった。帝国分裂で生まれた諸王朝は最終的に**ローマ**へ征服された。,プトレマイオス朝滅亡|ギリシア文化とコイネー|ローマ,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84・87–89,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000190,172,共通テスト・必修,人物,アレクサンドロス大王,あれくさんどろすだいおう,アレクサンドロス3世,古代,ヨーロッパ・地中海世界,マケドニア・西アジア・エジプト・インダス川方面,前334〜前323年,-334,WH-000190-B01,beginner,人物,identify,マケドニアから東方遠征を行い、アケメネス朝を滅ぼしてインダス川まで進出した王は？,アレクサンドロス大王,アレクサンドロス大王,アレクサンドロス3世,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84–88,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000190,172,共通テスト・必修,人物,アレクサンドロス大王,あれくさんどろすだいおう,アレクサンドロス3世,古代,ヨーロッパ・地中海世界,マケドニア・西アジア・エジプト・インダス川方面,前334〜前323年,-334,WH-000190-B02,beginner,人物,person,アレクサンドロス大王の父で、ギリシアを制圧した王は？,フィリッポス2世,フィリッポス2世,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84–88,
世界史探究_第2章_第05回_03_ヘレニズム時代,WH-000190,172,共通テスト・必修,人物,アレクサンドロス大王,あれくさんどろすだいおう,アレクサンドロス3世,古代,ヨーロッパ・地中海世界,マケドニア・西アジア・エジプト・インダス川方面,前334〜前323年,-334,WH-000190-B03,beginner,人物,person,アレクサンドロス大王の教育係となったギリシアの哲学者は？,アリストテレス,アリストテレス,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.84–88,
