dataset_label,term_id,importance_rank,difficulty_label,word,part_of_speech,meaning,accepted_answers,example_sentence,example_translation
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000501,501,Deck 2｜受験基礎,assume,動詞,〜と仮定する,〜と仮定する|〜と思い込む,Let us assume that the data are correct for now.,ひとまず、そのデータが正しいと仮定しよう。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000502,502,Deck 2｜受験基礎,authority,名詞,権限,権限|権威|当局,Local governments have the authority to close unsafe buildings.,地方自治体には危険な建物を閉鎖する権限がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000503,503,Deck 2｜受験基礎,analyze,動詞,〜を分析する,〜を分析する|〜を詳しく調べる,Scientists analyze the samples before drawing any conclusion.,科学者は結論を出す前に試料を分析する。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000504,504,Deck 2｜受験基礎,concept,名詞,概念,概念|考え方,The concept of fairness differs greatly across cultures.,公平という概念は文化によって大きく異なる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000505,505,Deck 2｜受験基礎,evaluate,動詞,〜を評価する,〜を評価する|〜の価値を判断する,The committee will carefully evaluate each proposal before voting.,委員会は投票前に各提案を慎重に評価する。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000506,506,Deck 2｜受験基礎,theory,名詞,理論,理論|学説,The evidence supports the theory proposed by the researchers.,その証拠は研究者が提唱した理論を支持している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000507,507,Deck 2｜受験基礎,academic,形容詞・名詞,学問・教育に関する,学問・教育に関する|学究的な|大学教員,The journal publishes academic research on language learning.,その雑誌は言語学習に関する学術研究を掲載している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000508,508,Deck 2｜受験基礎,estimate,動詞・名詞,〜を推定する,〜を推定する|〜を見積もる|推定値,Experts estimate that repairs will take two weeks.,専門家は修理に2週間かかると推定している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000509,509,Deck 2｜受験基礎,structure,名詞・動詞,構造,構造|組織|〜を構成する,The structure of the essay makes its argument easy to follow.,その論文の構造により、議論の流れを追いやすい。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000510,510,Deck 2｜受験基礎,abstract,形容詞・名詞,抽象的な,抽象的な|要旨,Young children may struggle with highly abstract ideas.,幼い子どもは非常に抽象的な考えの理解に苦労することがある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000511,511,Deck 2｜受験基礎,observe,動詞,〜を観察する,〜を観察する|〜に気づく|〜を守る,We observed how the birds reacted to the noise.,私たちは鳥がその音にどう反応するかを観察した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000512,512,Deck 2｜受験基礎,function,名詞・動詞,機能,機能|役割|機能する,One function of sleep is to support memory.,睡眠の機能の一つは記憶を支えることである。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000513,513,Deck 2｜受験基礎,civil,形容詞,市民生活・社会に関する,市民生活・社会に関する|市民の|民間の|礼儀正しい,The organization works internationally to protect civil rights.,その組織は市民の権利を守るため国際的に活動している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000514,514,Deck 2｜受験基礎,predict,動詞,〜を予測する,〜を予測する|〜を予言する,No model can predict every change in the market.,どのモデルも市場のあらゆる変化を予測することはできない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000515,515,Deck 2｜受験基礎,data,名詞,分析用のデータ,分析用のデータ|データ|資料,The data show a clear increase in online learning.,そのデータはオンライン学習の明確な増加を示している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000516,516,Deck 2｜受験基礎,approximately,副詞,およそ,およそ|約,The journey takes approximately three hours by train.,その旅は電車でおよそ3時間かかる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000517,517,Deck 2｜受験基礎,principle,名詞,原則,原則|原理|信条,The policy is based on the principle of equal opportunity.,その方針は機会均等の原則に基づいている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000518,518,Deck 2｜受験基礎,conventional,形容詞,従来型の,従来型の|慣習に従う,The new method is cheaper than conventional approaches.,その新しい方法は従来型の手法より安価である。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000519,519,Deck 2｜受験基礎,interpret,動詞,〜を解釈する,〜を解釈する|〜を通訳する,Readers may interpret the final scene in different ways.,読者は最後の場面を異なる方法で解釈するかもしれない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000520,520,Deck 2｜受験基礎,economy,名詞,国・地域の経済,国・地域の経済|経済|節約,Tourism plays an important role in the local economy.,観光は地域経済で重要な役割を果たしている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000521,521,Deck 2｜受験基礎,consequently,副詞,その結果として,その結果として|したがって,"The road was closed; consequently, traffic became much heavier elsewhere.",道路が閉鎖されたため、その結果として別の場所の交通量が大幅に増えた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000522,522,Deck 2｜受験基礎,crucial,形容詞,決定的に重要な,決定的に重要な|不可欠な,Clear communication is especially crucial during an emergency.,緊急時には明確な意思疎通がとりわけ決定的に重要である。
