dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第29回_03_ナポレオンの没落,WH-290301,478,共通テスト基礎,思想・主義,自由主義,じゆうしゅぎ,,近世〜近代,ヨーロッパ,フランスからヨーロッパ各地,19世紀初め,1800,WH-290301-B01,beginner,用語の特定,identify,ナポレオン法典の施行などを通じてヨーロッパ各地に広がった、個人の自由や権利を重視する思想は？,自由主義,自由主義,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290301,478,共通テスト基礎,思想・主義,自由主義,じゆうしゅぎ,,近世〜近代,ヨーロッパ,フランスからヨーロッパ各地,19世紀初め,1800,WH-290301-B02,beginner,中心人物,person,19世紀初め、遠征によって自由主義の広がりを促したフランスの統治者は？,ナポレオン,ナポレオン,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290301,478,共通テスト基礎,思想・主義,自由主義,じゆうしゅぎ,,近世〜近代,ヨーロッパ,フランスからヨーロッパ各地,19世紀初め,1800,WH-290301-B03,beginner,内容,content,19世紀初めの自由主義拡大に関係した、征服地でも施行された民法典は？,ナポレオン法典,ナポレオン法典,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290301,478,共通テスト基礎,思想・主義,自由主義,じゆうしゅぎ,,近世〜近代,ヨーロッパ,フランスからヨーロッパ各地,19世紀初め,1800,WH-290301-B04,beginner,関連語,relation,ナポレオンの支配地域で自由主義とともに広がった、祖国や国民の結びつきを重視する意識は？,ナショナリズム,ナショナリズム,国民主義,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290301,478,共通テスト基礎,思想・主義,自由主義,じゆうしゅぎ,,近世〜近代,ヨーロッパ,フランスからヨーロッパ各地,19世紀初め,1800,WH-290301-R01,reverse,複合説明,reverse,どんな考え？,19世紀初め、フランスからヨーロッパ各地へ広がった、**自由や権利**を重視する思想。ナポレオンが支配地域で**民法典**を施行したことなどを通じて広がり、**ナショナリズム**とともに支配への抵抗にもつながった。,自由や権利|民法典|ナショナリズム,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290301,478,共通テスト基礎,思想・主義,自由主義,じゆうしゅぎ,,近世〜近代,ヨーロッパ,フランスからヨーロッパ各地,19世紀初め,1800,WH-290301-I01,integrated,統合説明,integrated,「自由主義」について説明せよ。,19世紀初め、フランスからヨーロッパ各地へ広がった、**自由や権利**を重視する思想。ナポレオンが支配地域で**民法典**を施行したことなどを通じて広がり、**ナショナリズム**とともに支配への抵抗にもつながった。,自由や権利|民法典|ナショナリズム,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290302,479,共通テスト基礎,思想・主義,ナショナリズム,なしょなりずむ,国民主義,近世〜近代,ヨーロッパ,フランスとヨーロッパ各地,18世紀末〜19世紀初め,1792,WH-290302-B01,beginner,用語の特定,identify,国を王の所有物ではなく国民自身の祖国と捉え、ナポレオン支配下の諸民族の抵抗にもつながった意識は？,ナショナリズム,ナショナリズム,国民主義,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290302,479,共通テスト基礎,思想・主義,ナショナリズム,なしょなりずむ,国民主義,近世〜近代,ヨーロッパ,フランスとヨーロッパ各地,18世紀末〜19世紀初め,1792,WH-290302-B02,beginner,関連語,relation,フランスでナショナリズムを育てた、義勇兵募集の際の祖国防衛の宣言は？,祖国は危機にあり,祖国は危機にあり,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290302,479,共通テスト基礎,思想・主義,ナショナリズム,なしょなりずむ,国民主義,近世〜近代,ヨーロッパ,フランスとヨーロッパ各地,18世紀末〜19世紀初め,1792,WH-290302-B03,beginner,中心人物,person,フランスのナショナリズムを遠征で利用した皇帝は？,ナポレオン,ナポレオン,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290302,479,共通テスト基礎,思想・主義,ナショナリズム,なしょなりずむ,国民主義,近世〜近代,ヨーロッパ,フランスとヨーロッパ各地,18世紀末〜19世紀初め,1792,WH-290302-B04,beginner,結果,result,ナポレオンに支配された民族のナショナリズムが促した政治的行動は？,ナポレオン支配への抵抗,ナポレオン支配への抵抗,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290302,479,共通テスト基礎,思想・主義,ナショナリズム,なしょなりずむ,国民主義,近世〜近代,ヨーロッパ,フランスとヨーロッパ各地,18世紀末〜19世紀初め,1792,WH-290302-R01,reverse,複合説明,reverse,どんな考え？,18世紀末〜19世紀初め、フランス革命の「**祖国は危機にあり**」という呼びかけなどから育った、国民自身の祖国を重視する意識。**ナポレオン**が遠征で利用する一方、ヨーロッパ各地の被支配民族にも広まり、**ナポレオン支配への抵抗**を促した。,祖国は危機にあり|ナポレオン|ナポレオン支配への抵抗,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290302,479,共通テスト基礎,思想・主義,ナショナリズム,なしょなりずむ,国民主義,近世〜近代,ヨーロッパ,フランスとヨーロッパ各地,18世紀末〜19世紀初め,1792,WH-290302-I01,integrated,統合説明,integrated,「ナショナリズム」について説明せよ。,18世紀末〜19世紀初め、フランス革命の「**祖国は危機にあり**」という呼びかけなどから育った、国民自身の祖国を重視する意識。**ナポレオン**が遠征で利用する一方、ヨーロッパ各地の被支配民族にも広まり、**ナポレオン支配への抵抗**を促した。,祖国は危機にあり|ナポレオン|ナポレオン支配への抵抗,,,,29_ナポレオンの時代(1).md p.468–469,
世界史探究_第29回_03_ナポレオンの没落,WH-290303,480,共通テスト基礎,戦争,スペイン反乱,すぺいんはんらん,半島戦争,近世〜近代,ヨーロッパ,スペイン,1808〜1814年,1808,WH-290303-B01,beginner,用語の特定,identify,ナポレオンの兄がスペイン王に即位したことを受け、農民を中心に抵抗が続いた戦争・反乱は？,スペイン反乱,スペイン反乱,半島戦争,,,29_ナポレオンの時代(1).md p.465・469,
世界史探究_第29回_03_ナポレオンの没落,WH-290303,480,共通テスト基礎,戦争,スペイン反乱,すぺいんはんらん,半島戦争,近世〜近代,ヨーロッパ,スペイン,1808〜1814年,1808,WH-290303-B02,beginner,時期,time,スペイン反乱が続いたのはいつ？,1808〜1814年,1808〜1814年,,,,29_ナポレオンの時代(1).md p.465・469,
世界史探究_第29回_03_ナポレオンの没落,WH-290303,480,共通テスト基礎,戦争,スペイン反乱,すぺいんはんらん,半島戦争,近世〜近代,ヨーロッパ,スペイン,1808〜1814年,1808,WH-290303-B03,beginner,中心人物,person,スペイン反乱のきっかけとなった、スペイン王に即位したナポレオンの兄は？,ジョゼフ,ジョゼフ,,,,29_ナポレオンの時代(1).md p.465・469,
世界史探究_第29回_03_ナポレオンの没落,WH-290303,480,共通テスト基礎,戦争,スペイン反乱,すぺいんはんらん,半島戦争,近世〜近代,ヨーロッパ,スペイン,1808〜1814年,1808,WH-290303-B04,beginner,国家・勢力,actor,スペイン反乱の抵抗運動の中心となった階層は？,農民,農民,,,,29_ナポレオンの時代(1).md p.465・469,
