"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-26-01-001","アウクスブルクの宗教和議後も、ドイツで領邦君主と領民の宗教対立が続いたのはなぜか？","信仰の選択権は諸侯に与えられ、領民個人には認められなかったため。","領主と異なる宗派を信じる人々の不満が残った。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","35"
"WH-26-01-002","アウクスブルクの宗教和議で、カトリック・ルター派と異なり公認されなかった新教の宗派は？","カルヴァン派。","その後、ファルツ選帝侯などの反皇帝派諸侯にも広がった。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","35"
"WH-26-01-003","ドイツの反皇帝派・新教派諸侯が結成した同盟は？","新教同盟（ウニオン）。","ファルツ選帝侯などを中心とした。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","35"
"WH-26-01-004","新教同盟に対抗し、バイエルン公を中心にカトリック派諸侯が結成した同盟は？","旧教同盟（リガ）。","神聖ローマ皇帝側に立つカトリック勢力の結びつきである。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","35"
"WH-26-01-005","三十年戦争前のドイツで、オランダとスペインはそれぞれどちらの宗派勢力を支援したか？","オランダは新教側、スペインは旧教側。","帝国内の宗教対立に、周辺諸国の国際対立が入り込んだ。","関係","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","35"
"WH-26-01-006","ベーメン王として新教徒を弾圧し、のちに神聖ローマ皇帝となったハプスブルク家の人物は？","フェルディナント2世。","その弾圧が、ベーメンの新教徒の反乱を招いた。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","39"
"WH-26-01-007","1618年、三十年戦争の発端となる新教徒の反乱が起きた地域は？","ベーメン。","プラハで皇帝の代官が城の窓から落とされた事件がきっかけとなった。","場所","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","41"
"WH-26-01-008","1618年のベーメンの反乱から始まり、1648年まで続いた戦争は？","三十年戦争。","帝国内の宗教内乱から、諸外国が介入する戦争へ広がった。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","41"
"WH-26-01-009","ドイツ三十年戦争の開始年と終結年は？","1618年〜1648年。","終結時の講和条約はウェストファリア条約である。","時期","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","41"
"WH-26-01-010","ベーメンの反乱にファルツ選帝侯などが加わった、三十年戦争の初期段階を何というか？","ベーメン・ファルツ戦争。","反乱がベーメン一地域から、帝国内の対立へ拡大した。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","41"
"WH-26-01-011","ベーメンの反乱が、神聖ローマ帝国全体の内乱へ広がったのはなぜか？","帝国内の新教派諸侯が反乱側に加わり、皇帝もカトリック諸侯と連携して鎮圧しようとしたため。","さらにスペインが皇帝側を支援し、外国の介入も広がった。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","411","41"
"WH-26-01-012","ハプスブルク家を抑えるため、デンマークやスウェーデンに働きかけたフランスの宰相は？","リシュリュー。","フランスはカトリック国だったが、新教側を支援した。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","412","75"
"WH-26-01-013","三十年戦争で、フランスの働きかけを受け、スウェーデンより先にドイツへ軍を送った北欧の国は？","デンマーク。","クリスチャン4世が率いたが、皇帝軍に撃退された。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","412","75"
"WH-26-01-014","デンマーク軍を破り、神聖ローマ皇帝側で活躍した傭兵隊長は？","ヴァレンシュタイン。","皇帝権の強化を警戒する諸侯の反発を受け、一度解任された。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","412","75"
"WH-26-01-015","ヴァレンシュタインが勝利を重ねたのに、一度解任された背景は？","皇帝軍の勝利によって皇帝権が強まることを、選帝侯たちが警戒したため。","同じ陣営でも、皇帝と諸侯の利害は一致していなかった。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","412","75"
"WH-26-01-016","フランスの援助で三十年戦争に介入した、スウェーデン王は？","グスタフ＝アドルフ。","新教徒支援を掲げ、バルト海での勢力拡大も目指した。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","412","77"
"WH-26-01-017","三十年戦争中、グスタフ＝アドルフが戦死した戦いは？","リュッツェンの戦い。","皇帝側では、再び起用されたヴァレンシュタインが戦った。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","412","77"
