dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-B01,beginner,用語の特定,identify,モンゴル帝国全域を結び、通行証を持つ旅人が各駅で馬や食料を受け取れた交通制度は？,駅伝制,駅伝制,ジャムチ,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-B02,beginner,内容,content,モンゴルの駅伝制で旅人の安全を保障する通行証は？,牌符(はいふ),牌符,牌子,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-B03,beginner,内容,content,モンゴルの駅伝制に設けられた駅の呼び名は？,站(たん),站,,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-B04,beginner,内容,content,駅伝制の駅で、通行証を持つ旅人に支給された二つのものは？,馬と食料,馬と食料,食料と馬,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-B05,beginner,中心人物,person,カラコルムを建設し、駅伝制の全土への整備を進めた第2代皇帝は？,オゴデイ,オゴデイ,オゴタイ,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-R01,reverse,複合説明,reverse,モンゴル帝国の駅伝制はどんな制度？,13世紀、**ユーラシア各地**を結んだモンゴル帝国の交通制度。**牌符(はいふ)**を持つ旅人は安全が保障され、**站(たん)**で馬や食料を受け取りながら移動できた。,ユーラシア各地|牌符|站,,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-R02,reverse,複合説明,reverse,モンゴル帝国の駅伝制は何を支えた？,交通路の整備や治安維持と結びつき、帝国全域での**旅行・交易・交流**を容易にした。,旅行・交易・交流,,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170039,104,標準,制度・政策・法律,駅伝制,えきでんせい,ジャムチ,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1235,WH-170039-I01,integrated,統合説明,integrated,「駅伝制」について説明せよ。,13世紀、モンゴル帝国が**ユーラシア各地**に整備した交通制度。**牌符(はいふ)**を持つ旅人は安全が保障され、**站(たん)**で馬や食料を受け取ることができ、帝国全域の**旅行・交易・交流**を支えた。,ユーラシア各地|牌符|站|旅行・交易・交流,,,,17_モンゴル帝国の時代(1).md pp.273・277,
第17回_03_世界の一体化と東西交易の発展,WH-170040,159,標準,制度・政策・法律,牌符,はいふ,牌子,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1250,WH-170040-B01,beginner,用語の特定,identify,モンゴル帝国の駅伝制で、旅人の安全と駅での馬・食料の支給を保障した通行証は？,牌符(はいふ),牌符,牌子,,,17_モンゴル帝国の時代(1).md p.277,
第17回_03_世界の一体化と東西交易の発展,WH-170040,159,標準,制度・政策・法律,牌符,はいふ,牌子,中世,ユーラシア,ユーラシア各地,13世紀のモンゴル帝国,1250,WH-170040-B02,beginner,関連,relation,牌符(はいふ)を持つ旅人の移動を支えたモンゴル帝国の交通制度は？,駅伝制,駅伝制,ジャムチ,,,17_モンゴル帝国の時代(1).md p.277,
