dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B01,beginner,用語の特定,identify,エジプトの太陽暦・来世的信仰と、メソポタミアの太陰暦・現世的信仰などを含む、両文明の文化をまとめて何という？,オリエントの文化,オリエントの文化,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B02,beginner,内容,content,オリエントの文化のうち、エジプトの来世的信仰に基づいて作られた文書は？,死者の書,死者の書,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B03,beginner,内容,content,オリエントの文化のうち、エジプトで来世的信仰から保存された遺体は？,ミイラ,ミイラ,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B04,beginner,内容,content,オリエントの文化のうち、エジプトで季節と暦のずれを避けるために用いられた暦は？,太陽暦,太陽暦,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B05,beginner,内容,content,オリエントの文化のうち、メソポタミアで用いられ、のちにバビロニアで修正された暦は？,太陰暦,太陰暦,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B06,beginner,内容,content,オリエントの文化のうち、バビロニアで太陰暦を修正して成立した暦は？,太陰太陽暦,太陰太陽暦,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B07,beginner,内容,content,オリエントの文化のうち、メソポタミアで未来を予知しようとして発達したものは？,占星術,占星術,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B08,beginner,内容,content,オリエントの文化のうち、メソポタミアで用いられた数の表し方は？,六十進法,六十進法,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B09,beginner,内容,content,オリエントの文化のうち、エジプトで氾濫後の畑の区割りに用いられた技術は？,測地術,測地術,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B10,beginner,内容,content,オリエントの文化のうち、エジプトで神殿や墓に刻まれた文字は？,神聖文字,神聖文字,ヒエログリフ,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B11,beginner,内容,content,オリエントの文化のうち、エジプトの公文書・宗教書などに使用された文字は？,神官文字,神官文字,ヒエラティック,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B12,beginner,中心人物,person,オリエントの文化の神聖文字をロゼッタ＝ストーンから解読したフランス人は？,シャンポリオン,シャンポリオン,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B13,beginner,内容,content,オリエントの文化のうち、エジプトで使用された一種の紙は？,パピルス,パピルス,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B14,beginner,内容,content,オリエントの文化のうち、メソポタミアで粘土板に刻まれた文字は？,楔形文字(くさびがたもじ),楔形文字,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B15,beginner,内容,content,オリエントの文化のうち、エジプトで死と復活の神とされたのは？,オシリス,オシリス,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-B16,beginner,内容,content,オリエントの文化のうち、メソポタミアの多神教で最高神とされたのは？,マルドゥク神,マルドゥク神,マルドゥク,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-R01,reverse,時期,time,「オリエントの文化」：その基盤となる都市文明が形成されたのはいつ？,**前4千年紀**。,前4千年紀,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-R02,reverse,複合説明,reverse,「オリエントの文化」：信仰にはどんな違いがあった？,ともに多神教で、エジプトでは太陽神ラーが最高神、**オシリス**が死と復活の神とされ、定期的な氾濫を背景に**来世的信仰・ミイラ・死者の書**が発達した。メソポタミアでは**マルドゥク神**が最高神とされ、突発的洪水を背景に**現世的信仰・占星術**が発達した。,オシリス|来世的信仰・ミイラ・死者の書|マルドゥク神|現世的信仰・占星術,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-R03,reverse,複合説明,reverse,「オリエントの文化」：暦や学問はどう発達した？,エジプトでは増水時期を知るための**太陽暦**と、氾濫後の畑を区割りする**測地術**が発達した。メソポタミアでは**太陰暦**が用いられ、バビロニアで太陰太陽暦に修正され、六十進法も使われた。,太陽暦|測地術|太陰暦,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-R04,reverse,複合説明,reverse,「オリエントの文化」：文字はどう使われた？,エジプトでは神殿や墓に**神聖文字**、公文書や宗教書などに**神官文字**が使われ、パピルスも用いられた。神聖文字は**シャンポリオン**がロゼッタ＝ストーンから解読した。メソポタミアでは粘土板に**楔形文字(くさびがたもじ)**が刻まれた。,神聖文字|神官文字|シャンポリオン|楔形文字,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000030,19,共通テスト・必修,文化・技術・学問,オリエントの文化,おりえんとのぶんか,,古代,西アジア・北アフリカ,エジプト・メソポタミア,前4千年紀の都市文明成立以後,-4000,WH-000030-I01,integrated,統合説明,integrated,「オリエントの文化」について説明せよ。,**前4千年紀**に都市文明が形成されたエジプト・メソポタミアの文化で、ともに多神教で、エジプトでは最高神ラーや死と復活の神オシリス、メソポタミアでは最高神マルドゥクを信仰し、エジプトは定期的な氾濫を背景に**来世的信仰・ミイラ・死者の書**、メソポタミアは突発的洪水を背景に**現世的信仰・占星術**を特徴とした。エジプトでは太陽暦・測地術、メソポタミアでは太陰暦から太陰太陽暦への展開と六十進法がみられた。エジプトでは神殿や墓に神聖文字、公文書や宗教書などに神官文字を用い、パピルスも使用し、神聖文字はシャンポリオンがロゼッタ＝ストーンから解読した一方、メソポタミアでは粘土板に**楔形文字(くさびがたもじ)**を刻んだ。,前4千年紀|来世的信仰・ミイラ・死者の書|現世的信仰・占星術|楔形文字,,,,01_古代オリエント世界の成立(2).md pp.17・26–27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000031,20,共通テスト・必修,文化・技術・学問,楔形文字,くさびがたもじ,,古代,西アジア・北アフリカ,メソポタミア・アケメネス朝,アケメネス朝時代（前550〜前330年）まで使用,-550,WH-000031-B01,beginner,用語の特定,identify,メソポタミアで粘土板に刻まれ、ローリンソンがベヒストゥーン碑文から解読した文字は？,楔形文字(くさびがたもじ),楔形文字,,,,01_古代オリエント世界の成立(2).md pp.27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000031,20,共通テスト・必修,文化・技術・学問,楔形文字,くさびがたもじ,,古代,西アジア・北アフリカ,メソポタミア・アケメネス朝,アケメネス朝時代（前550〜前330年）まで使用,-550,WH-000031-B02,beginner,内容,content,メソポタミアで楔形文字(くさびがたもじ)を刻んだ記録媒体は？,粘土板,粘土板,,,,01_古代オリエント世界の成立(2).md pp.27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000031,20,共通テスト・必修,文化・技術・学問,楔形文字,くさびがたもじ,,古代,西アジア・北アフリカ,メソポタミア・アケメネス朝,アケメネス朝時代（前550〜前330年）まで使用,-550,WH-000031-B03,beginner,中心人物,person,ベヒストゥーン碑文から楔形文字(くさびがたもじ)の解読に成功したイギリス人は？,ローリンソン,ローリンソン,,,,01_古代オリエント世界の成立(2).md pp.27,
世界史探究_第1章_第01回_04_オリエントの文化,WH-000031,20,共通テスト・必修,文化・技術・学問,楔形文字,くさびがたもじ,,古代,西アジア・北アフリカ,メソポタミア・アケメネス朝,アケメネス朝時代（前550〜前330年）まで使用,-550,WH-000031-B04,beginner,関連,relation,ローリンソンが楔形文字(くさびがたもじ)の解読に用いた碑文は？,ベヒストゥーン碑文,ベヒストゥーン碑文,,,,01_古代オリエント世界の成立(2).md pp.27,
