dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-B01,beginner,主体,identify,北周の外戚(がいせき)だった楊堅(ようけん)が建て、南朝の陳を滅ぼして中国を再統一した王朝は？,隋(ずい),隋,,,,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-B02,beginner,人物,person,隋(ずい)の建国者は？,楊堅(ようけん),楊堅,文帝,,,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-B03,beginner,時期,time,隋(ずい)が建国されたのは何年か？,581年,581年,,,,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-B04,beginner,時期,time,隋(ずい)が中国を統一したのは何年か？,589年,589年,,,589：「公約果たして　隋の統一」隋の中国統一,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-B05,beginner,主体,actor,隋(ずい)が中国統一の際に滅ぼした南朝の王朝は？,陳,陳,,,,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-B06,beginner,場所,place,隋(ずい)の建国時の都は？,大興城(だいこうじょう),大興城,長安,,,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-R01,reverse,内容,content,隋(ずい)はどのように中国を再統一したか？,581年、北周から禅譲(ぜんじょう)を受けた**楊堅(ようけん)（文帝）**が中国の**大興城(だいこうじょう)（長安）**を都として建てた王朝である。589年に南朝の**陳**を滅ぼして南北の分裂を終わらせ、中央集権化を進めた。,楊堅（文帝）|大興城（長安）|陳,,,589：「公約果たして　隋の統一」隋の中国統一,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000135,115,共通テスト基礎,国家・王朝,隋,ずい,,古代,東アジア,中国・大興城（長安）,581年に建国・589年に統一,581,WH-C03-000135-I01,integrated,統合説明,integrated,「隋(ずい)」について説明せよ。,581年、北周から禅譲(ぜんじょう)を受けた**楊堅(ようけん)（文帝）**が中国の**大興城(だいこうじょう)（長安）**を都として建てた王朝である。589年に南朝の**陳**を滅ぼして南北の分裂を終わらせ、中央集権化を進めた。,楊堅（文帝）|大興城（長安）|陳,,,589：「公約果たして　隋の統一」隋の中国統一,10_古代中国③（隋〜唐）.md pp.162〜165,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000136,116,共通テスト基礎,制度・政策・法律,州県制,しゅうけんせい,,古代,東アジア,中国,隋から唐へ,580,WH-C03-000136-B01,beginner,用語の特定,identify,隋(ずい)が地方行政から郡を廃止し、州の下に県を置いた支配制度は？,州県制,州県制,,,,10_古代中国③（隋〜唐）.md pp.162,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜1 隋の中国統一,WH-C03-000136,116,共通テスト基礎,制度・政策・法律,州県制,しゅうけんせい,,古代,東アジア,中国,隋から唐へ,580,WH-C03-000136-B02,beginner,主体,actor,州県制を採用し、地方の長官を中央から派遣した王朝は？,隋(ずい),隋,,,,10_古代中国③（隋〜唐）.md pp.162,
