"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-18-05-001","一問一答","内容","明代の穀物生産性を向上させた農業技術として、本文に挙げられるものは？","施肥・品種改良・二毛作など。","耕地の拡大だけでなく、農業技術の発達も生産を支えた。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-002","一問一答","原因","明代の長江下流域で、農民が綿花や桑の栽培に力を入れたのはなぜか？","銀を使う貨幣経済が浸透し、綿織物や絹織物をつくって現金収入を得ようとしたため。","農業の変化を、手工業と貨幣経済の拡大に関連づける。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-003","一問一答","関係","明代に栽培が広がった綿花と桑は、それぞれどの織物の生産に結びついたか？","綿花は綿織物、桑は絹織物。","農村の副業や商品作物栽培の発展として説明される。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-004","一問一答","原因","16世紀の蘇湖で、新たな農地を増やしにくくなったのはなぜか？","すでに長江下流域の開発がほぼ進みきっていたため。","商品作物への転換とあわせて、水稲耕作の比重が下がった背景である。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-005","一問一答","場所","明代後期、長江下流域にかわって中国の穀物生産の中心となった地域は？","長江中流域の湖広。","湖広は湖北省・湖南省の総称として示される。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-006","一問一答","場所","「湖広熟すれば天下足る」の湖広とは、どの二つの省をあわせた呼称か？","湖北省と湖南省。","長江中流域にあたる。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-007","一問一答","用語の特定","明代後期に長江中流域が穀倉地帯となったことを示す言葉は？","「湖広熟すれば天下足る」。","以前の長江下流域の繁栄を示す言葉と区別する。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-008","一問一答","関係","宋代から明代後期にかけて、穀倉地帯はどこからどこへ移ったか？","長江下流域の蘇湖から、長江中流域の湖広へ移った。","下流域では水稲から綿花・桑などへの転換が進んだ。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-009","一問一答","原因","明代に穀物生産の中心が蘇湖から湖広へ移った背景は？","蘇湖で開発が進みきり、貨幣経済の浸透で綿花や桑の栽培が増え、水稲耕作の比重が低下したこと。","農業の衰退というより、地域ごとの生産内容の変化として捉える。","","18_中華帝国の繁栄（明・清）.md","p.299","L653"
"WHSO-05-18-05-010","一問一答","用語の特定","明・清代の都市で、綿織物や絹織物の分野にも現れた工業の生産形態は？","マニュファクチュア。","農村の副業だけでなく、都市の手工業も発展した。","","18_中華帝国の繁栄（明・清）.md","p.299;p.300","L655;L672"
"WHSO-05-18-05-011","一問一答","場所","明・清代、綿織物工業が発展した都市として挙げられる二つの都市は？","松江と上海。","蘇州・杭州の絹織物工業と区別する。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-012","一問一答","場所","明・清代、絹織物工業が発展した都市として挙げられる二つの都市は？","蘇州と杭州。","松江・上海の綿織物工業との対応を整理する。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-013","一問一答","用語の特定","清代に海外にも輸出された、中国産綿織物の呼称は？","南京木綿。","絹織物だけでなく綿織物も重要な輸出品になった。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-014","一問一答","場所","明・清代、茶の栽培が拡大した地域として本文に挙げられる二つの省は？","四川省と福建省。","清代にはヨーロッパ向けにも茶が盛んに輸出された。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-015","一問一答","内容","清代、中国からイギリスなどヨーロッパへ盛んに輸出されるようになった飲料用の作物は？","茶。","商品作物栽培と対外交易の拡大を結びつける。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-016","一問一答","用語の特定","白磁に藍色の絵模様を描いた陶磁器を何というか？","染付。","多色の模様を描く赤絵と区別する。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-017","一問一答","用語の特定","5色の絵模様を描いた陶磁器を、本文では何と呼んでいるか？","赤絵。","赤一色の模様という意味ではない。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-018","一問一答","場所","明・清代、染付や赤絵などの陶磁器生産が盛んだった産地は？","景徳鎮。","陶磁器は日本やヨーロッパへ輸出される国際商品となった。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-019","一問一答","関係","染付と赤絵は、模様の色にどのような違いがあるか？","染付は白地に藍色の模様、赤絵は赤を含む多色の模様。","色や模様の特徴から陶磁器を見分けるための基本となる。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
"WHSO-05-18-05-020","一問一答","用語の特定","明代の産業技術を図版入りで解説した書物は？","『天工開物』。","本文では、農業・手工業などの技術の発展と関連づけて紹介される。","","18_中華帝国の繁栄（明・清）.md","p.300","L672"
