dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-B01,beginner,用語の特定,identify,16世紀にスペイン領となっていたライン川河口付近の地域で、北部7州と南部10州で宗教や産業が異なった地域は？,スペイン領ネーデルラント,スペイン領ネーデルラント,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-B02,beginner,地域,place,スペイン領ネーデルラントが位置したのは、どの川の河口付近？,ライン川,ライン川,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-B03,beginner,内容,content,スペイン領ネーデルラントの北部7州で中心となった新教の宗派は？,カルヴァン派,カルヴァン派,ゴイセン,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-B04,beginner,内容,content,スペイン領ネーデルラントの南部10州で中心となった宗派は？,カトリック,カトリック,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-B05,beginner,内容,content,スペイン領ネーデルラント南部のフランドル地方で発展した産業は？,毛織物産業,毛織物産業,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-R01,reverse,時期・地域,reverse,どの時期・地域を指す？,16世紀のスペイン領で、**ライン川河口付近**、現在の**オランダとベルギー**にあたる地域。,ライン川河口付近|オランダとベルギー,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-R02,reverse,地域差,reverse,北部と南部はどう異なった？,北部7州は海運・造船・農業が発達して**カルヴァン派**が中心となり、南部10州はフランドルの**毛織物産業**が発展し、**カトリック**が中心だった。,カルヴァン派|毛織物産業|カトリック,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240301,92,共通テスト基礎,地域・都市,スペイン領ネーデルラント,すぺいんりょうねーでるらんと,,近世,ヨーロッパ,ライン川河口付近・現在のオランダとベルギー,16世紀,1500,WH-240301-I01,integrated,統合説明,integrated,「スペイン領ネーデルラント」について説明せよ。,16世紀のスペイン領で、**ライン川河口付近**、現在の**オランダとベルギー**にあたる地域。北部7州は海運・造船・農業が発達して**カルヴァン派**が中心となり、南部10州はフランドルの**毛織物産業**が発展し、**カトリック**が中心だった。,ライン川河口付近|オランダとベルギー|カルヴァン派|毛織物産業|カトリック,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.387–388,
世界史探究_第24回_03_オランダの独立,WH-240302,93,共通テスト基礎,戦争,オランダ独立戦争,おらんだどくりつせんそう,,近世,ヨーロッパ,ネーデルラント・スペイン,1568〜1609年（正式独立承認は1648年）,1568,WH-240302-B01,beginner,用語の特定,identify,フェリペ2世のカトリック強制や重税・自治権剥奪に反発し、ウィレムの指導で1568年に始まった戦争は？,オランダ独立戦争,オランダ独立戦争,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.388–389,
世界史探究_第24回_03_オランダの独立,WH-240302,93,共通テスト基礎,戦争,オランダ独立戦争,おらんだどくりつせんそう,,近世,ヨーロッパ,ネーデルラント・スペイン,1568〜1609年（正式独立承認は1648年）,1568,WH-240302-B02,beginner,時期,time,オランダ独立戦争が始まった年は？,1568年,1568年,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.388–389,
