dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-B01,beginner,用語の特定,identify,ルートヴィヒ1世の死後、フランク王国を東・中部・西に三分割した条約は？,ヴェルダン条約,ヴェルダン条約,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-B02,beginner,時期,time,ヴェルダン条約が結ばれた年は？,843年,843年,,,843年：「早よう三つに　離ればなれ」ヴェルダン条約,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-B03,beginner,中心人物,person,ヴェルダン条約で中部フランク王位と皇帝位を得た人物は？,ロタール1世,ロタール1世,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-B04,beginner,中心人物,person,ヴェルダン条約で東フランク王となった人物は？,ルートヴィヒ2世,ルートヴィヒ2世,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-B05,beginner,中心人物,person,ヴェルダン条約で西フランク王となった人物は？,シャルル2世,シャルル2世,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-B06,beginner,中心人物,person,ヴェルダン条約による分割相続に先立って死去した、カール大帝の息子は？,ルートヴィヒ1世,ルートヴィヒ1世,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-R01,reverse,時期,time,「ヴェルダン条約」：結ばれたのはいつ？,**843年**,843年,,,843年：「早よう三つに　離ればなれ」ヴェルダン条約,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-R02,reverse,核心内容,reverse,「ヴェルダン条約」：何を決めた？,フランク王国を**東フランク・中部フランク・西フランク**に三分割した条約。**ロタール1世**が中部と皇帝位を継ぎ、**ルートヴィヒ2世**が東、**シャルル2世**が西の王となった。,東フランク・中部フランク・西フランク|ロタール1世|ルートヴィヒ2世|シャルル2世,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110301,36,共通テスト基礎・重要,条約・会議,ヴェルダン条約,ゔぇるだんじょうやく,,中世,ヨーロッパ,フランク王国／西ヨーロッパ,843年,843,WH-110301-I01,integrated,統合説明,integrated,「ヴェルダン条約」について説明せよ。,843年に、フランク王国を**東フランク・中部フランク・西フランク**に三分割した条約。**ロタール1世**が中部と皇帝位を継ぎ、**ルートヴィヒ2世**が東、**シャルル2世**が西の王となった。,東フランク・中部フランク・西フランク|ロタール1世|ルートヴィヒ2世|シャルル2世,,,843年：「早よう三つに　離ればなれ」ヴェルダン条約,11_ゲルマン人の移動とフランク王国(1).md pp.193–194・196,
世界史探究 第4章 第11回-3 フランク王国の分裂と神聖ローマ帝国の成立,WH-110302,37,共通テスト基礎・重要,国家・王朝,東フランク王国,ひがしふらんくおうこく,,中世,ヨーロッパ,西ヨーロッパ／のちのドイツ,843年成立・10世紀に王朝交替,843,WH-110302-B01,beginner,用語の特定,identify,ヴェルダン条約でルートヴィヒ2世が継ぎ、のちにドイツ王国へつながった国家は？,東フランク王国,東フランク王国,,,,11_ゲルマン人の移動とフランク王国(1).md pp.193–195,
