"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-29-03-001","ナポレオンの支配に抵抗するスペイン反乱が始まったのは何年か？","1808年。","資料の年表では1808〜1814年とされ、ナポレオン退位まで続いた。","時期","一問一答","","29_ナポレオンの時代.md","465","153"
"WH-29-03-002","大陸封鎖令に反したロシアを攻めるため、ナポレオンがロシア遠征を始めたのは何年か？","1812年。","翌1813年のライプツィヒの敗北、1814年の退位へと続く。","時期","一問一答","","29_ナポレオンの時代.md","465","156"
"WH-29-03-003","ナポレオンの支配を通じてヨーロッパに広まり、のちにその支配への抵抗にも結びついた二つの思想は？","自由主義とナショナリズム（国民主義）。","革命の理念の広がりと、支配された民族の自立意識の高まりが並行した。","内容","一問一答","","29_ナポレオンの時代.md","468","260"
"WH-29-03-004","ナポレオンの征服が、自由主義の拡大につながったと資料が説明するのはなぜか？","支配地域に民法典を施行し、自由・平等などの権利の考え方を広めたため。","軍事的支配と、革命の理念を伝える作用の両方があった。","原因","一問一答","","29_ナポレオンの時代.md","469","268"
"WH-29-03-005","資料がナポレオン時代について説明する、ナショナリズムとはどのような意識か？","自分たちの国民・民族に祖国があると考え、その祖国を守ろうとする意識。","フランス側だけでなく、支配された側の民族にも広がった。","逆向きの説明","一問一答","","29_ナポレオンの時代.md","469","270"
"WH-29-03-006","フランス人の祖国意識と、ナポレオンに支配された民族の祖国意識は、戦争でどう働いたか？","フランス人には革命と祖国を守る動員の根拠となり、支配された民族には対仏抵抗の根拠となった。","同じ国民主義が、ナポレオンを支える側と抵抗する側の双方に働いた。","関係","一問一答","","29_ナポレオンの時代.md","469","270"
"WH-29-03-007","ナポレオンの兄のスペイン王即位を機に、農民を中心に起こった反乱は？","スペイン反乱（半島戦争）。","ナポレオンが退位するまで続き、支配を揺さぶった。","用語の特定","一問一答","","29_ナポレオンの時代.md","469","272"
"WH-29-03-008","スペイン王に即位し、その即位がスペイン反乱の契機となったナポレオンの兄は？","ジョゼフ。","第2節ではナポリ王としても登場するが、ここではスペイン王への即位が問題となる。","人物","一問一答","","29_ナポレオンの時代.md","469","272"
"WH-29-03-009","資料では、スペイン反乱の中心となった人々はどの階層か？","農民。","フランスの支配に対する民族的抵抗として説明されている。","主体","一問一答","","29_ナポレオンの時代.md","469","272"
"WH-29-03-010","スペイン反乱に対するフランス側の弾圧を題材に、「1808年5月3日」を描いた画家は？","ゴヤ。","ナポレオンを英雄的に表したダヴィドとは異なる視点の作品として紹介される。","人物","一問一答","","29_ナポレオンの時代.md","469","272"
"WH-29-03-011","ナポレオン支配下のスペインでの弾圧を描いた、ゴヤの作品は？","「1808年5月3日」。","スペイン反乱と文化史上の作品を対応させる。","用語の特定","一問一答","","29_ナポレオンの時代.md","469","272"
"WH-29-03-012","資料では、ダヴィドとゴヤの作品に示されるナポレオン側の描かれ方はどう異なるか？","ダヴィドは英雄的に、ゴヤはスペインでの弾圧を通じて侵略者側として描く。","同じナポレオンの時代でも、立場によって作品の表現が異なる。","関係","一問一答","","29_ナポレオンの時代.md","469","272"
"WH-29-03-013","ナポレオン支配下で、プロイセン改革を指導した二人の政治家は？","シュタインとハルデンベルク。","農奴解放・教育や軍制の改革によって、国力の回復を図った。","人物","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-014","シュタインやハルデンベルクが、農奴解放などを進めた近代化改革は？","プロイセン改革。","ナポレオンへの敗北を背景に、国内を改革して対抗力を蓄えようとした。","用語の特定","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-015","プロイセンがナポレオンへの敗北後に国内改革を進めた目的は？","国力を強め、ナポレオンに対抗できる条件を整えるため。","すぐに再戦するのではなく、国内の近代化を進めたと資料は説明する。","原因","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-016","プロイセン改革の主な内容を三つ答えなさい。","農奴解放、ベルリン大学の創設、軍制改革。","政治家だけでなく、教育や思想の担い手も改革に関わった。","内容","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-017","プロイセン改革で、ベルリン大学の創設に関わった人物は？","フンボルト。","シュタイン・ハルデンベルクの政治改革と、教育改革を結びつける。","人物","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-018","プロイセン改革の一環としてフンボルトが創設した大学は？","ベルリン大学。","資料では、フィヒテもこの大学の総長として登場する。","用語の特定","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-019","ナポレオン占領下で「ドイツ国民に告ぐ」を講演し、祖国愛を訴えた哲学者は？","フィヒテ。","プロイセンの近代化と、ドイツ人の国民意識の高まりを関連づける。","人物","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-020","フィヒテがドイツ人に祖国愛を訴えた連続講演の題名は？","「ドイツ国民に告ぐ」。","ナポレオン支配に対する思想面の抵抗として紹介される。","用語の特定","一問一答","","29_ナポレオンの時代.md","469","278"
"WH-29-03-021","ロシアが大陸封鎖令に不満を持った主な経済的理由は？","イギリスへの穀物輸出と、イギリスからの綿製品などの輸入が妨げられたため。","フランスはロシアの穀物を十分に買う相手にならず、従来の貿易を代替できなかったと資料は説明する。","原因","一問一答","","29_ナポレオンの時代.md","470","288"
"WH-29-03-022","ロシアとイギリスの貿易では、ロシアは何を輸出し、何を輸入していたか？","小麦などの穀物を輸出し、綿製品などの生活必需品を輸入していた。","大陸封鎖令へのロシアの不満を、輸出入の両面から理解する。","内容","一問一答","","29_ナポレオンの時代.md","470","288"
"WH-29-03-023","ロシアは大陸封鎖令に対して、最終的にどのような行動をとったか？","命令を無視し、イギリスとの貿易を再開した。","これがナポレオンのロシア遠征の直接の契機となった。","内容","一問一答","","29_ナポレオンの時代.md","470","288"
"WH-29-03-024","ナポレオンが1812年にロシア遠征を始めた直接の理由は？","ロシアが大陸封鎖令に違反し、イギリスとの貿易を再開したため。","大陸経済の統制を維持するための遠征だった。","原因","一問一答","","29_ナポレオンの時代.md","470","288"
"WH-29-03-025","イギリスは大陸封鎖令に対し、海軍力を使ってどのように対抗したか？","ヨーロッパ諸国とアメリカ大陸との貿易を妨害する逆封鎖を行った。","大陸諸国は、フランスによる対英封鎖だけでなく海上貿易の制約も受けた。","内容","一問一答","","29_ナポレオンの時代.md","470","288"
"WH-29-03-026","ロシア遠征で、ナポレオンが占領を目指して進撃した都市は？","モスクワ。","都市を占領しても、補給と冬の問題を解決できなかった。","場所","一問一答","","29_ナポレオンの時代.md","470","290"
"WH-29-03-027","ロシア遠征に対し、焦土作戦を進めたロシアの将軍は？","クトゥーゾフ。","家や畑を焼いて退却し、フランス軍の現地での食糧調達を妨げた。","人物","一問一答","","29_ナポレオンの時代.md","470","290"
"WH-29-03-028","家屋や畑を焼いて退却し、敵軍に現地の食糧などを利用させない作戦は？","焦土作戦。","ロシア遠征では、大軍の補給を困難にする手段として用いられた。","用語の特定","一問一答","","29_ナポレオンの時代.md","470","290"
"WH-29-03-029","ロシアの焦土作戦がナポレオン軍に打撃を与えたのはなぜか？","大軍が必要とする食糧を現地で調達できなくなったため。","都市占領の成否だけでなく、補給の維持が遠征の成否を左右した。","原因","一問一答","","29_ナポレオンの時代.md","470","290"
"WH-29-03-030","アウステルリッツの戦いからロシア遠征までの時代を『戦争と平和』に描いた作家は？","トルストイ。","資料では、小説の前半と後半にそれぞれの戦争が描かれると紹介される。","人物","一問一答","","29_ナポレオンの時代.md","470","290"
"WH-29-03-031","トルストイがナポレオン戦争期を描いた長編小説は？","『戦争と平和』。","ロシア遠征の時代を知る文学作品として本文に挙げられている。","用語の特定","一問一答","","29_ナポレオンの時代.md","470","290"
"WH-29-03-032","ロシア遠征で、ナポレオン軍が壊滅的な損害を受けた主な要因を三つ答えなさい。","冬の寒さ、食糧不足、退却時のロシア軍の反撃。","資料は、焦土作戦による補給難と厳冬を組み合わせて説明する。","原因","一問一答","","29_ナポレオンの時代.md","470","294"
"WH-29-03-033","ロシア遠征失敗後、ヨーロッパ諸国がナポレオン支配からの離脱を目指して戦った戦争は？","解放戦争。","第6回対仏大同盟が結成され、プロイセンなどが参戦した。","用語の特定","一問一答","","29_ナポレオンの時代.md","470","296"
"WH-29-03-034","1813年、ナポレオンがプロイセン・オーストリア・ロシアの連合軍に敗れた決戦は？","ライプツィヒの戦い（諸国民戦争）。","この敗北の後、1814年には対仏大同盟軍がパリに入城した。","用語の特定","一問一答","","29_ナポレオンの時代.md","470","296"
"WH-29-03-035","ライプツィヒの戦いでナポレオンと戦った連合軍の中心三国として、資料が挙げる国は？","プロイセン、オーストリア、ロシア。","解放戦争の決戦に参加した大陸側の諸国である。","主体","一問一答","","29_ナポレオンの時代.md","470","296"
"WH-29-03-036","1814年のパリ入城時、ナポレオン廃位を宣言するフランス政治家の中心にいた人物は？","タレーラン。","ナポレオン退位と、戦後の秩序再編へつながる場面で登場する。","人物","一問一答","","29_ナポレオンの時代.md","471","304"
"WH-29-03-037","1814年、最初の退位後にナポレオンが流された島は？","エルバ島。","1815年の敗北後に流されたセントヘレナ島とは異なる。","場所","一問一答","","29_ナポレオンの時代.md","471","304"
"WH-29-03-038","1814年に始まり、ナポレオン戦争後の秩序を話し合った会議は？","ウィーン会議。","資料では1814〜1815年とされ、会議中にナポレオンが復帰した。","用語の特定","一問一答","","29_ナポレオンの時代.md","471","306"
"WH-29-03-039","ナポレオンの最初の退位後、フランスで復活した王朝は？","ブルボン朝。","資料は、この体制を復古王政と呼んでいる。","主体","一問一答","","29_ナポレオンの時代.md","471","306"
"WH-29-03-040","1815年、ナポレオンがエルバ島を脱出して復位した短期間の支配を何というか？","百日天下。","パリへの帰還から、ワーテルローの敗北までの復帰を指す。","用語の特定","一問一答","","29_ナポレオンの時代.md","471","306"
"WH-29-03-041","ワーテルローの戦いで、イギリス軍を指揮した人物は？","ウェリントン。","海戦で活躍したネルソンと、陸戦の指揮官を混同しない。","人物","一問一答","","29_ナポレオンの時代.md","471","308"
"WH-29-03-042","1815年、ナポレオンの百日天下を終わらせた戦いは？","ワーテルローの戦い。","敗北後、ナポレオンは再び退位し、遠隔の島へ流された。","用語の特定","一問一答","","29_ナポレオンの時代.md","471","308"
"WH-29-03-043","ワーテルローの敗北後、ナポレオンが流された南大西洋の島は？","セントヘレナ島。","最初の流刑先エルバ島からは復帰したが、ここで1821年に亡くなった。","場所","一問一答","","29_ナポレオンの時代.md","471","308"
"WH-29-03-044","ナポレオンの二度の流刑先を、その直前の年・出来事と対応させなさい。","1814年の退位後はエルバ島、1815年のワーテルロー敗北後はセントヘレナ島。","二つの島の間に、脱出・復位による百日天下がある。","関係","一問一答","","29_ナポレオンの時代.md","471","308"
"WH-29-03-045","ロシア遠征失敗からナポレオンの最終的失脚までの主な戦い・政変を順に答えなさい。","ロシア遠征失敗、ライプツィヒで敗北、1814年退位・エルバ島流刑、百日天下、ワーテルローで敗北・セントヘレナ島流刑。","1812年・1813年・1814年・1815年の流れを整理する。","内容","一問一答","","29_ナポレオンの時代.md","471","308"
"WH-29-03-046","ナポレオン没落の経緯を、経済政策・諸民族の反抗・軍事的敗北を使って説明しなさい。","大陸封鎖令への不満や国民主義の高まりから支配地域の抵抗が拡大した。ロシア遠征の失敗後、解放戦争とライプツィヒの敗北で退位し、復帰後もワーテルローで敗れて最終的に失脚した。","スペインの抵抗、プロイセン改革、ロシアの離反を、一連の過程として関連づける。","統合説明","一問一答","","29_ナポレオンの時代.md","471","308"
