"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-25-01-001","近世イギリスで、下院議員や地方行政の担い手となった地主層を何というか？","ジェントリ（郷紳）。","無給で議員や地方行政を担ったため、国王の統治には彼らの協力が必要だった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","35"
"WH-25-01-002","革命前のジェントリは、農業・工業でどのような経済活動を進めていたか？","第1次囲い込みと、毛織物のマニュファクチュア経営。","土地所有だけでなく商工業にも関わり、国王の経済政策と利害が衝突した。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","35"
"WH-25-01-003","商工業に関わるジェントリが、国王の重商主義政策に反発したのはなぜか？","国王が一部の特権商工業者を保護し、自分たちの経済活動を妨げたため。","議会が、国王とジェントリ・新興市民層の対立の舞台となった。","原因","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","35"
"WH-25-01-004","商工業者やジェントリに広がった、イギリスのカルヴァン派の呼び名は？","ピューリタン。","議会内でピューリタンが増え、国王の国教会政策との対立も深まった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","35"
"WH-25-01-005","1603年にイングランド王となり、王権神授説による専制政治を進めた人物は？","ジェームズ1世。","スコットランド王ジェームズ6世と同一人物である。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","39"
"WH-25-01-006","ジェームズ1世やチャールズ1世が、国王の権力を神に由来するとして用いた理論は？","王権神授説。","議会を軽視する専制政治の根拠とされた。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","41"
"WH-25-01-007","ジェームズ1世を継ぎ、議会の同意のない課税を進めたイギリス王は？","チャールズ1世。","国王と議会の対立が内戦へと発展した。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","43"
"WH-25-01-008","1628年、イギリス議会が国王に提出し、同意のない課税や不当な投獄に反対した文書は？","権利の請願。","国王に新たな無制限の権限を認める文書ではなく、既存の権利の確認を求めた。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","47"
"WH-25-01-009","権利の請願は、国王のどのような行為に反対したか？","議会の同意のない課税、不当な逮捕・投獄、軍法裁判の濫用など。","課税への議会の関与と、身体の自由の保障が要点である。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","49"
"WH-25-01-010","権利の請願に対し、チャールズ1世は議会をどのように扱ったか？","議会を解散し、その後11年間にわたり議会を開かなかった。","国王は議会との協調より、無議会での専制政治を選んだ。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","51"
"WH-25-01-011","1639年にスコットランドで反乱が起きた直接の原因は？","チャールズ1世が、長老主義のスコットランドにイギリス国教会の制度を強制しようとしたため。","長老主義と、国王を首長とする主教制との対立である。","原因","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","53"
"WH-25-01-012","1640年4月、増税を求めて招集されたが、国王によって約3週間で解散された議会は？","短期議会。","スコットランドの反乱への対応に必要な軍事費が招集の背景だった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","394","55"
