term_id,level,unit,period,region,term,term_type,q1_axis,question_1,answer_1,q2_axis,question_2,answer_2,q3_axis,question_3,answer_3,q4_axis,question_4,answer_4,integrated_question,total_explanation,core_keywords
1,歴史の骨格,先史・古代文明,前1万年頃以降,西アジアを中心に世界各地,新石器革命,社会変化,定義,新石器革命では、人々の生活はどのように変わったか？,狩猟・採集中心の移動生活から、農耕・牧畜を基礎とする定住生活へ移った。,時期・地域,新石器革命は、いつ頃、どの地域から始まったか？,前1万年頃から西アジアなどで始まり、その後、世界各地で別々に進んだ。,原因・仕組み,農耕・牧畜の開始によって、なぜ定住が進んだのか？,作物の栽培や家畜の飼育には、同じ土地に継続して住み、管理する必要があったから。,影響,新石器革命は、その後の社会にどのような変化をもたらしたか？,人口増加、余剰生産、村落の成立、分業や身分差の発生を促し、都市や国家の土台となった。,新石器革命について、生活の変化と社会への影響をつなげて説明せよ。,新石器革命とは、前1万年頃から西アジアなどで始まった、狩猟・採集中心の生活から農耕・牧畜を基礎とする定住生活への転換である。食料を計画的に生産できるようになり、人口増加、余剰生産、分業、身分差が生まれ、村落・都市・国家の成立につながった。,農耕;牧畜;定住;余剰生産;人口増加;国家形成
2,歴史の骨格,先史・古代文明,前3500年頃以降,西アジア・ティグリス川とユーフラテス川流域,メソポタミア文明,文明,場所,メソポタミア文明は、どの地域に成立したか？,ティグリス川とユーフラテス川にはさまれた現在のイラク付近に成立した。,担い手・都市,メソポタミア文明初期の都市国家を築いた代表的な人々は誰か？,シュメール人で、ウルやウルクなどの都市国家を築いた。,特徴,メソポタミア文明では、記録のためにどのような文字が使われたか？,粘土板に刻む楔形文字が使われた。,影響,メソポタミア文明が後世に残した重要なものは何か？,都市国家、灌漑農業、文字記録、法典、暦など、国家運営の基本となる仕組みを発達させた。,メソポタミア文明について、成立地域・担い手・代表的特徴を説明せよ。,メソポタミア文明は、前3500年頃からティグリス川・ユーフラテス川流域に発達した文明である。シュメール人が都市国家を築き、灌漑農業を行い、楔形文字を用いた。後には諸王朝が興亡し、法典や暦など、国家と記録の仕組みを発達させた。,ティグリス川;ユーフラテス川;シュメール人;都市国家;楔形文字;灌漑
3,歴史の骨格,先史・古代文明,前3000年頃以降,北東アフリカ・ナイル川流域,エジプト文明,文明,場所,エジプト文明は、どの川の流域に成立したか？,ナイル川流域に成立した。,政治,古代エジプトの王は何と呼ばれ、どのような存在とされたか？,ファラオと呼ばれ、神聖な権威を持つ王とされた。,特徴,エジプト文明を代表する文字と建造物は何か？,神聖文字と、王の墓として築かれたピラミッドである。,影響・背景,ナイル川は、なぜエジプト文明の発展を支えたのか？,定期的な氾濫が肥沃な土を運び、農業生産と統一国家の維持を支えたから。,エジプト文明について、ナイル川・ファラオ・代表的文化を含めて説明せよ。,エジプト文明は、前3000年頃からナイル川流域に発達した文明である。定期的な氾濫を利用した農業を基盤に統一国家が成立し、神聖な王ファラオが支配した。神聖文字、ピラミッド、ミイラ、太陽暦など独自の文化を発達させた。,ナイル川;ファラオ;神聖文字;ピラミッド;統一国家;太陽暦
4,歴史の骨格,先史・古代文明,前6世紀〜前4世紀,西アジアからエジプト・中央アジア,アケメネス朝,王朝・帝国,成立,アケメネス朝を建て、大帝国の基礎を築いた人物は誰か？,キュロス2世である。,範囲,アケメネス朝は、どのような地域を支配したか？,イランを中心に、西アジア、エジプト、中央アジアにまたがる広大な地域を支配した。,統治,アケメネス朝は、広大な領土をどのように統治したか？,属州に分けてサトラップを置き、王の道や駅伝制で中央と地方を結んだ。,終焉,アケメネス朝は、誰によって滅ぼされたか？,前4世紀にアレクサンドロス大王によって滅ぼされた。,アケメネス朝について、成立・領域・統治方法・終焉を説明せよ。,アケメネス朝は、前6世紀にキュロス2世が建てた古代ペルシア帝国である。ダレイオス1世の時代に最盛期を迎え、属州とサトラップ、王の道、駅伝制を用いて広大な領土を統治した。前4世紀、アレクサンドロス大王に滅ぼされた。,キュロス2世;ダレイオス1世;サトラップ;王の道;ペルシア帝国;アレクサンドロス
5,歴史の骨格,先史・古代文明,前8世紀頃以降,古代ギリシア,ポリス,政治・社会制度,定義,ポリスとは何か？,古代ギリシアに成立した、都市と周辺農村からなる独立した都市国家である。,構造,ポリスの中心には、どのような場所があったか？,丘の上のアクロポリスと、市場・集会所であるアゴラがあった。,担い手,ポリスの政治を担ったのは、主にどのような人々か？,土地と武器を持つ男性市民であり、女性・奴隷・在留外人は政治から排除された。,特徴,ギリシア世界が一つの国家に統一されず、多様な政治制度を持ったのはなぜか？,山地と海で地域が分かれ、各ポリスが独立した共同体として発達したから。,ポリスについて、その構造・市民・政治的特徴を説明せよ。,ポリスとは、前8世紀頃から古代ギリシア各地に成立した独立した都市国家である。アクロポリスとアゴラを中心に、市民が共同体を構成した。各ポリスは独自の政治制度を持ち、アテネの民主政やスパルタの軍国的体制などが生まれた。,都市国家;アクロポリス;アゴラ;市民;アテネ;スパルタ
6,歴史の骨格,先史・古代文明,前6世紀〜前5世紀,古代ギリシア・アテネ,アテネ民主政,政治制度,成立,アテネ民主政の基礎を築いた改革者は誰か？,ソロンやクレイステネスであり、特にクレイステネスの改革で民主政の基礎が整った。,仕組み,アテネ民主政は、どのような政治の仕組みだったか？,男性市民が民会に参加して政策を直接決める直接民主政だった。,最盛期,アテネ民主政が最盛期を迎えたのは、誰の時代か？,前5世紀のペリクレスの時代である。,限界,アテネ民主政には、どのような限界があったか？,女性、奴隷、在留外人は市民とされず、政治参加できなかった。,アテネ民主政について、成立・仕組み・最盛期・限界を説明せよ。,アテネ民主政は、ソロンやクレイステネスの改革を経て成立し、前5世紀のペリクレス時代に最盛期を迎えた。男性市民が民会で直接政治に参加する制度だったが、女性・奴隷・在留外人は排除されており、現代の普通選挙とは異なる。,ソロン;クレイステネス;ペリクレス;民会;直接民主政;男性市民
7,歴史の骨格,先史・古代文明,前4世紀,マケドニアから西アジア・エジプト・北西インド,アレクサンドロス大王,人物,出身・立場,アレクサンドロス大王は、どの国の王だったか？,ギリシア北方のマケドニア王国の王だった。,遠征,アレクサンドロス大王は、どの帝国を滅ぼしたか？,アケメネス朝ペルシアを滅ぼした。,範囲,アレクサンドロス大王の遠征は、どこまで達したか？,エジプト、西アジア、中央アジアを経て、北西インドまで達した。,影響,アレクサンドロス大王の遠征は、文化面で何をもたらしたか？,ギリシア文化と西アジア・エジプトなどの文化が融合するヘレニズム文化を生んだ。,アレクサンドロス大王について、遠征の範囲と歴史的影響を説明せよ。,アレクサンドロス大王は、前4世紀のマケドニア王である。アケメネス朝を滅ぼし、エジプトから北西インドに及ぶ大帝国を築いた。死後、帝国は分裂したが、遠征を通じてギリシア文化が各地に広まり、ヘレニズム文化が形成された。,マケドニア;アケメネス朝;東方遠征;北西インド;ヘレニズム文化
8,歴史の骨格,先史・古代文明,前27年〜395年、東西分裂後も東帝国は継続,地中海世界,ローマ帝国,国家・帝国,成立,ローマ帝国の始まりは、一般に誰が元首となった前何年とされるか？,オクタウィアヌスがアウグストゥスの称号を受けた前27年とされる。,範囲,ローマ帝国は、どの海を囲む広大な地域を支配したか？,地中海を囲むヨーロッパ・西アジア・北アフリカを支配した。,統治・文化,ローマ帝国が広い領域を結びつけるうえで役立ったものは何か？,道路網、都市、ローマ法、共通の行政制度などである。,変化,ローマ帝国は、その後どのように分裂・滅亡したか？,395年に東西に分裂し、西ローマ帝国は476年に滅亡したが、東ローマ帝国は存続した。,ローマ帝国について、成立・領域・統治・分裂を説明せよ。,ローマ帝国は、前27年にオクタウィアヌスがアウグストゥスとなって成立した。地中海を囲む広大な地域を道路、都市、軍隊、ローマ法で結び、長期の秩序を築いた。395年に東西分裂し、西ローマ帝国は476年に滅亡した。,アウグストゥス;地中海;ローマ法;道路網;395年;476年
9,歴史の骨格,先史・古代文明,1世紀以降,パレスチナからローマ帝国、のち世界各地,キリスト教,宗教,成立,キリスト教は、誰の教えをもとに成立したか？,1世紀のパレスチナで活動したイエスの教えをもとに成立した。,教え,キリスト教の中心的な考えは何か？,唯一神への信仰と、イエスを救い主と信じることによる救いである。,公認,ローマ帝国でキリスト教が公認されたのはいつ、誰の時代か？,313年、コンスタンティヌス帝の時代にミラノ勅令で公認された。,影響,キリスト教は、ヨーロッパ史にどのような影響を与えたか？,ローマ帝国末期に国教化され、中世ヨーロッパの政治・社会・文化を形づくる中心的宗教となった。,キリスト教について、成立・教え・ローマ帝国での公認と影響を説明せよ。,キリスト教は、1世紀のパレスチナで活動したイエスの教えをもとに成立した一神教である。使徒たちによってローマ帝国各地へ広まり、313年に公認され、4世紀末には国教化された。中世以降のヨーロッパ社会と文化に大きな影響を与えた。,イエス;一神教;救い;ミラノ勅令;コンスタンティヌス帝;国教化
10,歴史の骨格,南アジア史,前2600年頃〜前1900年頃,インダス川流域,インダス文明,文明,場所,インダス文明は、どの地域に成立したか？,現在のパキスタンを中心とするインダス川流域に成立した。,都市,インダス文明を代表する都市は何か？,モエンジョ＝ダーロとハラッパーである。,特徴,インダス文明の都市には、どのような特徴があったか？,整然とした街路、焼きレンガの建物、排水設備などを備えた計画都市だった。,未解明点,インダス文明の社会が完全には解明されていない大きな理由は何か？,インダス文字がまだ十分に解読されていないから。,インダス文明について、時期・地域・都市の特徴・未解明点を説明せよ。,インダス文明は、前2600年頃からインダス川流域に栄えた都市文明である。モエンジョ＝ダーロやハラッパーには計画的な街路と高度な排水設備があった。広域交易も行われたが、インダス文字が未解読のため、政治や宗教には不明点が多い。,インダス川;モエンジョ＝ダーロ;ハラッパー;計画都市;排水設備;インダス文字
