dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-B01,beginner,用語の特定,identify,河南省安陽の遺跡から甲骨文字が見つかり、中国で実在が確認されている最初の王朝は？,殷(いん),殷,商,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-B02,beginner,関連,relation,殷(いん)の人びとが自らの王朝に用いた名称は？,商,商,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-B03,beginner,地域,place,殷(いん)の後期の都とされる遺跡が発見された、河南省の都市は？,安陽,安陽,安陽市,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-B04,beginner,内容,content,殷(いん)の神意を利用した政治を何という？,神権政治,神権政治,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-B05,beginner,内容,content,殷(いん)で占いの結果を刻むのに用いた文字は？,甲骨文字,甲骨文字,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-B06,beginner,関連,relation,殷(いん)を滅ぼした次の王朝は？,周,周,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-R01,reverse,内容,reverse,殷(いん)：何をした？,前770年の周の東遷より前の中国古代、中国の黄河流域にあった、実在が確認されている最初の王朝で、自称は**商**。**邑制国家(ゆうせいこっか)**を形成して**神権政治**を行い、占卜(せんぼく)の結果を**甲骨文字**に残した。後期の都の遺跡は河南省の**安陽**で発見され、王朝はのちに周に滅ぼされた。,商|邑制国家|神権政治|甲骨文字|安陽,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030011,6,共通テスト基礎,国家・王朝,殷,いん,商,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の中国古代,-1000,WH-030011-I01,integrated,統合説明,integrated,「殷(いん)」について説明せよ。,前770年の周の東遷より前の中国古代、中国の黄河流域にあった、実在が確認されている最初の王朝で、自称は**商**。**邑制国家(ゆうせいこっか)**を形成して**神権政治**を行い、占卜(せんぼく)の結果を**甲骨文字**に残した。後期の都の遺跡は河南省の**安陽**で発見され、王朝はのちに周に滅ぼされた。,商|邑制国家|神権政治|甲骨文字|安陽,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜135・143,
第3章_第8回_2_殷と周,WH-030012,7,共通テスト基礎,制度・政策・法律,神権政治,しんけんせいじ,,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の殷代,-1000,WH-030012-B01,beginner,用語の特定,identify,殷王(いんおう)が神のお告げを用いて他の邑(ゆう)を従え、祭祀と政治を一体化させた支配のあり方は？,神権政治,神権政治,,,,08_古代中国①（中国文明〜秦）(1).md p.133〜134・143,
第3章_第8回_2_殷と周,WH-030012,7,共通テスト基礎,制度・政策・法律,神権政治,しんけんせいじ,,古代,東アジア,中国・黄河流域,前770年の周の東遷より前の殷代,-1000,WH-030012-B02,beginner,関連する勢力,actor,中国古代で神権政治を行い、甲骨文字を残した王朝は？,殷(いん),殷,商,,,08_古代中国①（中国文明〜秦）(1).md p.133〜134・143,
