dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-B01,beginner,用語の特定,identify,北半球の寒冷化や天候不順、交易圏の拡大に伴うペストの流行などで社会不安が広がった時代状況を何という？,14世紀の危機,14世紀の危機,,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-B02,beginner,内容,content,14世紀の危機で北半球の気候に起きた変化は？,寒冷化,寒冷化,,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-B03,beginner,内容,content,14世紀の危機で交易圏の拡大とともに広まった疫病は？,ペスト,ペスト,黒死病,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-B04,beginner,地域,place,14世紀の危機の中国で大氾濫を起こした川は？,黄河,黄河,,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-B05,beginner,結果,result,14世紀の危機で中国の天候不順による食料不足が引き起こしたものは？,飢饉,飢饉,,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-R01,reverse,複合説明,reverse,14世紀の危機では何が起きた？,14世紀、**北半球の寒冷化・天候不順**や、モンゴルの交易圏拡大に伴う**ペスト**の流行が起きた。中国でも**飢饉・黄河の大氾濫・地震**などによって社会不安が広がり、元の宮廷の混乱と重なった。,北半球の寒冷化・天候不順|ペスト|飢饉・黄河の大氾濫・地震,,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170055,118,標準,時代・歴史区分,14世紀の危機,じゅうよんせいきのきき,,中世,東アジア,北半球・中国を含む各地,14世紀,1350,WH-170055-I01,integrated,統合説明,integrated,「14世紀の危機」について説明せよ。,14世紀、**北半球の寒冷化・天候不順**や、モンゴルの交易圏拡大に伴う**ペスト**の流行が起きた。中国でも**飢饉・黄河の大氾濫・地震**などによって社会不安が広がり、元の宮廷の混乱と重なった。,北半球の寒冷化・天候不順|ペスト|飢饉・黄河の大氾濫・地震,,,,17_モンゴル帝国の時代(1).md pp.279–280,
第17回_04_元の衰退と明の成立,WH-170056,161,標準,人物,パクパ,ぱくぱ,パスパ,中世,東アジア,元の中国,13世紀のクビライ期,1260,WH-170056-B01,beginner,用語の特定,identify,クビライに重用されたラマ教の僧で、自身の名を冠する文字をつくった人物は？,パクパ,パクパ,パスパ,,,17_モンゴル帝国の時代(1).md p.279,
第17回_04_元の衰退と明の成立,WH-170056,161,標準,人物,パクパ,ぱくぱ,パスパ,中世,東アジア,元の中国,13世紀のクビライ期,1260,WH-170056-B02,beginner,中心人物,person,パクパを重用した元の支配者は？,クビライ,クビライ,フビライ,,,17_モンゴル帝国の時代(1).md p.279,
第17回_04_元の衰退と明の成立,WH-170056,161,標準,人物,パクパ,ぱくぱ,パスパ,中世,東アジア,元の中国,13世紀のクビライ期,1260,WH-170056-B03,beginner,内容,content,パクパが属した宗教の系統は？,ラマ教,ラマ教,チベット仏教,,,17_モンゴル帝国の時代(1).md p.279,
第17回_04_元の衰退と明の成立,WH-170056,161,標準,人物,パクパ,ぱくぱ,パスパ,中世,東アジア,元の中国,13世紀のクビライ期,1260,WH-170056-R01,reverse,複合説明,reverse,パクパは何をした？,13世紀、元の中国で**クビライ**に重用された**ラマ教**の僧。**パクパ文字**をつくったことで知られ、元の支配者によるラマ教の重視に関わった。,クビライ|ラマ教|パクパ文字,,,,17_モンゴル帝国の時代(1).md p.279,
