dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第25回_04_フランスの絶対王政,WH-250401,223,共通テスト基礎,人物,ルイ13世,るいじゅうさんせい,,近世,ヨーロッパ,フランス,1610〜1643年,1610,WH-250401-B01,beginner,用語の特定,identify,アンリ4世のあと幼くして即位し、のちに宰相リシュリューを支持して王権強化を進めたフランス国王は？,ルイ13世,ルイ13世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250401,223,共通テスト基礎,人物,ルイ13世,るいじゅうさんせい,,近世,ヨーロッパ,フランス,1610〜1643年,1610,WH-250401-B02,beginner,中心人物,person,ルイ13世の初期に摂政として実権を握った母后は？,マリ＝ド＝メディシス,マリ＝ド＝メディシス,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250401,223,共通テスト基礎,人物,ルイ13世,るいじゅうさんせい,,近世,ヨーロッパ,フランス,1610〜1643年,1610,WH-250401-B03,beginner,中心人物,person,ルイ13世を支えて絶対王政を推進した宰相は？,リシュリュー,リシュリュー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250401,223,共通テスト基礎,人物,ルイ13世,るいじゅうさんせい,,近世,ヨーロッパ,フランス,1610〜1643年,1610,WH-250401-B04,beginner,関連語,relation,ルイ13世の時代に新教側で介入したドイツの戦争は？,三十年戦争,三十年戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250401,223,共通テスト基礎,人物,ルイ13世,るいじゅうさんせい,,近世,ヨーロッパ,フランス,1610〜1643年,1610,WH-250401-R01,reverse,複合説明,reverse,何をした？,1610〜1643年の**フランス**国王で、幼少期には母后マリ＝ド＝メディシスが実権を握った。のちに**リシュリュー**を支持して貴族勢力の抑制と王権強化を進め、**三十年戦争**に新教側で介入した。,フランス|リシュリュー|三十年戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250401,223,共通テスト基礎,人物,ルイ13世,るいじゅうさんせい,,近世,ヨーロッパ,フランス,1610〜1643年,1610,WH-250401-I01,integrated,統合説明,integrated,「ルイ13世」について説明せよ。,1610〜1643年の**フランス**国王で、幼少期には母后マリ＝ド＝メディシスが実権を握った。のちに**リシュリュー**を支持して貴族勢力の抑制と王権強化を進め、**三十年戦争**に新教側で介入した。,フランス|リシュリュー|三十年戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-B01,beginner,用語の特定,identify,ルイ13世の宰相として高等法院や大貴族を抑え、反ハプスブルク外交を進めた人物は？,リシュリュー,リシュリュー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-B02,beginner,中心人物,person,リシュリューが仕えたフランス国王は？,ルイ13世,ルイ13世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-B03,beginner,関係する勢力,actor,リシュリューが外交で抑えようとした王家は？,ハプスブルク家,ハプスブルク家,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-B04,beginner,関連語,relation,リシュリューが新教側を支援して介入した戦争は？,三十年戦争,三十年戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-B05,beginner,関連語,relation,リシュリューが設置したフランス語・文学の学術機関は？,アカデミー＝フランセーズ,アカデミー＝フランセーズ,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-R01,reverse,時期・地域,reverse,主に活動したのはいつ、どこ？,1624〜1642年に**フランス**のルイ13世を支えた宰相。,フランス,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-R02,reverse,複合説明,reverse,何をした？,官僚制を整え、**高等法院や大貴族を抑圧**して王権を強めた。**反ハプスブルク外交**から三十年戦争に新教側で介入し、文化面では**アカデミー＝フランセーズ**を設置した。,高等法院や大貴族を抑圧|反ハプスブルク外交|アカデミー＝フランセーズ,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250402,224,共通テスト基礎,人物,リシュリュー,りしゅりゅー,,近世,ヨーロッパ,フランス,1624〜1642年,1624,WH-250402-I01,integrated,統合説明,integrated,「リシュリュー」について説明せよ。,1624〜1642年に**フランス**のルイ13世を支えた宰相。官僚制を整え、**高等法院や大貴族を抑圧**して王権を強めた。**反ハプスブルク外交**から三十年戦争に新教側で介入し、文化面では**アカデミー＝フランセーズ**を設置した。,フランス|高等法院や大貴族を抑圧|反ハプスブルク外交|アカデミー＝フランセーズ,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250403,373,共通テスト標準,組織・政党,高等法院,こうとうほういん,,近世,ヨーロッパ,フランス,17世紀,1600,WH-250403-B01,beginner,用語の特定,identify,リシュリューに権限を抑えられ、マザランの時代には貴族の反抗の拠点となったフランスの機関は？,高等法院,高等法院,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250403,373,共通テスト標準,組織・政党,高等法院,こうとうほういん,,近世,ヨーロッパ,フランス,17世紀,1600,WH-250403-B02,beginner,中心人物,person,高等法院の権限を抑制したルイ13世の宰相は？,リシュリュー,リシュリュー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250403,373,共通テスト標準,組織・政党,高等法院,こうとうほういん,,近世,ヨーロッパ,フランス,17世紀,1600,WH-250403-B03,beginner,関連語,relation,高等法院を拠点とする貴族の反抗から起こった反乱は？,フロンドの乱,フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250403,373,共通テスト標準,組織・政党,高等法院,こうとうほういん,,近世,ヨーロッパ,フランス,17世紀,1600,WH-250403-B04,beginner,中心人物,person,高等法院を拠点とした反乱を鎮圧した宰相は？,マザラン,マザラン,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250403,373,共通テスト標準,組織・政党,高等法院,こうとうほういん,,近世,ヨーロッパ,フランス,17世紀,1600,WH-250403-R01,reverse,複合説明,reverse,王権との関係はどう変わった？,17世紀の**フランス**で大貴族の勢力の拠点となり、**リシュリュー**に権限を抑えられた機関。のちに貴族がここを拠点としてマザランに反抗し、**フロンドの乱**が起きた。,フランス|リシュリュー|フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250403,373,共通テスト標準,組織・政党,高等法院,こうとうほういん,,近世,ヨーロッパ,フランス,17世紀,1600,WH-250403-I01,integrated,統合説明,integrated,「高等法院」について説明せよ。,17世紀の**フランス**で大貴族の勢力の拠点となり、**リシュリュー**に権限を抑えられた機関。のちに貴族がここを拠点としてマザランに反抗し、**フロンドの乱**が起きた。,フランス|リシュリュー|フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.404–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-B01,beginner,用語の特定,identify,リシュリューが設置し、フランス古典文学を保護するとともに近代フランス語の形成に関わった学術機関は？,アカデミー＝フランセーズ,アカデミー＝フランセーズ,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-B02,beginner,時期,time,アカデミー＝フランセーズが設置されたのはいつ？,1635年,1635年,1635,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-B03,beginner,中心人物,person,アカデミー＝フランセーズを設置した宰相は？,リシュリュー,リシュリュー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-B04,beginner,内容,content,アカデミー＝フランセーズで保護された文学は？,フランス古典文学,フランス古典文学,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-R01,reverse,時期・地域,reverse,設置されたのはいつ？,**1635年**。,1635年,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-R02,reverse,複合説明,reverse,どんな役割を担った？,**フランス**のリシュリューが文化人の保護と文化面の中央集権化を目指して設置した学術機関。**フランス古典文学**を保護し、**近代フランス語**の形成を進めた。,フランス|フランス古典文学|近代フランス語,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250404,374,共通テスト標準,文化・技術・学問,アカデミー＝フランセーズ,あかでみーふらんせーず,,近世,ヨーロッパ,フランス,1635年〜,1635,WH-250404-I01,integrated,統合説明,integrated,「アカデミー＝フランセーズ」について説明せよ。,1635年、**フランス**のリシュリューが文化人の保護と文化面の中央集権化を目指して設置した学術機関。**フランス古典文学**を保護し、**近代フランス語**の形成を進めた。,フランス|フランス古典文学|近代フランス語,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-B01,beginner,用語の特定,identify,「太陽王」と呼ばれ、マザランの死後に親政を始め、ヴェルサイユ宮殿を建設したフランス国王は？,ルイ14世,ルイ14世,太陽王,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-B02,beginner,時期,time,ルイ14世が親政を始めたのはいつ？,1661年,1661年,1661,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-B03,beginner,中心人物,person,ルイ14世の財務総監として重商主義を進めた人物は？,コルベール,コルベール,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-B04,beginner,関連語,relation,ルイ14世が建設した壮大な宮殿は？,ヴェルサイユ宮殿,ヴェルサイユ宮殿,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-B05,beginner,内容,content,ルイ14世が1685年に廃止した、ユグノーの信仰の自由を認める法令は？,ナントの王令,ナントの王令,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-B06,beginner,関連語,relation,ルイ14世の晩年、孫のスペイン王位継承をめぐって起こった戦争は？,スペイン継承戦争,スペイン継承戦争,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-R01,reverse,時期・地域,reverse,王として活動したのはいつ、どこ？,1643〜1715年に**フランス**を統治し、1661年に親政を始めた国王。,フランス,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-R02,reverse,複合説明,reverse,何をした？,**王権神授説**と官僚制を基盤に絶対王政を進め、**コルベール**の重商主義で産業を育成したが、**ナントの王令廃止**でユグノーの国外流出を招いた。,王権神授説|コルベール|ナントの王令廃止,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-R03,reverse,複合説明,reverse,財政はどう変化した？,**ヴェルサイユ宮殿**の建設や、スペイン継承戦争などの対外戦争によって支出が増え、財政が悪化した。,ヴェルサイユ宮殿,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250405,225,共通テスト基礎,人物,ルイ14世,るいじゅうよんせい,太陽王,近世,ヨーロッパ,フランス,1643〜1715年,1643,WH-250405-I01,integrated,統合説明,integrated,「ルイ14世」について説明せよ。,1643〜1715年に**フランス**を統治し、1661年に親政を始めた国王。**王権神授説**と官僚制を基盤に絶対王政を進め、**コルベール**の重商主義で産業を育成したが、**ナントの王令廃止**でユグノーの国外流出を招いた。**ヴェルサイユ宮殿**の建設や、スペイン継承戦争などの対外戦争によって支出が増え、財政が悪化した。,フランス|王権神授説|コルベール|ナントの王令廃止|ヴェルサイユ宮殿,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–409,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-B01,beginner,用語の特定,identify,リシュリューの政策を継ぎ、ウェストファリア条約の締結とフロンドの乱の鎮圧を進めた、ルイ14世初期の宰相は？,マザラン,マザラン,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-B02,beginner,中心人物,person,マザランが受け継いだ政策を進めた前任の宰相は？,リシュリュー,リシュリュー,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-B03,beginner,関連語,relation,マザランの時代、三十年戦争を終結させた条約は？,ウェストファリア条約,ウェストファリア条約,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-B04,beginner,関連語,relation,マザランが鎮圧した、貴族を中心とする反乱は？,フロンドの乱,フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-B05,beginner,中心人物,person,マザランの死後に親政を始めた国王は？,ルイ14世,ルイ14世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-R01,reverse,時期・地域,reverse,主に活動したのはいつ、どこ？,1642〜1661年に**フランス**で宰相を務めた政治家。,フランス,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-R02,reverse,複合説明,reverse,何をした？,**リシュリュー**の反ハプスブルク外交を継ぎ、**ウェストファリア条約**でアルザス地方を獲得した。国内では**フロンドの乱**を鎮圧して貴族を王権に従わせ、ルイ14世の親政の基盤を整えた。,リシュリュー|ウェストファリア条約|フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250406,226,共通テスト基礎,人物,マザラン,まざらん,,近世,ヨーロッパ,フランス,1642〜1661年,1642,WH-250406-I01,integrated,統合説明,integrated,「マザラン」について説明せよ。,1642〜1661年に**フランス**で宰相を務めた政治家。**リシュリュー**の反ハプスブルク外交を継ぎ、**ウェストファリア条約**でアルザス地方を獲得した。国内では**フロンドの乱**を鎮圧して貴族を王権に従わせ、ルイ14世の親政の基盤を整えた。,フランス|リシュリュー|ウェストファリア条約|フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
世界史探究_第25回_04_フランスの絶対王政,WH-250407,227,共通テスト基礎,事件・革命,フロンドの乱,ふろんどのらん,,近世,ヨーロッパ,フランス・パリ,1648〜1653年,1648,WH-250407-B01,beginner,用語の特定,identify,マザランの中央集権化に反発する貴族が高等法院を拠点とし、増税に反対するパリの民衆も巻き込んだ反乱は？,フロンドの乱,フロンドの乱,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.405–406,
