"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-28-03-001","1791年憲法に基づき、制限選挙で選出されて成立した議会は？","立法議会。","憲法制定を担った国民議会の次に成立した議会である。","用語の特定","一問一答","","28_フランス革命.md","452","190"
"WH-28-03-002","ジロンド派内閣がオーストリアに宣戦布告したのは何年か？","1792年。","資料では4月の宣戦とされ、国民公会成立や王政廃止に先行する。","時期","一問一答","","28_フランス革命.md","452","193"
"WH-28-03-003","1792年、テュイルリー宮殿への民衆の襲撃によって王権停止につながった事件は？","8月10日事件。","立法議会は王権停止を宣言し、男子普通選挙による国民公会招集を決めた。","用語の特定","一問一答","","28_フランス革命.md","452","194"
"WH-28-03-004","8月10日事件後、立法議会が次の議会を選ぶために決定した選挙制度は？","男子普通選挙。","1791年憲法下の財産による制限選挙から転換した。","内容","一問一答","","28_フランス革命.md","452","195"
"WH-28-03-005","自由主義貴族を中心に、立憲君主政を主張した革命期フランスの党派は？","フィヤン派。","富裕市民のジロンド派、急進的共和派の山岳派と区別する。","主体","一問一答","","28_フランス革命.md","453","218"
"WH-28-03-006","富裕市民を中心とする穏健共和派で、立法議会期に内閣を形成した党派は？","ジロンド派。","王政ではなく共和政を目指したが、財産による制限選挙を支持した。","主体","一問一答","","28_フランス革命.md","453","218"
"WH-28-03-007","下層民の支持を受け、普通選挙を目指した急進的共和派は？","山岳派（ジャコバン派）。","立法議会期にはまだ少数だったが、のちに国民公会で主導権を握った。","主体","一問一答","","28_フランス革命.md","453","218"
"WH-28-03-008","立法議会の共和派議員に富裕市民が多かったのはなぜか？","財産による制限選挙で選出されたため。","共和政を支持することと、普通選挙を支持することは同じではない。","原因","一問一答","","28_フランス革命.md","453","218"
"WH-28-03-009","フィヤン派とジロンド派は、王政をめぐってどう違ったか？","フィヤン派は立憲君主政を、ジロンド派は共和政を目指した。","立法議会では両派の対立が重要になった。","関係","一問一答","","28_フランス革命.md","453","228"
"WH-28-03-010","ジロンド派と山岳派は、選挙制度をめぐってどう違ったか？","ジロンド派は制限選挙、山岳派は普通選挙を目指した。","いずれも共和派だが、支持する階層や政治参加の範囲が異なった。","関係","一問一答","","28_フランス革命.md","453","230"
"WH-28-03-011","ジロンド派がオーストリアとの開戦を主張した理由を、資料に沿って答えなさい。","外国と亡命貴族による反革命の動きに対抗し、革命を防衛・拡大しようとしたため。","資料では、この戦争を「自由の十字軍」と呼んだと説明される。","原因","一問一答","","28_フランス革命.md","453","243"
"WH-28-03-012","立法議会期、準備不足の開戦は革命を危うくするとして反対した山岳派の人物は？","ロベスピエール。","ジロンド派の開戦方針に、すべての共和派が賛成したわけではない。","人物","一問一答","","28_フランス革命.md","453","243"
"WH-28-03-013","1792年に成立し、オーストリアへの宣戦を行った内閣の中心党派は？","ジロンド派。","その後、戦況の悪化と国内混乱のなかで国王はこの内閣を罷免した。","主体","一問一答","","28_フランス革命.md","453","243"
