dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-B01,beginner,主体,actor,コンスタンティノープルを都とする東ローマ帝国が、ギリシア化を進めたことに関連して呼ばれる名称は？,ビザンツ帝国,ビザンツ帝国,東ローマ帝国,,,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-B02,beginner,場所,place,ビザンツ帝国の都は？,コンスタンティノープル,コンスタンティノープル,,,,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-B03,beginner,人物,person,ビザンツ帝国の前身となる東ローマ帝国は、395年に誰が死んだ後に成立したか？,テオドシウス帝,テオドシウス帝,,,,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-B04,beginner,内容,content,7世紀ころからビザンツ帝国でラテン語に代わる公用語となった言語は？,ギリシア語,ギリシア語,,,,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-B05,beginner,場所,place,ビザンツ帝国の名称のもととなった、都のギリシア人植民市時代の名は？,ビザンティウム,ビザンティウム,,,,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-R01,reverse,原因,cause,ビザンツ帝国が、西ローマ帝国の滅亡後も存続できた基盤は何か？,**395年の分裂**以前から東方に政治・経済・軍事の中心があり、都**コンスタンティノープル**や穀物生産地エジプト、対ササン朝の主力軍を擁していた。都では商業・貿易と貨幣経済が維持された。,395年の分裂|コンスタンティノープル,,,395：「時代錯誤の　ローマ分裂」ローマ帝国東西分裂,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-R02,reverse,内容,content,ビザンツ帝国は、どのようにギリシア化したか？,**7世紀ころ**、領土の縮小によってギリシア人の地域が支配の中心となり、公用語や教会の典礼も**ギリシア語**になった。皇帝はローマ皇帝の地位を継承し、政治と宗教の最高権力者であり続けた。,7世紀ころ|ギリシア語,,,,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T001,70,共通テスト高得点対策,国家・王朝,ビザンツ帝国,びざんつていこく,東ローマ帝国,古代～中世,ヨーロッパ,コンスタンティノープル・東地中海,395年の東西分裂以降,395,WH-C04-L13-S01-T001-I01,integrated,統合説明,integrated,「ビザンツ帝国」について説明せよ。,**395年のローマ帝国東西分裂**後、**コンスタンティノープル**を都として続いた東ローマ帝国で、東方の経済力・軍事力と商業・貨幣経済に支えられた。**7世紀ころ**には領域・公用語・典礼の**ギリシア化**が進み、皇帝は政治と宗教の最高権力者であり続けた。,395年のローマ帝国東西分裂|コンスタンティノープル|7世紀ころ|ギリシア化,,,395：「時代錯誤の　ローマ分裂」ローマ帝国東西分裂,13_ビザンツ帝国と中世の東欧.md pp.211–214,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T002,71,共通テスト高得点対策,人物,ユスティニアヌス,ゆすてぃにあぬす,ユスティニアヌス1世|ユスティニアヌス大帝,中世,ヨーロッパ,ビザンツ帝国・地中海沿岸,527～565年在位,550,WH-C04-L13-S01-T002-B01,beginner,人物,person,6世紀、旧ローマ帝国領の回復を目指し、『ローマ法大全』の編纂(へんさん)やハギア＝ソフィア聖堂の建立を行った皇帝は？,ユスティニアヌス,ユスティニアヌス,ユスティニアヌス1世|ユスティニアヌス大帝,,,13_ビザンツ帝国と中世の東欧.md pp.211–213,
第4章 中世ヨーロッパ｜第13回 1 初期ビザンツ帝国 〜東ローマ帝国からビザンツ帝国へ〜,WH-C04-L13-S01-T002,71,共通テスト高得点対策,人物,ユスティニアヌス,ゆすてぃにあぬす,ユスティニアヌス1世|ユスティニアヌス大帝,中世,ヨーロッパ,ビザンツ帝国・地中海沿岸,527～565年在位,550,WH-C04-L13-S01-T002-B02,beginner,用語の特定,identify,ユスティニアヌスが編纂(へんさん)させた法の集大成は？,ローマ法大全,ローマ法大全,,,,13_ビザンツ帝国と中世の東欧.md pp.211–213,
