dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B01,beginner,用語の特定,identify,ギリシア文化を受け継ぐ一方、法律や建築などの実用的分野に優れた、古代の地中海帝国の文化は？,ローマ文化,ローマ文化,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B02,beginner,関連,relation,ローマ文化が主に模倣・継承した、先行する文化は？,ギリシア文化,ギリシア文化,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B03,beginner,内容,content,ローマ文化の普及とともに、帝国全土へ広められた言語は？,ラテン語,ラテン語,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B04,beginner,内容,content,ローマ文化で、ギリシア文字をもとに作られた文字は？,ラテン文字,ラテン文字,ローマ字,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B05,beginner,内容,content,ローマ文化の建築で、巨大な建造物を可能にした主な技術・建築材料の組合せは？,アーチ技法とコンクリート,アーチ技法とコンクリート,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B06,beginner,関連,relation,ローマ文化で、ギリシアのアゴラに相当する中央広場は？,フォルム,フォルム,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B07,beginner,関連,relation,ローマ文化を代表する、万神殿とも呼ばれる建物は？,パンテオン,パンテオン,万神殿,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-B08,beginner,関連,relation,ローマ文化を代表する、ローマの円形闘技場は？,コロッセウム,コロッセウム,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-R01,reverse,複合説明,reverse,ローマ文化には、どんな特徴と広がりがある？,1〜2世紀の繁栄期などに、ローマ帝国が**ギリシア文化**を継承して全土へ広げた。**ラテン語・ラテン文字**を普及させ、法律や建築などの**実用的な分野**に優れた。,ギリシア文化|ラテン語・ラテン文字|実用的な分野,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-R02,reverse,複合説明,reverse,ローマ文化の建築技術と代表的な建造物は？,**アーチ技法とコンクリート**によって巨大建築を可能にした。ローマの中央広場**フォルム**の周辺などに**パンテオン（万神殿）**が建てられ、**コロッセウム**は円形闘技場として知られる。,アーチ技法とコンクリート|フォルム|パンテオン（万神殿）|コロッセウム,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
第2章_第7回_05_ローマ文化,WH-020198,151,共通テスト基礎,文化・技術・学問,ローマ文化,ろーまぶんか,,古代,地中海世界,ローマを中心とする帝国全土,1〜2世紀の帝政の繁栄期など,100,WH-020198-I01,integrated,統合説明,integrated,「ローマ文化」について説明せよ。,1〜2世紀の繁栄期などにローマ帝国全土へ広がった、**ギリシア文化の継承**を基礎とする文化。**ラテン語・ラテン文字**を普及させ、法律や建築などの**実用的な分野**を発達させた。**アーチ技法とコンクリート**を用いる建築が進み、ローマの**フォルム**を中心に**パンテオン**、円形闘技場の**コロッセウム**などが建てられた。,ギリシア文化の継承|ラテン語・ラテン文字|実用的な分野|アーチ技法とコンクリート|フォルム|パンテオン|コロッセウム,,,,07_ローマ帝国とキリスト教(3).md p.126〜128,
