dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-B01,beginner,用語の特定,identify,18世紀後半にイギリスの木綿工業から始まり、機械制工場の発展と農業社会から工業社会への転換をもたらした変革は？,産業革命,産業革命,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-B02,beginner,地域,place,産業革命が最初に始まった国は？,イギリス,イギリス,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-B03,beginner,内容,content,イギリスの産業革命が始まった工業部門は？,木綿工業,木綿工業,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-B04,beginner,関連語,relation,産業革命の労働力供給の背景となった、農民が土地を失う動きは？,第2次囲い込み,第2次囲い込み,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-B05,beginner,内容,content,産業革命の動力としてワットが改良した機関は？,蒸気機関,蒸気機関,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-B06,beginner,結果,result,産業革命で経済の中心となった工場経営者の階級は？,産業資本家,産業資本家,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-R01,reverse,時期・地域,reverse,始まったのはいつ、どこ？,18世紀後半、**イギリス**の木綿工業から始まり、19世紀に工業化を進めた。,イギリス,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-R02,reverse,複合説明,reverse,なぜ進んだ？,**大西洋三角貿易**などによる資本蓄積と市場の拡大、**第2次囲い込み**による労働力供給、石炭・鉄などの資源や工業の伝統が背景にあった。,大西洋三角貿易|第2次囲い込み,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-R03,reverse,複合説明,reverse,何が変わった？,**蒸気機関**などを使う機械制工場が発展し、農業社会から工業社会へ移行して、**産業資本家と労働者**を中心とする資本主義社会が成立した。,蒸気機関|産業資本家と労働者,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270201,297,共通テスト基礎,事件・革命,産業革命,さんぎょうかくめい,,近世〜近代,ヨーロッパ,イギリス,18世紀後半〜19世紀,1750,WH-270201-I01,integrated,統合説明,integrated,「産業革命」について説明せよ。,18世紀後半、**イギリス**の木綿工業から始まり、19世紀に工業化を進めた。**大西洋三角貿易**などによる資本蓄積と市場の拡大、**第2次囲い込み**による労働力供給、石炭・鉄などの資源や工業の伝統が背景にあった。**蒸気機関**などを使う機械制工場が発展し、農業社会から工業社会へ移行して、**産業資本家と労働者**を中心とする資本主義社会が成立した。,イギリス|大西洋三角貿易|第2次囲い込み|蒸気機関|産業資本家と労働者,,,,27_産業革命とアメリカ独立革命(1).md p.432–436,
世界史探究_第27回_02_イギリスの産業革命,WH-270202,298,共通テスト基礎,文化・技術・学問,蒸気機関,じょうききかん,,近世〜近代,ヨーロッパ,イギリス,18〜19世紀,1700,WH-270202-B01,beginner,用語の特定,identify,ニューコメンが炭鉱の排水用に開発し、ワットが改良して工場などの多様な動力に用いられるようにした機関は？,蒸気機関,蒸気機関,,,,27_産業革命とアメリカ独立革命(1).md p.434–435,
