dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-B01,beginner,用語の特定,identify,ジェームズ2世が王位を失い、メアリ2世とウィリアム3世が権利の宣言を承認して即位したイギリスの革命は？,名誉革命,名誉革命,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-B02,beginner,時期,time,名誉革命が起きたのはいつ？,1688〜1689年,1688〜1689年,,,1688：「一路パッパと　名誉革命」名誉革命,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-B03,beginner,中心人物,person,名誉革命で王位を失った国王は？,ジェームズ2世,ジェームズ2世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-B04,beginner,中心人物,person,名誉革命で共同統治の国王となった二人は？,メアリ2世とウィリアム3世,メアリ2世とウィリアム3世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-B05,beginner,関連語,relation,名誉革命後、権利の宣言を法文化した法律は？,権利の章典,権利の章典,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-R01,reverse,時期・地域,reverse,起きたのはいつ？,**1688〜1689年**。,1688〜1689年,,,1688：「一路パッパと　名誉革命」名誉革命,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-R02,reverse,複合説明,reverse,なぜ起きた？,**イギリス**でジェームズ2世がカトリック政策と専制政治を強め、**トーリ党とホイッグ党**が国王廃位で一致したため。,イギリス|トーリ党とホイッグ党,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-R03,reverse,複合説明,reverse,何が起きた？,議会が招いた**メアリ2世とウィリアム3世**が権利の宣言を承認して即位し、**権利の章典**によって王権に対する議会の優位が定められた。,メアリ2世とウィリアム3世|権利の章典,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250201,198,共通テスト基礎,事件・革命,名誉革命,めいよかくめい,,近世,ヨーロッパ,イギリス,1688〜1689年,1688,WH-250201-I01,integrated,統合説明,integrated,「名誉革命」について説明せよ。,1688〜1689年、**イギリス**でジェームズ2世がカトリック政策と専制政治を強め、**トーリ党とホイッグ党**が国王廃位で一致したため。議会が招いた**メアリ2世とウィリアム3世**が権利の宣言を承認して即位し、**権利の章典**によって王権に対する議会の優位が定められた。,イギリス|トーリ党とホイッグ党|メアリ2世とウィリアム3世|権利の章典,,,1688：「一路パッパと　名誉革命」名誉革命,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.399–400,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250202,199,共通テスト基礎,人物,チャールズ2世,ちゃーるずにせい,,近世,ヨーロッパ,イギリス,1660〜1685年,1660,WH-250202-B01,beginner,用語の特定,identify,王政復古で帰国し、ルイ14世とドーヴァーの密約を結んでカトリック復活を図ったイギリス国王は？,チャールズ2世,チャールズ2世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.398–399,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250202,199,共通テスト基礎,人物,チャールズ2世,ちゃーるずにせい,,近世,ヨーロッパ,イギリス,1660〜1685年,1660,WH-250202-B02,beginner,時期,time,チャールズ2世が王政復古で即位したのはいつ？,1660年,1660年,1660,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.398–399,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250202,199,共通テスト基礎,人物,チャールズ2世,ちゃーるずにせい,,近世,ヨーロッパ,イギリス,1660〜1685年,1660,WH-250202-B03,beginner,関連語,relation,チャールズ2世が帰国前に議会尊重などを約束した宣言は？,ブレダ宣言,ブレダ宣言,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.398–399,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250202,199,共通テスト基礎,人物,チャールズ2世,ちゃーるずにせい,,近世,ヨーロッパ,イギリス,1660〜1685年,1660,WH-250202-B04,beginner,中心人物,person,チャールズ2世がドーヴァーの密約を結んだフランス国王は？,ルイ14世,ルイ14世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.398–399,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250202,199,共通テスト基礎,人物,チャールズ2世,ちゃーるずにせい,,近世,ヨーロッパ,イギリス,1660〜1685年,1660,WH-250202-B05,beginner,関連語,relation,チャールズ2世の時代、公職を国教徒に限った法律は？,審査法,審査法,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.398–399,
世界史探究_第25回_02_名誉革命と立憲王政の確立,WH-250202,199,共通テスト基礎,人物,チャールズ2世,ちゃーるずにせい,,近世,ヨーロッパ,イギリス,1660〜1685年,1660,WH-250202-R01,reverse,時期・地域,reverse,王として活動したのはいつ、どこ？,1660〜1685年に**イギリス**を統治した国王。,イギリス,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.398–399,
