"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-30-01-001","17世紀イギリスで、清教徒の信仰や心情を描いた文学を何というか？","ピューリタン文学。","ミルトンやバンヤンの作品が代表として挙げられる。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","33"
"WH-30-01-002","『旧約聖書』を題材として『失楽園』を書いた、イギリスの文学者は？","ミルトン。","ピューリタン革命後の共和政でも活躍した人物である。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","33"
"WH-30-01-003","ミルトンが『旧約聖書』を題材に著した作品は？","『失楽園』。","バンヤンの『天路歴程』とともに、ピューリタン文学として紹介される。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","33"
"WH-30-01-004","信仰上の苦悩を描いた『天路歴程』の作者は？","バンヤン。","ピューリタン革命に参加した文学者として登場する。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","33"
"WH-30-01-005","バンヤンが信仰上の苦悩を描いた作品は？","『天路歴程』。","作者と作品を、ミルトンの『失楽園』と区別する。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","33"
"WH-30-01-006","18世紀イギリスで冒険文学が発達した社会的背景は？","市民階級が成長し、海外貿易や植民地での活動が広がったため。","資料は、文学の題材と市民の経済活動との関係を説明している。","原因","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","35"
"WH-30-01-007","『ロビンソン＝クルーソー』を著したイギリスの作家は？","デフォー。","無人島で生きる人物を題材とする作品で、市民の活動を背景に紹介される。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","35"
"WH-30-01-008","デフォーが、遭難して無人島で暮らす人物を描いた小説は？","『ロビンソン＝クルーソー』。","18世紀イギリスの冒険文学の代表である。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","35"
"WH-30-01-009","『ガリヴァー旅行記』で当時のイギリス社会を風刺した、アイルランド出身の作家は？","スウィフト。","架空の国々への旅の形をとりながら、社会風刺を行った。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","35"
"WH-30-01-010","小人国・巨人国などを登場させ、イギリス社会を風刺したスウィフトの作品は？","『ガリヴァー旅行記』。","デフォーの無人島生活を描いた作品とは区別する。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","35"
"WH-30-01-011","資料では、『ガリヴァー旅行記』は架空の国々を通じて何を風刺したと説明されるか？","当時のイギリス社会。","単なる冒険の物語ではなく、社会批判の性格も持つ。","内容","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","35"
"WH-30-01-012","絶対王政期のフランスで、宮廷の保護のもとに栄えた文学は？","古典主義文学。","ギリシア演劇のような古典主義演劇が多くつくられた。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","37"
"WH-30-01-013","ルイ13世時代に、フランスの古典主義悲劇を創始した人物は？","コルネイユ。","ルイ14世時代に悲劇を大成したラシーヌとは区別する。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","37"
"WH-30-01-014","ルイ14世時代に、フランスの古典主義悲劇を大成した人物は？","ラシーヌ。","コルネイユの後に、古典主義悲劇を発展させた人物である。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","37"
"WH-30-01-015","ルイ14世時代に、フランスの古典主義喜劇を創始した人物は？","モリエール。","悲劇のコルネイユ・ラシーヌに対し、喜劇と対応させる。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","37"
"WH-30-01-016","この時代のイギリス文学とフランス文学は、主な社会的基盤がどう異なったか？","イギリスは成長する市民階級、フランスは国王・宮廷の保護を基盤とした。","政治や社会の違いが、作品の題材や文学の発達に表れた。","関係","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","37"
"WH-30-01-017","リシュリューが設置し、フランス語の統一に努めた組織は？","アカデミー＝フランセーズ。","コルベールによるフランス科学アカデミーとは、設置者も主な分野も異なる。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","473","39"
