dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-B01,beginner,用語の特定,identify,スカンディナヴィア半島やバルト海沿岸を原住地とし、交易・略奪・定住を進めた北方ゲルマン人は？,ノルマン人,ノルマン人,ヴァイキング,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-B02,beginner,地域,place,ノルマン人の原住地は？,スカンディナヴィア半島とバルト海沿岸,スカンディナヴィア半島とバルト海沿岸,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-B03,beginner,関連,relation,ノルマン人が略奪によって西欧で恐れられた呼称は？,ヴァイキング,ヴァイキング,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-B04,beginner,内容,content,ノルマン人は海賊活動だけでなく、本来どのような経済活動の担い手だったか？,交易,交易,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-B05,beginner,勢力・対象,actor,ノルマン人のうち、デンマーク王国を建てた一派は？,デーン人,デーン人,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-B06,beginner,勢力・対象,actor,ノルマン人のうち、ロシア方面へ進出したスウェード人の一派は？,ルーシ,ルーシ,ヴァリャーグ人,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-R01,reverse,核心内容,reverse,「ノルマン人」：どのように活動した？,9世紀ころから各地へ進出した、スカンディナヴィア半島やバルト海沿岸を原住地とする**北方ゲルマン人**。本来は**交易者**で、交易と略奪を行い、のちに定住して各地に国家を建て、西欧では**ヴァイキング**と呼ばれて恐れられた。,北方ゲルマン人|交易者|ヴァイキング,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120101,50,共通テスト基礎・重要,民族・身分・社会集団,ノルマン人,のるまんじん,ヴァイキング,中世,ヨーロッパ,スカンディナヴィア半島・バルト海沿岸→ヨーロッパ各地,9世紀ころから各地へ進出,800,WH-120101-I01,integrated,統合説明,integrated,「ノルマン人」について説明せよ。,9世紀ころから各地へ進出した、スカンディナヴィア半島やバルト海沿岸を原住地とする**北方ゲルマン人**。本来は**交易者**で、交易と略奪を行い、のちに定住して各地に国家を建て、西欧では**ヴァイキング**と呼ばれて恐れられた。,北方ゲルマン人|交易者|ヴァイキング,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.198–201,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120102,51,共通テスト基礎・重要,事件・革命,第2次民族移動,だいにじみんぞくいどう,,中世,ヨーロッパ,西ヨーロッパ／北海・東欧,9世紀ころから,800,WH-120102-B01,beginner,用語の特定,identify,フランク王国分裂のころから、ノルマン人やマジャール人が西ヨーロッパへ侵入した動きを何という？,第2次民族移動,第2次民族移動,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.197–199,
世界史探究 第4章 第12回-1 ノルマン人の移動,WH-120102,51,共通テスト基礎・重要,事件・革命,第2次民族移動,だいにじみんぞくいどう,,中世,ヨーロッパ,西ヨーロッパ／北海・東欧,9世紀ころから,800,WH-120102-B02,beginner,時期,time,第2次民族移動と呼ばれる侵入が激化したのは、資料では何世紀ころからか？,9世紀ころから,9世紀ころから,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.197–199,
