dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,grammar_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_text,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
古文単語_単語Deck1_最重要古文単語_300,CJ-000001,1,単語Deck1_最重要古文単語,語彙,重要形容動詞,あはれなり,あわれなり,あわれなり,形容動詞,品詞=形容動詞,CJ-000001-C01,meaning,重要語義1,古語「あはれなり」の意味は何か。,しみじみと心を動かされる,しみじみと心を動かされる｜情趣深い,悲しみだけでなく、喜び・美しさなどに深く心を動かされる感情を表す。,なし,なし,なし,をかし,「あはれ」は内面から湧く深い感動、「をかし」は明るい興趣・美しさ。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000002,2,単語Deck1_最重要古文単語,語彙,重要形容詞,をかし,おかし,おかし,形容詞,品詞=形容詞,CJ-000002-C01,meaning,重要語義1,古語「をかし」の意味は何か。,趣がある,趣がある｜おもしろい｜美しい,明るく知的な興味、美しさ、かわいらしさなどを感じる語。,なし,なし,なし,あはれなり,「をかし」は対象を見て感じる明るい興趣、「あはれ」は深い感動。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000003,3,単語Deck1_最重要古文単語,語彙,重要形容詞,いみじ,いみじ,なし,形容詞,品詞=形容詞,CJ-000003-C01,meaning,重要語義1,古語「いみじ」の意味は何か。,程度がはなはだしい,程度がはなはだしい｜非常だ,よい意味にも悪い意味にも使い、文脈に応じて「すばらしい」「ひどい」と具体化する。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000003,3,単語Deck1_最重要古文単語,語彙,重要形容詞,いみじ,いみじ,なし,形容詞,品詞=形容詞,CJ-000003-C02,meaning,重要語義2,古語「いみじ」の意味は何か。,すばらしい,すばらしい｜立派だ,程度の強さが肯定的な評価に向いた語義。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000003,3,単語Deck1_最重要古文単語,語彙,重要形容詞,いみじ,いみじ,なし,形容詞,品詞=形容詞,CJ-000003-C03,meaning,重要語義3,古語「いみじ」の意味は何か。,ひどい,ひどい｜恐ろしい,程度の強さが否定的な評価に向いた語義。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000004,4,単語Deck1_最重要古文単語,語彙,重要形容詞,ありがたし,ありがたし,なし,形容詞,品詞=形容詞,CJ-000004-C01,meaning,重要語義1,古語「ありがたし」の意味は何か。,めったにない,めったにない｜珍しい,本来は「存在することが難しい」の意で、現代語の「感謝したい」とは異なる。,なし,なし,なし,現代語の「ありがたい」,古文の中心義は「めったにない」。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000004,4,単語Deck1_最重要古文単語,語彙,重要形容詞,ありがたし,ありがたし,なし,形容詞,品詞=形容詞,CJ-000004-C02,meaning,重要語義2,古語「ありがたし」の意味は何か。,すばらしい,すばらしい｜尊い,珍しいほど立派である、という評価を表す。,なし,なし,なし,現代語の「ありがたい」,古文の中心義は「めったにない」。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000005,5,単語Deck1_最重要古文単語,語彙,重要形容詞,うつくし,うつくし,なし,形容詞,品詞=形容詞,CJ-000005-C01,meaning,重要語義1,古語「うつくし」の意味は何か。,かわいらしい,かわいらしい｜いとしい,小さいものや子どもなどに対する愛情を表すのが中心。,なし,なし,なし,現代語の「美しい」,古文ではまず「かわいらしい・いとしい」を考える。,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000006,6,単語Deck1_最重要古文単語,語彙,重要形容詞,かなし,かなし,なし,形容詞,品詞=形容詞,CJ-000006-C01,meaning,重要語義1,古語「かなし」の意味は何か。,いとしい,いとしい｜かわいい,深く愛する気持ちを表す。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck1_最重要古文単語_300,CJ-000006,6,単語Deck1_最重要古文単語,語彙,重要形容詞,かなし,かなし,なし,形容詞,品詞=形容詞,CJ-000006-C02,meaning,重要語義2,古語「かなし」の意味は何か。,悲しい,悲しい,現代語と同じ悲哀の意味もあるため、文脈で判定する。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
