"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-24-02-001","カルロス1世の退位後、スペイン王位とネーデルラント・アメリカ大陸の植民地などを継承した人物は？","フェリペ2世。","神聖ローマ皇帝位ではなく、スペイン王位を継承した点を区別する。","人物","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","385","115"
"WH-24-02-002","カトリック世界の盟主を自任したフェリペ2世が、主に対抗した宗教勢力は？","新教徒と、オスマン帝国を中心とするイスラーム勢力。","対抗宗教改革と対オスマン戦争の両面で政策を進めた。","主体","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","385","115"
"WH-24-02-003","フェリペ2世と結婚し、イギリスにカトリックを復活させた女王は？","メアリ1世。","後のエリザベス1世は国教会を再建し、反スペイン政策をとった。","人物","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","385","117"
"WH-24-02-004","フェリペ2世は、スペイン国内で新教や反カトリックの思想にどのように対応したか？","異端審問を強化して新教徒を弾圧し、禁書目録の書物を学ぶことを禁じた。","対抗宗教改革の中心として、カトリックの統一を重視した。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","385","117"
"WH-24-02-005","フェリペ2世がネーデルラントにカトリックを強制したことは、どのような反応を引き起こしたか？","カルヴァン派のゴイセンなどの激しい反発を招いた。","重税や自治権への介入とともに、オランダ独立戦争の背景となった。","結果","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","385","117"
"WH-24-02-006","レパントの海戦でオスマン帝国艦隊と戦った連合艦隊は、主にどの勢力で構成されたか？","スペイン・ヴェネツィア・教皇。","勝利により、カトリック世界でのフェリペ2世の威信が高まった。","主体","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","127"
"WH-24-02-007","フェリペ2世の時代、スペイン・ヴェネツィア・教皇の連合艦隊がオスマン帝国艦隊を破った海戦は？","レパントの海戦。","父カルロス1世の時代のプレヴェザの海戦とは、勝敗が異なる。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","127"
"WH-24-02-008","資料では、レパントの海戦で敗れた後のオスマン帝国艦隊について、どう説明しているか？","速やかに再建された。","レパントでの敗北を、直ちにオスマン海軍の消滅と結びつけない。","結果","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","127"
"WH-24-02-009","スペインなどの連合艦隊がオスマン帝国艦隊を破ったレパントの海戦は何年か？","1571年。","無敵艦隊がイギリスに敗れた1588年のアルマダ海戦とは別の海戦である。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","136"
"WH-24-02-010","フェリペ2世時代のスペインがフィリピンに建設し、アジア貿易の拠点とした都市は？","マニラ。","メキシコのアカプルコから銀が運ばれ、中国商人との取引が行われた。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","139"
"WH-24-02-011","フェリペ2世がポルトガル王位を継承したのは何年か？","1580年。","ポルトガルの海外領土も支配下に加わり、スペインの勢力が拡大した。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","140"
"WH-24-02-012","1588年、スペインの無敵艦隊がイギリスに敗れた海戦は？","アルマダ海戦。","レパントの海戦での勝利と、アルマダ海戦での敗北を対比して押さえる。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","143"
"WH-24-02-013","フェリペ2世時代、スペインの繁栄と強大な軍隊を支える主要な財源は何だったか？","アメリカ大陸の鉱山から得られる大量の銀。","植民地の金銀鉱山開発を重視した重金主義と結びつく。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","147"
"WH-24-02-014","フェリペ2世はフランスのユグノー戦争で、どちらの宗派を支援したか？","カトリック側。","新教に対抗する政策を、スペイン国内だけでなく他国の宗教戦争でも進めた。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","147"
"WH-24-02-015","メキシコから太平洋を渡ってマニラへ銀を運び、中国商人と取引した貿易を何というか？","アカプルコ貿易。","アメリカ大陸の銀とアジアの商品を結びつけた交易である。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","149"
"WH-24-02-016","アカプルコ貿易が結んだ、アメリカ側とアジア側の港をそれぞれ答えなさい。","メキシコのアカプルコと、フィリピンのマニラ。","スペインのアメリカ支配とアジア進出が、太平洋航路で結ばれた。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","149"
"WH-24-02-017","フェリペ2世がスペイン王とポルトガル王を兼ねたように、複数の国が同じ君主を持つ結びつきを何というか？","同君連合。","ポルトガル王家の断絶後、母方の王位継承権を持つフェリペ2世が王位を継承した。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","386","149"
