"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-17-03-001","一問一答","内容","モンゴル帝国の諸ウルスは、交易を支えるために何を行ったか？","交通路の整備や治安維持を進めた。","元を中心に各地のウルスが連携した。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-002","一問一答","逆向きの説明","モンゴル帝国の駅伝制（ジャムチ）は、どのような仕組みか？","帝国全域を駅で結び、通行の資格を持つ旅人に馬や食料などを供給する仕組み。","広い地域の交通・連絡と人の移動を支えた。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-003","一問一答","用語の特定","モンゴル帝国で旅人の通行や駅の利用の資格を示したものは？","牌符（牌子）。","所持者の安全が保障されたと資料は説明する。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-004","一問一答","用語の特定","モンゴル帝国の駅伝制で、馬や食料を供給した駅を何というか？","站。","交通路の整備を具体的な施設から押さえる。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-005","一問一答","原因","大都がモンゴル帝国の交通・交易の拠点に適していた地理的な理由は？","草原地帯の草原の道と、中国の接点に位置していたため。","内陸の交通と中国の物流を結びつけた。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-006","一問一答","内容","クビライは、内陸の大都を海上輸送とどのように結びつけたか？","大運河を改修・延長し、河川も使って天津方面につなぎ、江南との海上航路を開いた。","大都の港を中国南北の物流と結びつけた。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-007","一問一答","原因","元が江南から北方への輸送路を重視したのはなぜか？","中国経済の中心である江南の物産を、北方へ輸送する必要があったため。","首都の位置と経済の中心地の違いが背景。","","17_モンゴル帝国の時代.md","p.277","L313"
"WHSO-05-17-03-008","一問一答","場所","元代に最も繁栄したとされ、サイトンと呼ばれた海港都市は？","泉州。","杭州・広州なども交易で栄えた。","","17_モンゴル帝国の時代.md","p.277","L315"
"WHSO-05-17-03-009","一問一答","場所","元代の交易都市で、キンサイと呼ばれた都市は？","杭州。","南宋の都だった臨安にあたる。","","17_モンゴル帝国の時代.md","p.277","L315"
"WHSO-05-17-03-010","一問一答","場所","元代の交易都市で、カンフーと呼ばれた都市は？","広州。","サイトンの泉州、キンサイの杭州と対応させる。","","17_モンゴル帝国の時代.md","p.277","L315"
"WHSO-05-17-03-011","一問一答","結果","東南アジア諸国の元への朝貢は、海上交易にどのような影響を与えたか？","南シナ海からインド洋にかけての交易を活発にした。","朝貢と交易の発展が結びついた。","","17_モンゴル帝国の時代.md","p.278","L332"
"WHSO-05-17-03-012","一問一答","場所","イル＝ハン国のイラン支配によって、インド洋からどこへ至る海上ルートが押さえられたか？","ペルシア湾。","東アジアから西アジアへ続く海上交易の一部。","","17_モンゴル帝国の時代.md","p.278","L332"
"WHSO-05-17-03-013","一問一答","結果","モンゴル帝国による陸上・海上の交通支配は、どのような経済圏を生んだか？","海上交易・内陸交易・中国の河運が結ばれた、ユーラシア規模の広域経済圏。","単一の交易路ではなく複数の輸送網がつながった。","","17_モンゴル帝国の時代.md","p.278","L332"
"WHSO-05-17-03-014","一問一答","内容","モンゴル帝国全域で、共通の通貨として使われた金属は？","銀。","中国内部では紙幣の利用を進めた。","","17_モンゴル帝国の時代.md","p.278","L336"
"WHSO-05-17-03-015","一問一答","用語の特定","クビライが金の制度にならって発行した紙幣は？","交鈔。","北宋の交子、南宋の会子と名称を区別する。","","17_モンゴル帝国の時代.md","p.278","L336"
"WHSO-05-17-03-016","一問一答","原因","クビライが中国内部で交鈔を使わせ、銀の使用を抑えた目的は？","量の限られた銀を節約し、帝国規模の取引に回すため。","域内の紙幣利用と広域交易での銀利用を結びつける。","","17_モンゴル帝国の時代.md","p.278","L336"
"WHSO-05-17-03-017","一問一答","用語の特定","元が銀や交鈔と交換して発行した、塩の引換券は？","塩引。","塩の専売によって銀を集める仕組みと結びついた。","","17_モンゴル帝国の時代.md","p.278","L336"
"WHSO-05-17-03-018","一問一答","逆向きの説明","元の塩引とは何か？","銀や交鈔との交換で発行された、塩の引換券。","貨幣不足を補い、塩の専売を通じて銀を集めた。","","17_モンゴル帝国の時代.md","p.278","L336"
"WHSO-05-17-03-019","一問一答","結果","元で交鈔が使われ、余った銅銭が東アジアへ輸出されると、何が進んだか？","日本などで貨幣経済が進展した。","元の貨幣政策は国外の経済にも影響した。","","17_モンゴル帝国の時代.md","p.278","L336"
"WHSO-05-17-03-020","一問一答","主体","モンゴル時代に内陸交易で活躍した、中央アジアの民族は？","ウイグル人。","ムスリム商人とともに帝国の交易を支えた。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-021","一問一答","主体","モンゴル時代、内陸と海上の両方で交易を担った商人は？","ムスリム商人。","王族との協力関係によって活動した商人もいた。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-022","一問一答","内容","資料では、ソグド人は中央アジアの変化に伴い、どの宗教からどの宗教へ改宗したと説明されるか？","ゾロアスター教からイスラーム教へ。","イラン系ムスリム商人の活動につなげた説明。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-023","一問一答","用語の特定","モンゴルの王族と協力し、出資を受けて交易を行った商人の呼称は？","オルトク（斡脱）商人。","王族との関係を背景に銀を使って取引した。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-024","一問一答","内容","オルトク商人が西方へ運び、販売した主な中国物産は？","絹や陶磁器。","中国物産との交換で銀が中国へ流入した。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-025","一問一答","用語の特定","元代、イラン産のコバルトを使って焼かれた陶磁器は？","染付。","東西交易による材料の移動を示す例。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-026","一問一答","内容","元代の染付に用いられた、イランからもたらされた材料は？","コバルト。","陶磁器と交易圏の広がりを結びつける。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-027","一問一答","内容","モンゴル帝国で銀が循環した仕組みを、中国物産の売買と元の財政から説明しなさい。","中国物産との交換で銀が中国に入り、元が専売や税で集めて西方へ送り、商人の取引に使われた。","王族の投資と商人の活動が大きな銀の流れを支えた。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-028","一問一答","統合説明","モンゴル帝国の交易を、「銀」と「ムスリム商人」の役割から説明しなさい。","銀が広域交易の共通通貨となり、王族と結びついたムスリム商人が中国物産の売買と銀の循環を担った。","元の専売・税収もこの仕組みに組み込まれた。","","17_モンゴル帝国の時代.md","p.278","L338"
"WHSO-05-17-03-029","一問一答","原因","13世紀の教皇やフランス王が、モンゴルへ使節を送った主な目的は？","モンゴルと協力し、十字軍の相手であるイスラーム勢力を挟み撃ちにするため。","交通の発達に加え、外交上の目的があった。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-030","一問一答","主体","資料に登場する、モンゴルへ派遣されたカトリック宣教師たちの修道会は？","フランチェスコ会。","宣教師の宗派・修道会と使節の派遣元を区別する。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-031","一問一答","人物","教皇インノケンティウス4世の使節として、グユクに親書を渡した人物は？","プラノ＝カルピニ。","ルブルックが謁見した相手はモンケ。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-032","一問一答","人物","プラノ＝カルピニをモンゴルへ派遣した教皇は？","インノケンティウス4世。","派遣者・使節・面会相手を組で覚える。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-033","一問一答","人物","フランス王ルイ9世が派遣し、カラコルムでモンケに謁見した人物は？","ルブルック。","十字軍への協力を要請したが断られた。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-034","一問一答","人物","ルブルックをモンゴルへ派遣したフランス王は？","ルイ9世。","教皇の使節であるプラノ＝カルピニと区別する。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-035","一問一答","関係","プラノ＝カルピニとルブルックが、それぞれ会ったモンゴルの君主は？","プラノ＝カルピニはグユク、ルブルックはモンケ。","時期と人物の対応を確認する。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-036","一問一答","人物","中国で初めてカトリックを布教し、初代の大都大司教となった人物は？","モンテ＝コルヴィノ。","外交使節としての活動だけでなく布教上の役割がある。","","17_モンゴル帝国の時代.md","p.278","L342"
"WHSO-05-17-03-037","一問一答","人物","大都でクビライに仕えたとされ、『世界の記述』で知られるヴェネツィア商人は？","マルコ＝ポーロ。","資料の「仕えたとされる」という表現を保っている。","","17_モンゴル帝国の時代.md","p.278","L344"
"WHSO-05-17-03-038","一問一答","用語の特定","マルコ＝ポーロの見聞をまとめたとされる書物は？","『世界の記述』（『東方見聞録』）。","ヨーロッパにアジアの情報を伝えた旅行記。","","17_モンゴル帝国の時代.md","p.278","L344"
"WHSO-05-17-03-039","一問一答","人物","14世紀に元を訪れたとされ、『大旅行記』で知られるモロッコ出身の旅行家は？","イブン＝バットゥータ。","イスラーム教徒のウラマーとして紹介される。","","17_モンゴル帝国の時代.md","p.278","L344"
