dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B01,beginner,用語の特定,identify,ハラッパーやモエンジョ＝ダーロを代表遺跡とし、都市計画・排水溝・公衆浴場が特徴的な青銅器文明は？,インダス文明,インダス文明,,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B02,beginner,時期,time,インダス文明が形成されたのはいつ？,前2300年ころ,前2300年ころ,,,前2300年ころ：「兄さんまるまる（2・3・0・0）　腹パンパン（ハラッパー）」インダス文明の形成,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B03,beginner,地域,place,インダス文明のパンジャーブ地方にある代表的遺跡は？,ハラッパー,ハラッパー,,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B04,beginner,地域,place,インダス文明のシンド地方にある代表的遺跡は？,モエンジョ＝ダーロ,モエンジョ＝ダーロ,,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B05,beginner,内容,content,インダス文明で都市の中心部に置かれ、宗教的な沐浴(もくよく)に使われたとされる施設は？,公衆浴場,公衆浴場,,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B06,beginner,内容,content,インダス文明の建物に広く使われた建材は？,焼きレンガ,焼きレンガ,,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B07,beginner,内容,content,インダス文明の文字の解読は、資料ではどのような状態とされる？,未解読,未解読,,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-B08,beginner,内容,content,インダス文明の都市で、王権を示すものとして見つかっていないとされる二種類の遺跡は？,宮殿と王墓,宮殿と王墓,王墓と宮殿,,,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-R01,reverse,複合説明,reverse,「インダス文明」：いつ、どこで発達した？,**前2300年ころ**、インダス川中流から下流の広大な地域で発達し、**前1800年ころ**に姿を消した。,前2300年ころ|前1800年ころ,,,前2300年ころ：「兄さんまるまる（2・3・0・0）　腹パンパン（ハラッパー）」インダス文明の形成,03_古代インド(2).md pp.45–46・62,
世界史探究_第1章_第03回_01_インダス文明,WH-000073,50,共通テスト・必修,時代・歴史区分,インダス文明,いんだすぶんめい,,古代,南アジア,インダス川中流〜下流,前2300年ころ〜前1800年ころ,-2300,WH-000073-R02,reverse,複合説明,reverse,「インダス文明」：どんな文明？,おそらくドラヴィダ人による**青銅器時代の都市文明**で、**ハラッパー・モエンジョ＝ダーロ**などが代表遺跡。焼きレンガの建物、計画的な道路・排水溝、宗教的な沐浴(もくよく)に使われたとされる**公衆浴場**がみられ、印章は交易の発達を示す。,青銅器時代の都市文明|ハラッパー・モエンジョ＝ダーロ|公衆浴場,,,,03_古代インド(2).md pp.45–46・62,
