dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000093,111,共通テスト・重要,国家・王朝,マガダ国,まがだこく,,古代,南アジア,ガンジス川中流〜下流域,前6世紀に有力化,-600,WH-000093-B01,beginner,用語の特定,identify,前6世紀の北インドで、ガンジス川中流〜下流域にあり、コーサラ国と並んで有力になった国は？,マガダ国,マガダ国,,,,03_古代インド(2).md pp.51–52,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000093,111,共通テスト・重要,国家・王朝,マガダ国,まがだこく,,古代,南アジア,ガンジス川中流〜下流域,前6世紀に有力化,-600,WH-000093-B02,beginner,地域,place,マガダ国が有力化した大河流域は？,ガンジス川中流〜下流域,ガンジス川中流〜下流域,,,,03_古代インド(2).md pp.51–52,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000093,111,共通テスト・重要,国家・王朝,マガダ国,まがだこく,,古代,南アジア,ガンジス川中流〜下流域,前6世紀に有力化,-600,WH-000093-B03,beginner,関係する勢力,actor,前6世紀にマガダ国と並んで有力だった、ガンジス川中流域の国は？,コーサラ国,コーサラ国,,,,03_古代インド(2).md pp.51–52,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000093,111,共通テスト・重要,国家・王朝,マガダ国,まがだこく,,古代,南アジア,ガンジス川中流〜下流域,前6世紀に有力化,-600,WH-000093-B04,beginner,中心人物,person,ナンダ朝からマガダ国の王位を奪い、マウリヤ朝を建てた人物は？,チャンドラグプタ,チャンドラグプタ,,,,03_古代インド(2).md pp.51–52,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000093,111,共通テスト・重要,国家・王朝,マガダ国,まがだこく,,古代,南アジア,ガンジス川中流〜下流域,前6世紀に有力化,-600,WH-000093-R01,reverse,複合説明,reverse,「マガダ国」：何をした？,**前6世紀**、北インドのガンジス川中流〜下流域で**コーサラ国**と並んで有力となった。のちにナンダ朝のもとでガンジス川流域を統一したが、**チャンドラグプタ**に王位を奪われ、マウリヤ朝へと移った。,前6世紀|コーサラ国|チャンドラグプタ,,,,03_古代インド(2).md pp.51–52,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000093,111,共通テスト・重要,国家・王朝,マガダ国,まがだこく,,古代,南アジア,ガンジス川中流〜下流域,前6世紀に有力化,-600,WH-000093-I01,integrated,統合説明,integrated,「マガダ国」について説明せよ。,**前6世紀**の北インドで、ガンジス川中流〜下流域を基盤に**コーサラ国**と並んで有力となった国。のちにナンダ朝のもとでガンジス川流域を統一し、チャンドラグプタによる**マウリヤ朝**成立の基盤となった。,前6世紀|コーサラ国|マウリヤ朝,,,,03_古代インド(2).md pp.51–52,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000094,69,共通テスト・必修,国家・王朝,マウリヤ朝,まうりやちょう,,古代,南アジア,北インドを中心に最南部を除くインドへ拡大,前317年ころ〜前180年ころ,-317,WH-000094-B01,beginner,用語の特定,identify,チャンドラグプタが建て、インダス川・ガンジス川の両流域を初めて統一し、アショーカ王の時代に全盛期を迎えた王朝は？,マウリヤ朝,マウリヤ朝,,,,03_古代インド(2).md pp.51–53,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000094,69,共通テスト・必修,国家・王朝,マウリヤ朝,まうりやちょう,,古代,南アジア,北インドを中心に最南部を除くインドへ拡大,前317年ころ〜前180年ころ,-317,WH-000094-B02,beginner,時期,time,マウリヤ朝が成立したのはいつ？,前317年ころ,前317年ころ,,,前317年ころ：「災難（3・1・7）続きの　マウリヤ朝」マウリヤ朝成立,03_古代インド(2).md pp.51–53,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000094,69,共通テスト・必修,国家・王朝,マウリヤ朝,まうりやちょう,,古代,南アジア,北インドを中心に最南部を除くインドへ拡大,前317年ころ〜前180年ころ,-317,WH-000094-B03,beginner,中心人物,person,マウリヤ朝の建国者は？,チャンドラグプタ,チャンドラグプタ,,,,03_古代インド(2).md pp.51–53,
世界史探究_第1章_第03回_03_北インドの王朝の変遷,WH-000094,69,共通テスト・必修,国家・王朝,マウリヤ朝,まうりやちょう,,古代,南アジア,北インドを中心に最南部を除くインドへ拡大,前317年ころ〜前180年ころ,-317,WH-000094-B04,beginner,地域,place,マウリヤ朝の都は？,パータリプトラ,パータリプトラ,,,,03_古代インド(2).md pp.51–53,
