dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章_第10回_6_唐の経済・社会史,WH-030211,219,共通テスト標準,経済・交易,二毛作,にもうさく,,古代,東アジア,中国・華北,唐中期（618年〜907年の唐代）,750,WH-030211-B01,beginner,用語の特定,identify,唐中期の華北で、粟などの雑穀に加えて冬小麦を裏作とするようになった耕作方法は？,二毛作,二毛作,,,,10_古代中国③（隋〜唐）(1).md p.177,
第3章_第10回_6_唐の経済・社会史,WH-030211,219,共通テスト標準,経済・交易,二毛作,にもうさく,,古代,東アジア,中国・華北,唐中期（618年〜907年の唐代）,750,WH-030211-B02,beginner,地域,place,唐中期に二毛作の普及が説明されている、中国の大きな地域区分は？,華北,華北,,,,10_古代中国③（隋〜唐）(1).md p.177,
第3章_第10回_6_唐の経済・社会史,WH-030211,219,共通テスト標準,経済・交易,二毛作,にもうさく,,古代,東アジア,中国・華北,唐中期（618年〜907年の唐代）,750,WH-030211-B03,beginner,内容,content,唐中期の華北の二毛作で、裏作とした作物は？,冬小麦,冬小麦,,,,10_古代中国③（隋〜唐）(1).md p.177,
第3章_第10回_6_唐の経済・社会史,WH-030211,219,共通テスト標準,経済・交易,二毛作,にもうさく,,古代,東アジア,中国・華北,唐中期（618年〜907年の唐代）,750,WH-030211-R01,reverse,内容,reverse,二毛作：どのような仕組み・特徴？,唐中期（618年〜907年の唐代）、中国の華北で唐中期に普及した、**冬小麦を裏作**とする耕作方法。粟などの雑穀に麦作を組み合わせることで、農業生産の向上をもたらした。,冬小麦を裏作,,,,10_古代中国③（隋〜唐）(1).md p.177,
第3章_第10回_6_唐の経済・社会史,WH-030211,219,共通テスト標準,経済・交易,二毛作,にもうさく,,古代,東アジア,中国・華北,唐中期（618年〜907年の唐代）,750,WH-030211-I01,integrated,統合説明,integrated,「二毛作」について説明せよ。,唐中期（618年〜907年の唐代）、中国の華北で唐中期に普及した、**冬小麦を裏作**とする耕作方法。粟などの雑穀に麦作を組み合わせることで、農業生産の向上をもたらした。,冬小麦を裏作,,,,10_古代中国③（隋〜唐）(1).md p.177,
第3章_第10回_6_唐の経済・社会史,WH-030212,220,共通テスト標準,経済・交易,市,いち,,古代,東アジア,中国・長安などの都市,唐代（618年〜907年）,700,WH-030212-B01,beginner,用語の特定,identify,唐の都市の城壁内部に置かれ、長安では東西に分かれ、場所や営業時間を規制された交易の場は？,市,市,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030212,220,共通テスト標準,経済・交易,市,いち,,古代,東アジア,中国・長安などの都市,唐代（618年〜907年）,700,WH-030212-B02,beginner,地域,place,唐の市の設置場所を、都市の城壁との位置関係で答えると？,内側,内側,城壁内部,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030212,220,共通テスト標準,経済・交易,市,いち,,古代,東アジア,中国・長安などの都市,唐代（618年〜907年）,700,WH-030212-B03,beginner,関連,relation,唐末に市の制度がゆるみ、城壁の外に現れた非公認の市場は？,草市(そうし),草市,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030212,220,共通テスト標準,経済・交易,市,いち,,古代,東アジア,中国・長安などの都市,唐代（618年〜907年）,700,WH-030212-R01,reverse,内容,reverse,市：どのような仕組み・特徴？,唐代（618年〜907年）、中国の唐の都市で、**城壁内部に設けられた交易の場**。長安には西市・東市があり、場所や営業時間などが規制されたが、唐末期には制度がゆるみ、城壁外の**草市(そうし)**などが現れた。,城壁内部に設けられた交易の場|草市,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030212,220,共通テスト標準,経済・交易,市,いち,,古代,東アジア,中国・長安などの都市,唐代（618年〜907年）,700,WH-030212-I01,integrated,統合説明,integrated,「市」について説明せよ。,唐代（618年〜907年）、中国の唐の都市で、**城壁内部に設けられた交易の場**。長安には西市・東市があり、場所や営業時間などが規制されたが、唐末期には制度がゆるみ、城壁外の**草市(そうし)**などが現れた。,城壁内部に設けられた交易の場|草市,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030213,153,共通テスト基礎,地域・都市,長安,ちょうあん,,古代,東アジア,中国,唐代（618年〜907年）,700,WH-030213-B01,beginner,用語の特定,identify,唐の都で、坊による碁盤の目の区画と城壁を持ち、外国商人・僧・留学生が集まった国際都市は？,長安,長安,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030213,153,共通テスト基礎,地域・都市,長安,ちょうあん,,古代,東アジア,中国,唐代（618年〜907年）,700,WH-030213-B02,beginner,内容,content,唐の長安に見られる、碁盤の目のような区画を何という？,坊,坊,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030213,153,共通テスト基礎,地域・都市,長安,ちょうあん,,古代,東アジア,中国,唐代（618年〜907年）,700,WH-030213-B03,beginner,地域,place,長安をモデルとした日本の二つの都は？,平城京と平安京,平城京と平安京,平安京と平城京|平城京・平安京,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030213,153,共通テスト基礎,地域・都市,長安,ちょうあん,,古代,東アジア,中国,唐代（618年〜907年）,700,WH-030213-B04,beginner,関連する勢力,actor,唐の長安を訪れた、内陸交易を担うイラン系商人は？,ソグド人,ソグド人,ソグド商人,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030213,153,共通テスト基礎,地域・都市,長安,ちょうあん,,古代,東アジア,中国,唐代（618年〜907年）,700,WH-030213-R01,reverse,内容,reverse,長安：どのような役割・特徴があった？,唐代（618年〜907年）、中国の唐の都で、東西交易の発展によって**国際都市**として繁栄した。**坊**による碁盤の目の区画と城壁を持つ都市の形は、日本の**平城京・平安京**などのモデルとなり、ソグド人商人やインド僧、東アジアからの留学生が訪れた。,国際都市|坊|平城京|平安京,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030213,153,共通テスト基礎,地域・都市,長安,ちょうあん,,古代,東アジア,中国,唐代（618年〜907年）,700,WH-030213-I01,integrated,統合説明,integrated,「長安」について説明せよ。,唐代（618年〜907年）、中国の唐の都で、東西交易の発展によって**国際都市**として繁栄した。**坊**による碁盤の目の区画と城壁を持つ都市の形は、日本の**平城京・平安京**などのモデルとなり、ソグド人商人やインド僧、東アジアからの留学生が訪れた。,国際都市|坊|平城京|平安京,,,,10_古代中国③（隋〜唐）(1).md p.177〜178,
第3章_第10回_6_唐の経済・社会史,WH-030214,221,共通テスト標準,経済・交易,草市,そうし,,古代,東アジア,中国・都市の城壁外,唐末期（907年の滅亡以前）,850,WH-030214-B01,beginner,用語の特定,identify,唐末期に市の規制がゆるみ、都市の城壁の外に現れた非公認の市場は？,草市(そうし),草市,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030214,221,共通テスト標準,経済・交易,草市,そうし,,古代,東アジア,中国・都市の城壁外,唐末期（907年の滅亡以前）,850,WH-030214-B02,beginner,地域,place,草市(そうし)が現れた場所を、都市の城壁との位置関係で答えると？,外側,外側,城壁外,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030214,221,共通テスト標準,経済・交易,草市,そうし,,古代,東アジア,中国・都市の城壁外,唐末期（907年の滅亡以前）,850,WH-030214-B03,beginner,時期,time,草市(そうし)が非公認の市場として現れたのは、唐のどの時期？,唐末期,唐末期,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030214,221,共通テスト標準,経済・交易,草市,そうし,,古代,東アジア,中国・都市の城壁外,唐末期（907年の滅亡以前）,850,WH-030214-R01,reverse,内容,reverse,草市(そうし)：どのような仕組み・特徴？,唐末期（907年の滅亡以前）、中国で唐末期に現れた、**城壁外の非公認の市場**。城壁内部の市を規制する制度がゆるみ、商人が市以外でも取引するようになったことを示す。,城壁外の非公認の市場,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030214,221,共通テスト標準,経済・交易,草市,そうし,,古代,東アジア,中国・都市の城壁外,唐末期（907年の滅亡以前）,850,WH-030214-I01,integrated,統合説明,integrated,「草市(そうし)」について説明せよ。,唐末期（907年の滅亡以前）、中国で唐末期に現れた、**城壁外の非公認の市場**。城壁内部の市を規制する制度がゆるみ、商人が市以外でも取引するようになったことを示す。,城壁外の非公認の市場,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030215,154,共通テスト基礎,経済・交易,飛銭,ひせん,,古代,東アジア,中国・遠隔地間の商取引,唐代（618年〜907年）,800,WH-030215-B01,beginner,用語の特定,identify,唐で商業の発展や銭納に伴う大量の銅銭輸送を避けるために生まれた、送金手形の制度は？,飛銭(ひせん),飛銭,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030215,154,共通テスト基礎,経済・交易,飛銭,ひせん,,古代,東アジア,中国・遠隔地間の商取引,唐代（618年〜907年）,800,WH-030215-B02,beginner,内容,content,飛銭(ひせん)は、遠隔地への送金に使われるどのような仕組み？,送金手形制度,送金手形制度,送金手形,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030215,154,共通テスト基礎,経済・交易,飛銭,ひせん,,古代,東アジア,中国・遠隔地間の商取引,唐代（618年〜907年）,800,WH-030215-B03,beginner,関連,relation,飛銭(ひせん)の発達の背景にある、銭納を原則とする戸税を導入した税制は？,両税法,両税法,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030215,154,共通テスト基礎,経済・交易,飛銭,ひせん,,古代,東アジア,中国・遠隔地間の商取引,唐代（618年〜907年）,800,WH-030215-R01,reverse,内容,reverse,飛銭(ひせん)：どのような仕組み・特徴？,唐代（618年〜907年）、中国の唐で生まれた、**遠隔地への送金手形制度**。商業の発展や両税法の銭納などで大量の銅銭を送る必要が高まり、貨幣を直接運ぶ負担に対応した。,遠隔地への送金手形制度,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030215,154,共通テスト基礎,経済・交易,飛銭,ひせん,,古代,東アジア,中国・遠隔地間の商取引,唐代（618年〜907年）,800,WH-030215-I01,integrated,統合説明,integrated,「飛銭(ひせん)」について説明せよ。,唐代（618年〜907年）、中国の唐で生まれた、**遠隔地への送金手形制度**。商業の発展や両税法の銭納などで大量の銅銭を送る必要が高まり、貨幣を直接運ぶ負担に対応した。,遠隔地への送金手形制度,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030216,222,共通テスト標準,制度・政策・法律,蕃坊,はんぼう,,古代,東アジア,中国・広州などの海港都市,唐代（618年〜907年）,750,WH-030216-B01,beginner,用語の特定,identify,唐の広州などで、ムスリム商人ら来航する外国人のために設けられた居住地は？,蕃坊(はんぼう),蕃坊,,,,10_古代中国③（隋〜唐）(1).md p.178,
第3章_第10回_6_唐の経済・社会史,WH-030216,222,共通テスト標準,制度・政策・法律,蕃坊,はんぼう,,古代,東アジア,中国・広州などの海港都市,唐代（618年〜907年）,750,WH-030216-B02,beginner,関連する勢力,actor,蕃坊(はんぼう)が設けられた海港都市へ来航し、海上交易で活躍した商人は？,ムスリム商人,ムスリム商人,アラブ商人,,,10_古代中国③（隋〜唐）(1).md p.178,
