dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第17回_02_元の中国支配,WH-170025,165,標準,文化・技術・学問,回回砲,かいかいほう,,中世,東アジア,中国・南宋の都市,13世紀の南宋征服,1270,WH-170025-B01,beginner,用語の特定,identify,クビライが南宋の都市攻略に使用した、新兵器の投石器は？,回回砲(かいかいほう),回回砲,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170025,165,標準,文化・技術・学問,回回砲,かいかいほう,,中世,東アジア,中国・南宋の都市,13世紀の南宋征服,1270,WH-170025-B02,beginner,中心人物,person,回回砲(かいかいほう)を使って南宋征服を進めた支配者は？,クビライ,クビライ,フビライ,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170025,165,標準,文化・技術・学問,回回砲,かいかいほう,,中世,東アジア,中国・南宋の都市,13世紀の南宋征服,1270,WH-170025-B03,beginner,内容,content,資料で回回砲(かいかいほう)はどの種類の兵器と説明されている？,投石器,投石器,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170025,165,標準,文化・技術・学問,回回砲,かいかいほう,,中世,東アジア,中国・南宋の都市,13世紀の南宋征服,1270,WH-170025-B04,beginner,国家・勢力・社会集団,actor,回回砲(かいかいほう)を用いたクビライ軍が攻略した都市を支配していた王朝は？,南宋,南宋,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170025,165,標準,文化・技術・学問,回回砲,かいかいほう,,中世,東アジア,中国・南宋の都市,13世紀の南宋征服,1270,WH-170025-R01,reverse,複合説明,reverse,回回砲(かいかいほう)はどんな兵器？,13世紀、中国で**クビライ**が**南宋**の都市攻略に使った新兵器の**投石器**。食料や武器を大量に準備した長期戦のなかで用いられた。,クビライ|南宋|投石器,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170025,165,標準,文化・技術・学問,回回砲,かいかいほう,,中世,東アジア,中国・南宋の都市,13世紀の南宋征服,1270,WH-170025-I01,integrated,統合説明,integrated,「回回砲(かいかいほう)」について説明せよ。,13世紀、中国で**クビライ**が**南宋**の都市攻略に使った新兵器の**投石器**。食料や武器を大量に準備した長期戦のなかで用いられた。,クビライ|南宋|投石器,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170026,91,標準,戦争,崖山の戦い,がいざんのたたかい,,中世,東アジア,中国・広州湾内,1279年,1279,WH-170026-B01,beginner,用語の特定,identify,臨安(りんあん)降伏後も海上で抵抗した南宋の残存勢力が敗れ、南宋が完全に滅亡した戦いは？,崖山の戦い(がいざんのたたかい),崖山の戦い,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170026,91,標準,戦争,崖山の戦い,がいざんのたたかい,,中世,東アジア,中国・広州湾内,1279年,1279,WH-170026-B02,beginner,時期,time,崖山の戦い(がいざんのたたかい)が起きたのは何年？,1279年,1279年,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170026,91,標準,戦争,崖山の戦い,がいざんのたたかい,,中世,東アジア,中国・広州湾内,1279年,1279,WH-170026-B03,beginner,国家・勢力・社会集団,actor,崖山の戦い(がいざんのたたかい)で敗れて完全に滅亡した王朝は？,南宋,南宋,,,,17_モンゴル帝国の時代(1).md p.276,
第17回_02_元の中国支配,WH-170026,91,標準,戦争,崖山の戦い,がいざんのたたかい,,中世,東アジア,中国・広州湾内,1279年,1279,WH-170026-B04,beginner,地域,place,崖山の戦い(がいざんのたたかい)に至るまでに、南宋の残存勢力が逃げ込んだ湾は？,広州湾,広州湾,,,,17_モンゴル帝国の時代(1).md p.276,
