dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-B01,beginner,用語の特定,identify,マリア＝テレジアのハプスブルク家領相続に諸国が反対し、プロイセンがシュレジェンを占領した戦争は？,オーストリア継承戦争,オーストリア継承戦争,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-B02,beginner,時期,time,オーストリア継承戦争が始まったのはいつ？,1740年,1740年,1740,,1740：「私が女帝よ　人の名知れ！」オーストリア継承戦争,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-B03,beginner,中心人物,person,オーストリア継承戦争でハプスブルク家領の相続を争われた人物は？,マリア＝テレジア,マリア＝テレジア,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-B04,beginner,地域,place,オーストリア継承戦争でプロイセンが占領した地域は？,シュレジェン,シュレジェン,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-B05,beginner,関係する勢力,actor,オーストリア継承戦争でオーストリアを支援し、植民地でフランスと戦った国は？,イギリス,イギリス,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-B06,beginner,関連語,relation,オーストリア継承戦争を終結させた1748年の和約は？,アーヘンの和約,アーヘンの和約,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-R01,reverse,時期・地域,reverse,戦われたのはいつ？,**1740〜1748年**。,1740〜1748年,,,1740：「私が女帝よ　人の名知れ！」オーストリア継承戦争,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-R02,reverse,複合説明,reverse,なぜ起き、何が決まった？,**ヨーロッパ**でマリア＝テレジアのハプスブルク家領相続に諸国が反対し、プロイセンが**シュレジェン**を占領して起きた戦争。**アーヘンの和約**で彼女の相続と夫フランツ1世の帝位、プロイセンのシュレジェン領有が認められた。,ヨーロッパ|シュレジェン|アーヘンの和約,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260301,257,共通テスト基礎,戦争,オーストリア継承戦争,おーすとりあけいしょうせんそう,,近世,ヨーロッパ,ヨーロッパ,1740〜1748年,1740,WH-260301-I01,integrated,統合説明,integrated,「オーストリア継承戦争」について説明せよ。,1740〜1748年、**ヨーロッパ**でマリア＝テレジアのハプスブルク家領相続に諸国が反対し、プロイセンが**シュレジェン**を占領して起きた戦争。**アーヘンの和約**で彼女の相続と夫フランツ1世の帝位、プロイセンのシュレジェン領有が認められた。,ヨーロッパ|シュレジェン|アーヘンの和約,,,1740：「私が女帝よ　人の名知れ！」オーストリア継承戦争,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.418–419、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260302,258,共通テスト基礎,戦争,七年戦争,しちねんせんそう,,近世,複数地域,ヨーロッパ・北米・インド,1756〜1763年,1756,WH-260302-B01,beginner,用語の特定,identify,外交革命後、イギリス・プロイセンとオーストリア・フランス・ロシアの対立を軸に、植民地にも広がった戦争は？,七年戦争,七年戦争,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.420–421、427,
世界史探究_第26回_03_オーストリア継承戦争と七年戦争,WH-260302,258,共通テスト基礎,戦争,七年戦争,しちねんせんそう,,近世,複数地域,ヨーロッパ・北米・インド,1756〜1763年,1756,WH-260302-B02,beginner,時期,time,七年戦争が始まったのはいつ？,1756年,1756年,1756,,1756：「いったんなごむ　外交革命」七年戦争,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.420–421、427,
