dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-B01,beginner,人物,identify,高宗の皇后から皇帝に即位し、国号を周とし、科挙(かきょ)官僚を重用した女性は？,則天武后(そくてんぶこう),則天武后,武則天,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-B02,beginner,人物,person,則天武后(そくてんぶこう)が皇后となった唐の皇帝は？,高宗,高宗,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-B03,beginner,主体,actor,則天武后(そくてんぶこう)が皇帝として用いた国号は？,周,周,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-B04,beginner,時期,time,則天武后(そくてんぶこう)が皇帝に即位したのは何年か？,690年,690年,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-B05,beginner,主体,actor,則天武后(そくてんぶこう)が門閥貴族に代えて重用した官僚は？,科挙(かきょ)官僚,科挙官僚,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-B06,beginner,内容,content,則天武后(そくてんぶこう)が仏教保護のため各州に設置した寺院は？,大雲寺,大雲寺,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-R01,reverse,内容,content,則天武后(そくてんぶこう)は何をしたか？,中国で唐の**高宗の皇后**から690年に皇帝となり、国号を**周**とした。仏教を保護して**大雲寺**を設け、門閥貴族を抑えて**科挙(かきょ)官僚**を重用し、中央集権化を進めた。,高宗の皇后|周|大雲寺|科挙官僚,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000168,143,共通テスト基礎,人物,則天武后,そくてんぶこう,武則天,古代,東アジア,中国・唐から周,690〜705年に皇帝として在位,690,WH-C03-000168-I01,integrated,統合説明,integrated,「則天武后(そくてんぶこう)」について説明せよ。,中国で唐の**高宗の皇后**から690年に皇帝となり、国号を**周**とした。仏教を保護して**大雲寺**を設け、門閥貴族を抑えて**科挙(かきょ)官僚**を重用し、中央集権化を進めた。,高宗の皇后|周|大雲寺|科挙官僚,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000169,144,共通テスト基礎,事件・革命,武韋の禍,ぶいのか,,古代,東アジア,中国・唐の宮廷,則天武后から玄宗即位前の時期,700,WH-C03-000169-B01,beginner,用語の特定,identify,唐で、則天武后(そくてんぶこう)と中宗の皇后韋后(いこう)という二人の女性が権力を握った時代を何というか？,武韋の禍(ぶいのか),武韋の禍,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000169,144,共通テスト基礎,事件・革命,武韋の禍,ぶいのか,,古代,東アジア,中国・唐の宮廷,則天武后から玄宗即位前の時期,700,WH-C03-000169-B02,beginner,人物,person,武韋の禍(ぶいのか)の名に含まれる二人の女性は？,則天武后(そくてんぶこう)と韋后(いこう),則天武后|韋后,韋后と則天武后,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000169,144,共通テスト基礎,事件・革命,武韋の禍,ぶいのか,,古代,東アジア,中国・唐の宮廷,則天武后から玄宗即位前の時期,700,WH-C03-000169-B03,beginner,人物,person,武韋の禍(ぶいのか)で韋后(いこう)が毒殺した、夫である皇帝は？,中宗,中宗,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000169,144,共通テスト基礎,事件・革命,武韋の禍,ぶいのか,,古代,東アジア,中国・唐の宮廷,則天武后から玄宗即位前の時期,700,WH-C03-000169-B04,beginner,人物,person,武韋の禍(ぶいのか)の末に韋后(いこう)を倒し、のちに玄宗となった人物は？,李隆基(りりゅうき),李隆基,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000169,144,共通テスト基礎,事件・革命,武韋の禍,ぶいのか,,古代,東アジア,中国・唐の宮廷,則天武后から玄宗即位前の時期,700,WH-C03-000169-R01,reverse,逆向きの説明,reverse,武韋の禍(ぶいのか)とはどのような時期か？,**玄宗即位前の唐の中国**で、**則天武后(そくてんぶこう)と韋后(いこう)**が権力を握った時期を指す。韋后は夫の**中宗**を毒殺して権力を得ようとしたが、**李隆基(りりゅうき)（のちの玄宗）**に倒された。,玄宗即位前の唐の中国|則天武后と韋后|中宗|李隆基（のちの玄宗）,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000169,144,共通テスト基礎,事件・革命,武韋の禍,ぶいのか,,古代,東アジア,中国・唐の宮廷,則天武后から玄宗即位前の時期,700,WH-C03-000169-I01,integrated,統合説明,integrated,「武韋の禍(ぶいのか)」について説明せよ。,**玄宗即位前の唐の中国**で、**則天武后(そくてんぶこう)と韋后(いこう)**が権力を握った時期を指す。韋后は夫の**中宗**を毒殺して権力を得ようとしたが、**李隆基(りりゅうき)（のちの玄宗）**に倒された。,玄宗即位前の唐の中国|則天武后と韋后|中宗|李隆基（のちの玄宗）,,,,10_古代中国③（隋〜唐）.md pp.172,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-B01,beginner,人物,identify,唐の皇帝で、前半は開元の治(かいげんのち)を実現したが、後半は楊貴妃(ようきひ)を寵愛し、安史の乱(あんしのらん)で都を脱出した人物は？,玄宗,玄宗,李隆基,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-B02,beginner,人物,person,玄宗の姓名は？,李隆基(りりゅうき),李隆基,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-B03,beginner,内容,content,玄宗の治世前半の繁栄を何というか？,開元の治(かいげんのち),開元の治,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-B04,beginner,人物,person,玄宗が晩年に寵愛した人物は？,楊貴妃(ようきひ),楊貴妃,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-B05,beginner,内容,content,玄宗の末期に安禄山(あんろくざん)らが起こした反乱は？,安史の乱(あんしのらん),安史の乱,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-B06,beginner,場所,place,玄宗が安史の乱(あんしのらん)で最後に逃れた四川の都市は？,成都,成都,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-R01,reverse,内容,content,玄宗はどのような治世を送ったか？,712〜756年に在位した**唐の李隆基(りりゅうき)**で、治世前半には中国で**開元の治(かいげんのち)**と呼ばれる繁栄を実現した。晩年は**楊貴妃(ようきひ)**を寵愛して政治が乱れ、**安史の乱(あんしのらん)**で長安を脱出し、四川の**成都**へ逃れた。,唐の李隆基|開元の治|楊貴妃|安史の乱|成都,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000170,145,共通テスト基礎,人物,玄宗,げんそう,李隆基,古代,東アジア,中国・唐,712〜756年の在位,712,WH-C03-000170-I01,integrated,統合説明,integrated,「玄宗」について説明せよ。,712〜756年に在位した**唐の李隆基(りりゅうき)**で、治世前半には中国で**開元の治(かいげんのち)**と呼ばれる繁栄を実現した。晩年は**楊貴妃(ようきひ)**を寵愛して政治が乱れ、**安史の乱(あんしのらん)**で長安を脱出し、四川の**成都**へ逃れた。,唐の李隆基|開元の治|楊貴妃|安史の乱|成都,,,,10_古代中国③（隋〜唐）.md pp.172〜174,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000171,146,共通テスト基礎,時代・歴史区分,開元の治,かいげんのち,,古代,東アジア,中国・唐,713〜741年,713,WH-C03-000171-B01,beginner,用語の特定,identify,玄宗の治世前半、科挙(かきょ)官僚の活躍や軍制・通商の改革を背景に実現した唐の全盛期を何というか？,開元の治(かいげんのち),開元の治,,,,10_古代中国③（隋〜唐）.md pp.173（関連：166）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000171,146,共通テスト基礎,時代・歴史区分,開元の治,かいげんのち,,古代,東アジア,中国・唐,713〜741年,713,WH-C03-000171-B02,beginner,人物,person,開元の治(かいげんのち)を実現した唐の皇帝は？,玄宗,玄宗,李隆基,,,10_古代中国③（隋〜唐）.md pp.173（関連：166）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜4 武韋の禍と玄宗の時代,WH-C03-000171,146,共通テスト基礎,時代・歴史区分,開元の治,かいげんのち,,古代,東アジア,中国・唐,713〜741年,713,WH-C03-000171-B03,beginner,主体,actor,開元の治(かいげんのち)を支えた、則天武后(そくてんぶこう)の時代から登用されていた官僚層は？,科挙(かきょ)官僚,科挙官僚,,,,10_古代中国③（隋〜唐）.md pp.173（関連：166）,
