dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-B01,beginner,用語の特定,identify,1642年に国王と議会派の内戦として始まり、チャールズ1世の処刑と共和政の成立に至ったイギリスの革命は？,ピューリタン革命,ピューリタン革命,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-B02,beginner,時期,time,ピューリタン革命の内戦が始まったのはいつ？,1642年,1642年,1642,,1642：「異論世に満ち　内戦勃発」ピューリタン革命,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-B03,beginner,中心人物,person,ピューリタン革命で議会軍を率い、のちに護国卿(ごこくきょう)となった人物は？,クロムウェル,クロムウェル,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-B04,beginner,関連語,relation,ピューリタン革命で1645年に議会軍が決定的な勝利を得た戦いは？,ネーズビーの戦い,ネーズビーの戦い,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-B05,beginner,中心人物,person,ピューリタン革命の過程で1649年に処刑された国王は？,チャールズ1世,チャールズ1世,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-B06,beginner,結果,result,ピューリタン革命で国王処刑後に成立した政治体制は？,共和政,共和政,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-R01,reverse,時期・地域,reverse,内戦が始まったのはいつ？,**1642年**。,1642年,,,1642：「異論世に満ち　内戦勃発」ピューリタン革命,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-R02,reverse,複合説明,reverse,なぜ起きた？,**イギリス**でチャールズ1世が議会の同意のない課税や国教会の強制を進め、国王と**議会派**の対立が深まったため。,イギリス|議会派,,,,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-R03,reverse,複合説明,reverse,何が起きた？,**クロムウェル**らの議会軍が勝利し、1649年に**チャールズ1世を処刑**して共和政が成立したが、のちにクロムウェルの**軍事独裁**となった。,クロムウェル|チャールズ1世を処刑|軍事独裁,,,1649：「死に顔色よく　国王処刑」チャールズ1世の処刑,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
世界史探究_第25回_01_ピューリタン革命,WH-250101,178,共通テスト基礎,事件・革命,ピューリタン革命,ぴゅーりたんかくめい,,近世,ヨーロッパ,イギリス,1642年〜,1642,WH-250101-I01,integrated,統合説明,integrated,「ピューリタン革命」について説明せよ。,1642年、**イギリス**でチャールズ1世が議会の同意のない課税や国教会の強制を進め、国王と**議会派**の対立が深まったため。**クロムウェル**らの議会軍が勝利し、1649年に**チャールズ1世を処刑**して共和政が成立したが、のちにクロムウェルの**軍事独裁**となった。,イギリス|議会派|クロムウェル|チャールズ1世を処刑|軍事独裁,,,1642：「異論世に満ち　内戦勃発」ピューリタン革命|1649：「死に顔色よく　国王処刑」チャールズ1世の処刑,25_近世のヨーロッパ②（イギリス・フランス）(1).md p.394–398,
